,LGBM,XGB,RF,DT,kNN,PLS,lasso,MLR
0,0.04434613328906657,0.056305835476683844,0.05512445848010035,0.04904044698165917,0.03760857443421499,0.03199022124742276,0.05192450609301262,0.030562384263668835
1,0.0817977083693197,0.09440206957228281,0.07856647608636559,0.019687031863638155,0.11316751640076847,0.0965974589708184,0.07261417790766223,0.09999052314014995
2,0.11840443623566975,0.1155671892515961,0.1638308173263232,0.1265840722296449,0.010323653778836171,0.08678475368882836,0.11466341228308653,0.0839742328201287
3,0.052689877647016936,0.04025205738682308,0.023554426726356825,0.01325675417743924,0.03217673685813499,0.0578730134545489,0.03718441217324661,0.06010930952829567
4,0.05588002238121127,0.07399977883895288,0.08937824405846391,0.0773917972387546,0.08549848469699738,0.0413951442301765,0.06618900225145842,0.0380993944732238
5,0.13135238598789864,0.12340170050918381,0.11321619440925895,0.10313893564227586,0.21237625297325402,0.14203707005013338,0.12592175688872267,0.1441532262998942
6,0.03774930790360534,0.021901286051598523,0.016241501969426225,0.027440382201708607,0.0284012642448567,0.04496665754951401,0.022802966617833043,0.047860519508777774
7,0.22739363750433234,0.24396133664567832,0.20690983572077948,0.22055838003852093,0.15884725139666142,0.20349979610632876,0.20306012453792552,0.20705659611509097
8,0.05040459908356208,0.16009795306650676,0.12344305100071536,0.06575974735819261,0.05038847935566508,0.026057414665253117,0.020508561399590744,0.021380154153301786
9,0.10732982110558564,0.05544528737664223,0.05938117024209581,0.18662698894692087,0.05677978037741691,0.26436204361248894,0.18928520921760839,0.2630032413067734
10,0.19517038616418458,0.22556835878855336,0.21369923449763725,0.17818535163366936,0.24341853452293122,0.29475867383909954,0.2665426034898978,0.29684746451014227
11,0.0204947026206745,0.025504971335504126,0.014423088268466583,0.01166039110895177,0.0014417507528749346,0.01338620979310648,0.011413453321606329,0.014962987926309596
12,0.05077875646488947,0.02268755091332758,0.0007640255340971847,0.059891088708044854,0.12343334754177418,0.13760900934094922,0.11242570900458437,0.1406108481377638
13,0.1323296770193103,0.13666796765169048,0.13997094975890662,0.12899307664277904,0.045352023747152706,0.018119710850582907,0.04255753661139318,0.015717563468144638
14,0.06964389381587777,0.035417659888938746,0.08219643398290302,0.13504884523954122,0.11059150869618703,0.12585144505188242,0.11755672735127604,0.12929296897903703
15,0.041202770983032745,0.04771638289093971,0.06666800564511001,0.04729746143568564,0.19681473837861682,0.18948541679895137,0.16131384313754293,0.18567662694904236
16,0.006058486914598642,0.009220446455084838,0.012264050597768535,0.007870763998542446,0.026466919599937307,0.05617974071987865,0.07898834161288155,0.06451015471952273
17,0.03039231840143497,0.044552601873874664,0.04361142729896525,0.05475525324911938,0.008367101248886039,0.01025400274225105,0.12589947686323782,0.017613929520664137
18,0.1576245707243464,0.16247819802888636,0.15662356775577954,0.16767885339487423,0.17334676940859917,0.18350068439561268,0.07717505170844086,0.18990873431712985
19,0.09786598758823074,0.09578667600854884,0.09896843712585243,0.10281792785133001,0.1114183421812125,0.11979094790714839,0.012327448346814401,0.12635271124819875
20,0.10955090727569304,0.16654671728610992,0.10839619591307914,0.08202761245394549,0.11919940310245641,0.0695370567251063,0.12664322237512324,0.06512862459012021
21,0.005729935984292028,0.0017686397896948952,0.006234543908660267,0.024025264180736056,0.023461845951733395,0.03783668873706407,0.09542406767358434,0.04471176284882341
22,0.022675469771090057,0.004976942487306277,0.0021339846031938337,0.047157779667193006,0.00673355372680684,0.058345117549072734,0.021272086792110026,0.06393724866389672
