,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_HEK293,Exp_HEK293
57,58,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,500,4.142889154013742,62.98453083967617
58,59,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,500,4.219129855549327,67.97431107895926
59,60,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,500,4.369354830091417,78.99265157411662
60,61,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,100,9.119096137079644,9127.94747341956
61,62,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,100,7.038810392068735,1140.0306101863707
62,63,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,100,8.17482054398409,3550.4177229514085
63,64,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,100,8.921335989616226,7490.089229687659
64,65,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,100,9.759577556838178,17319.313703778178
65,66,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,100,9.91049663101468,20140.67399118387
66,67,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,100,9.788561052851996,17828.633240154675
67,68,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,100,10.054430041029999,23258.595486314054
68,69,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,100,11.208135643189117,73727.8317951868
69,70,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,100,8.41821053573572,4528.792088253414
70,71,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,100,10.519270145465542,37022.09388590858
71,72,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,100,12.319044659780031,223920.1199295009
72,73,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,100,8.726623409484057,6164.876663538549
73,74,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,100,7.15583359095348,1281.5602897770577
74,75,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,100,8.767558246495264,6422.471211280375
75,76,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,100,9.071150003878447,8700.62380571415
76,77,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,100,9.798555471833035,18007.713481429735
77,78,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,100,10.032439604667717,22752.711513142352
78,79,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,100,10.35731764576771,31486.609706888263
79,80,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,100,10.134396984466278,25194.902831930427
80,81,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,100,11.444107129896649,93349.62482026879
81,82,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,100,8.580878363733044,5328.784080948235
82,83,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,100,6.148596316771141,468.05991759470436
83,84,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,100,12.586034194969871,292445.6729706756
84,85,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,100,8.45612819900343,4703.810476953071
85,86,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,100,7.954516905219939,2848.411943685173
86,87,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,100,8.791521321879669,6578.232175466829
87,88,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,100,9.015216201174914,8227.324923603457
88,89,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,100,9.95247620933494,21004.168758937245
89,90,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,100,10.517270686223933,36948.14367299972
90,91,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,100,10.551261638774383,38225.63484519716
91,92,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,100,11.074155091940252,64482.88327217011
92,93,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,100,11.660086319237804,115854.03041946566
93,94,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,100,10.83519695931207,50776.90779798392
94,95,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,100,11.63608841586684,113106.87145928477
95,96,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,100,12.662031692491913,315537.14648385794
96,97,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,100,5.776486404887709,322.62362783005443
97,98,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,100,8.334404009879405,4164.718685735549
98,99,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,100,8.185789731018907,3589.5773007233374
99,100,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,100,8.526982480756583,5049.186805841016
100,101,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,100,8.45213671974129,4685.072735511784
101,102,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,100,9.234976141485456,10249.417374978002
102,103,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,100,11.024163043025863,61338.503650888044
103,104,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,100,8.868408655863417,7103.967117019893
104,105,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,100,10.038436975511273,22889.577970995648
105,106,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,100,5.5794762271892555,264.93280483946995
106,107,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,100,10.39830488760585,32803.97209855483
107,108,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,100,10.646237930040643,42034.161261786736
108,109,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,20,100,3.9798760356816403,53.51040043600773
109,110,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,20,100,4.904984284312151,134.9607889885125
110,111,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,20,100,2.9177403331836493,18.499437628886124
111,112,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,40,100,3.526322527024296,33.998708106421155
112,113,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,40,100,3.1355228402877575,23.00065836967064
113,114,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,40,100,3.1985851440283946,24.49784474350812
