,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI,RLU_N2a
0,1,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,500,440.1666667,0.292666667,6.161
1,2,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,500,320.9666667,0.187666667,6.073
3,4,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,500,236.0666667,0.359666667,5.056
4,5,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,500,188.6,0.308666667,5.303
5,6,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,500,248.3,0.374333333,4.533
6,7,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,500,221.0666667,0.257,4.86
7,8,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,500,206.6333333,0.367333333,4.564
8,9,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,500,239.3,0.301,5.872
9,10,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,500,228.7,0.5935,3.466
10,11,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,500,195.4666667,0.445,4.419
11,12,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,500,211.95,0.466166667,5.476
12,13,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,500,395.5333333,0.062333333,5.756
13,14,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,500,412.0666667,0.177666667,5.58
15,16,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,500,218.7666667,0.298,4.625
16,17,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,500,221.7666667,0.319666667,4.754
17,18,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,500,491.3333333,0.671,4.522
18,19,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,500,227.4,0.285666667,4.934
19,20,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,500,217.1,0.286333333,4.984
20,21,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,500,241.5666667,0.296333333,4.898
21,22,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,500,188.8333333,0.565833333,5.043
22,23,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,500,184.6,0.429666667,5.165
23,24,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,500,285.2666667,0.270666667,5.617
24,25,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,500,431.4,0.301666667,4.844
25,26,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,500,265.1333333,0.512666667,4.977
27,28,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,500,281.9333333,0.463333333,5.242
28,29,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,500,247.4666667,0.442333333,4.779
29,30,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,500,230.4,0.252,4.454
30,31,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,500,215.5666667,0.283333333,5.063
31,32,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,500,221.9666667,0.240333333,4.883
32,33,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,500,234.9333333,0.281333333,5.198
