,0,1,2,3,4,5,6,7,8,9
2,0.04587254638343634,0.04587254638343634,0.04587254638343634,0.04587254638343634,0.04587254638343634,0.04587254638343634,0.015084700188222566,0.04587254638343634,0.014950255445012028,0.04587254638343634
11,0.008641371370997157,0.009576207637514138,0.008703440012899664,0.008494073906368218,0.0092277688982247,0.008597158890757694,0.013119672027002737,0.008160310541657154,0.014368220529041248,0.006887028550733969
20,0.004829508384054432,0.004778563465915448,0.004664776898894883,0.0047300042306356645,0.004919420234750703,0.004582919711129457,0.005062873457589921,0.004844952411955775,0.004767897629909094,0.005073683327808937
30,0.004701945248902048,0.0046041776542404085,0.00496549989622308,0.004772476189110966,0.004692245394823833,0.004957196279991147,0.004676120664856171,0.005219615710284201,0.004753473813628491,0.004983561399832975
39,0.004548053230903347,0.004427049445593222,0.004312452925332136,0.00420166594773028,0.004413431082182707,0.004485634313092231,0.004584810293996875,0.004321876950257206,0.004656244535810266,0.004288589102496968
48,0.0042508116716805065,0.004375979745109124,0.004402100334193166,0.00436482315962278,0.00439253740097321,0.004281273581884982,0.004351969807883953,0.004366866072898647,0.004179367711349177,0.00418822480678614
57,0.003976325517183568,0.0038877578160711273,0.003984380314003832,0.004043748032374428,0.003972824658351872,0.004042841332224545,0.004025514503827057,0.003949210201564862,0.003877772393596113,0.003954008990280451
67,0.0036064598508014183,0.0035323563645294925,0.0036068650996320837,0.0037597893702530872,0.003591716786562618,0.0036990413299755483,0.0035826595066133214,0.0035237950480115155,0.003528252090074073,0.0036885546650623825
76,0.0032970887323359723,0.003327558098202,0.003267948775905386,0.003311338827374695,0.0032626887404321034,0.0033166991745168703,0.003438306457770628,0.00326488514032605,0.0032433098543209206,0.0032329007622783935
85,0.0030547087868591826,0.0030203750252419718,0.003135576883185092,0.002978825794393654,0.00308055385373044,0.003039198968392757,0.0031534933215177302,0.0030118900116928517,0.0030990932190374096,0.0030343509247944523
95,0.0030976615785322137,0.0030737815004766894,0.0031602734320804932,0.0031369706561901987,0.003032849585548933,0.0030842512384656297,0.0030627806699292945,0.0031342091070652492,0.00332593535276947,0.003055796025995816
104,0.0032620192257668866,0.003243518986856833,0.003263940304288805,0.0032536752415306667,0.0032311463366336084,0.0032662127908582666,0.00328346954426438,0.0032617852429556956,0.003408090974513914,0.0032298858712189807
113,0.003439628269205001,0.003378986540899326,0.003453607836107579,0.003341609727261454,0.003381616799095278,0.003428147004935793,0.0034781352717807427,0.003429199810785612,0.0032801660429809553,0.0035125975464587586
122,0.0034936847578190015,0.003543191369050841,0.0035430049774326905,0.003466854528443698,0.0035478865063863726,0.003650485598761481,0.003581085873979943,0.003494305481449847,0.003338717976056153,0.003588245913874156
132,0.0039654560572841896,0.0038835425130824643,0.003945383131907995,0.0038323492386186453,0.0037920534323486847,0.003910441127391054,0.003847973464060311,0.0038150412627436675,0.0036871663633893824,0.003937710171192922
141,0.0045328104644401426,0.004631663274569415,0.004395279034249496,0.004366231222421723,0.004456429150292339,0.0046610943611439465,0.004402675996758305,0.004800282167237384,0.004545374338833938,0.004628984954811489
150,0.004870498072830428,0.004690186889870439,0.004685908931920543,0.004832225234861768,0.00467548829107589,0.004769753681635561,0.004947560699895749,0.004938569874761456,0.004800357790046469,0.004787163939993315
159,0.0049668575894152665,0.0050926245820858695,0.00492836497303199,0.004896082809415131,0.0048433896009755254,0.004724743335720383,0.0051473225530053995,0.0049774398796189855,0.005015023451194887,0.005200940072298211
169,0.005189851127002602,0.004967926023025692,0.005120957676893833,0.00513823077722963,0.005244990438628128,0.005194625023982766,0.005359371877317014,0.0053215767875442865,0.005467837726259114,0.005227826093583972
178,0.005727158668073138,0.005617741810833925,0.005767190700324934,0.005595216756999633,0.005629724380761168,0.00574884695025105,0.005687662879047837,0.00567742784932356,0.005836015248569032,0.0057382221965423105
187,0.006188005071676505,0.0061688230357975545,0.006100321640608334,0.005970214624575429,0.006109226188332946,0.0060987200467775855,0.006174258859844631,0.006142342064408801,0.006194163158410223,0.006034278273494026
197,0.0062013351273709,0.006130784977541205,0.0061713876911867905,0.006301032973905804,0.006353585983432655,0.006197533906202516,0.006249775692794403,0.006220529620518114,0.0062927975581798246,0.006232297525013538
