DT,RF,LGBM,XGB,MLP,kNN,MLR,lasso,PLS
0.0377602482865641,0.021037265085411018,0.026459152239434965,0.058722933633167496,0.0039974514554176055,0.0016251685815854913,0.0020264789344732054,0.04993557574032212,0.018890647037695066
0.0,0.006911944995677056,0.0008282490178506758,0.00496259331703186,0.024688712238002647,0.023369750500852406,0.008090942942777365,0.057139625882405315,0.005689549505171393
0.013254881675934319,0.21295342795432512,0.14394262046914794,0.1425943672657013,0.10988717437760015,0.006937093949499206,0.1649127889904627,0.04681459121282863,0.11486971697354414
0.0,0.0006397906481638542,0.017027015785900292,0.0032169222831726074,0.04388678037448848,0.19343392974724413,0.193268077848072,0.20801494505387452,0.14362194915246845
0.03866545971809121,0.039653879180793106,0.04997753748818612,0.058111573489628254,0.0635510529043618,0.010119274920782184,0.12372672110693372,0.1525262891717878,0.09685740727253875
0.023923444976076513,0.06567215855971839,0.06182531773790877,0.05422580587082354,0.026268479602382017,0.10721131336583997,0.027446211428645007,0.030540158698414394,0.03456805098802482
0.0,0.0012493262346731245,0.014935925354854699,0.020932137966156006,0.027119612467988052,0.15952638574282357,0.18746904539274306,0.19903134200172512,0.1277022878039151
0.0,0.09230120225873809,0.08640747530756845,0.0879392921924591,0.1685679528631976,0.10445741991962765,0.11579178271004047,0.1222194565194814,0.13979467959868325
0.05004526057157643,0.016578311687163227,0.07877528437646475,0.03337587779018103,0.09008457341065634,0.021873165514292636,0.1651261490921272,0.1958853218124167,0.13931550198613057
0.0,0.04167001666971761,0.06386036995990842,0.004807651042938232,0.13257090361744325,0.1900121566927734,0.21577187973871112,0.2525122283165913,0.24400006220948595
0.0,0.0032722216834058944,0.010109699763313947,0.014534235000610352,0.0002650005061309302,0.01547284937590892,0.0692701355404877,0.06350568469595522,0.07584339770626569
0.0,0.0848824798086161,0.08678975157768913,0.06205335259437561,0.040079817586420846,0.012553099289294043,0.16235622377435838,0.09740741967612376,0.16438921201725695
0.0005172636751584192,0.16195573247158174,0.10702622722764053,0.27136726710754117,0.06212202184217645,0.40197957928410466,0.23565787473646846,0.29059918901185694,0.28277228010558847
0.0,0.012181911588311126,0.031896637860912846,0.02290448546409607,0.04489235573224637,0.061879654825101015,0.12493959651807167,0.004570155492516728,0.08345055954912325
0.04810552178973235,0.01644524614949259,0.04409801790401672,0.04014722882861174,0.027555912070141353,0.04398755746312258,0.08140495187659724,0.07319552675491954,0.02093152257478373
0.013254881675934319,0.148085930334734,0.07980975024974825,0.08791089057922363,0.11455726483854475,0.04688008631731986,0.17635526955523587,0.09481074774642193,0.14998702519624385
0.0,0.005655427599506549,0.005533164997717261,0.01252436637878418,0.030014695180818923,0.009036058395588081,0.010144564708445644,0.0006010185772076584,0.06854175820000281
0.1766455450665977,0.1071837518407493,0.14660234986544812,0.1636667066252156,0.06961196534672051,0.18718911774787844,0.1861863158774319,0.08370986852697565,0.139765865191891
0.0013578171472908018,0.04159635424976334,0.04941330774556063,0.05115093299091733,0.040925975864176956,0.024308601629997956,0.06245485689612964,0.04124207331073922,0.09361148725106165
