,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_HEK293
0,181,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,500,6.382
1,182,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,500,7.404
2,183,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,500,9.651
3,184,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,500,2.442
4,185,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,500,6.968
5,186,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,500,8.02
6,187,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,500,3.829
7,188,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,500,6.341
8,189,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,500,10.645
9,190,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,500,3.314
10,191,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,500,5.816
11,192,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,500,5.981
12,193,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,500,8.361
13,194,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,500,8.831
14,195,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,500,8.008
15,196,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,500,2.197
16,197,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,500,7.994
17,198,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,500,10.284
18,199,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,500,8.146
19,200,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,500,6.336
20,201,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,500,10.81
21,202,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,500,4.388
22,203,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,500,7.105
23,204,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,500,8.201
24,205,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,500,8.28
25,206,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,500,8.337
26,207,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,500,9.564
27,208,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,500,2.398
28,209,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,500,8.257
29,210,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,500,10.436
30,211,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,500,6.433
31,212,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,500,6.296
32,213,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,500,10.999
33,214,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,500,3.761
34,215,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,500,7.61
35,216,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,500,11.412
36,217,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,500,8.692
37,218,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,500,9.601
38,219,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,500,9.45
39,220,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,500,4.311
40,221,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,500,9.355
41,222,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,500,9.103
42,223,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,500,10.343
43,224,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,500,11.127
44,225,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,500,11.116
45,226,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,500,5.938
46,227,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,500,8.322
47,228,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,500,11.211
48,229,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,500,10.31
49,230,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,500,10.555
50,231,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,500,9.917
51,232,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,500,4.135
52,233,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,500,11.156
53,234,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,500,10.878
54,235,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,500,12.159
55,236,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,500,11.252
56,237,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,500,11.954
57,238,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,500,11.362
58,239,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,500,11.657
59,240,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,500,10.701
60,241,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,100,8.327
61,242,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,100,8.342
62,243,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,100,8.745
63,244,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,100,2.565
64,245,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,100,7.671
65,246,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,100,9.016
66,247,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,100,10.272
67,248,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,100,9.371
68,249,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,100,10.169
69,250,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,100,7.535
70,251,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,100,8.034
71,252,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,100,10.437
72,253,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,100,8.611
73,254,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,100,8.749
