,B16
RF,0.8743575629143026
MLR,0.6479093480743587
lasso,0.16481805047639647
PLS,[0.6471941394768026]
kNN,0.5615408354339025
LGBM,0.886312027976308
XGB,0.8592574380414301
DT,0.8694280207159271
