,B16
RF,0.054916032664749474
MLR,0.09730081203922734
lasso,0.11958278691391981
PLS,0.09744849954208343
kNN,0.08686734516458594
LGBM,0.05433886648413632
XGB,0.05473975802622081
DT,0.060244110961458354
