,B16
RF,0.7487794952382583
MLR,0.548343821933596
lasso,0.14730591196394816
PLS,0.5474383006904183
kNN,0.44894647630897316
LGBM,0.7472146054586076
XGB,0.6768835079050292
DT,0.6536983470605137
