Iter,Valid Score,Test Score,Spearmans Rank,Pearsons Correlation,Model Parms,Formulation_Index,Experimental_Transfection,Predicted_Transfection,Score_difference
5,0.11444735722451733,0.11239071193266331,"SignificanceResult(statistic=0.5880268117217767, pvalue=2.098923911903461e-18)","PearsonRResult(statistic=0.7128660714545829, pvalue=1.0613097498086827e-29)","{'positive': False, 'alpha': 0.02}","[ 692  763  544  454 1072  630  726  688  522 1011  576  914  600  911
  282 1015  707  400  917  216  803  942  819  304  187  880  793 1032
  758  145  741  314  459  302  166  841  292  492  802  337  169  834
  427 1030  652  136  426  242  588  277 1019   58   83  976  296  501
   52 1075  101  489  316  882  762  467  104  461  595  365  500  594
  690  417    5  641  425 1013 1028  100  661   17  555  769  124  213
  280  719  269  355  716  772  162  317  598  151  115  998  218  678
  949  181  596  953   70  631  810 1052  967  932  605  309  453  562
  853  410  439  635 1042   88  524  614  952  359 1060  419 1022  385
  192  699  257  371  102 1000   31  199  306  431  842  405    1  183
  874   13  288  826  487  502  603   27  476  767 1079  462  822 1043
  455  324  865  892  388  809 1037  110  325  227  939  520  423  565
  687  982  374  346  679  654  845  103  335  794   20  108  613  184
  299]","[[0.04]
 [0.  ]
 [0.  ]
 [0.04]
 [0.33]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.37]
 [0.45]
 [0.07]
 [0.16]
 [0.  ]
 [0.21]
 [0.  ]
 [0.78]
 [0.  ]
 [0.1 ]
 [0.02]
 [0.  ]
 [0.  ]
 [0.62]
 [0.12]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.44]
 [0.26]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.36]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.04]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.07]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.05]
 [0.  ]
 [0.  ]
 [0.24]
 [0.79]
 [0.  ]
 [0.  ]
 [0.26]
 [0.31]
 [0.05]
 [0.  ]
 [0.71]
 [0.  ]
 [0.08]
 [0.  ]
 [0.06]
 [0.05]
 [0.65]
 [0.  ]
 [0.45]
 [0.  ]
 [0.14]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.34]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.68]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.01]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.22]
 [0.01]
 [0.  ]
 [0.66]
 [0.01]
 [0.01]
 [0.71]
 [0.  ]
 [0.  ]
 [0.06]
 [0.08]
 [0.28]
 [0.16]
 [0.  ]
 [0.09]
 [0.16]
 [0.  ]
 [0.  ]
 [0.66]
 [0.  ]
 [0.16]
 [0.04]
 [0.  ]
 [0.5 ]
 [0.  ]
 [0.87]
 [0.  ]
 [0.  ]
 [0.59]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.71]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.07]
 [0.  ]
 [0.61]
 [0.01]
 [0.1 ]
 [0.  ]
 [0.  ]
 [0.28]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.71]
 [0.  ]
 [0.7 ]
 [0.61]
 [0.  ]
 [0.32]
 [0.07]
 [0.  ]
 [0.  ]
 [0.01]
 [0.09]
 [0.05]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.04]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.39]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.07]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.52]]","[ 0.    0.05 -0.01  0.23  0.44  0.01 -0.   -0.04  0.15  0.46  0.07  0.28
  0.24  0.35  0.03  0.51  0.06  0.25  0.3   0.06  0.04  0.33 -0.   -0.05
  0.01 -0.   -0.04  0.32 -0.   -0.09  0.04 -0.06  0.17 -0.07  0.02 -0.07
  0.17  0.2   0.04 -0.05  0.07  0.17  0.18  0.31  0.15 -0.07  0.16 -0.04
  0.09 -0.02  0.56  0.18  0.01  0.28  0.21  0.17  0.09  0.47 -0.01  0.17
 -0.05  0.    0.03  0.26  0.01  0.19  0.21  0.17  0.14  0.19 -0.02  0.42
 -0.05  0.03  0.15  0.48  0.28 -0.02 -0.07 -0.04 -0.03  0.12 -0.07  0.03
  0.02  0.2  -0.01  0.17  0.18  0.15 -0.03 -0.04  0.22 -0.06  0.13  0.29
 -0.01 -0.03  0.47 -0.05  0.22  0.51  0.01  0.03  0.    0.29  0.32  0.32
  0.   -0.    0.21  0.04 -0.07  0.34  0.18  0.06  0.31 -0.04  0.18 -0.04
  0.51  0.24  0.28  0.47  0.23  0.18  0.05 -0.03 -0.01  0.23 -0.01  0.32
 -0.01  0.01 -0.03  0.23 -0.07  0.27 -0.09 -0.04  0.03 -0.09  0.08  0.07
  0.11  0.19 -0.04 -0.07  0.38  0.09  0.5   0.19  0.03  0.32  0.23  0.03
 -0.07  0.14  0.2  -0.    0.26  0.1  -0.08  0.09  0.31  0.16  0.14 -0.02
 -0.06  0.36  0.15  0.04 -0.    0.18 -0.03 -0.01 -0.05 -0.04 -0.01  0.05
 -0.05 -0.02  0.22]",0.002056645291854023
4,0.11306502605370698,0.11055022841858438,"SignificanceResult(statistic=0.5638153748990241, pvalue=9.557935783436049e-17)","PearsonRResult(statistic=0.6963989686144465, pvalue=7.045066196545832e-28)","{'positive': False, 'alpha': 0.02}","[ 298  918  676  377  702  401  142  729  746  421  233  225 1058  780
  113  437  474 1066  135  485  438  185  844  805  752  114  339  640
  722   94 1065  764  137  523  735   67   90  266  473  540  130  811
  682  564  383  835  956  731   85  854   61  669  760  662   60  872
  261  533  593  599  429  581  589  601  177  905  245  253  789  449
 1010  153  889  691  900  787 1021  935  494  975  341  505  320  685
  916  590  883  129  821   15  951   86  930  418  470 1035  781  238
  460  452  894 1017  706  799  553  106  812  575  643  556  651  307
  411  963  182  477  415  315  586  532  929 1073   72 1027   81  284
  150  263  627  946  255  212  537  481  791 1038  704  884   41 1034
   71  372  717  480 1061  397  860 1063 1059  140  733  609  285  175
  208  567  753  188  387  164  957  146   18  434  725  305   46  615
  310    2  869  239  693  138  920  551  349  624  697  715  293  571
  849]","[[0.34]
 [0.48]
 [0.  ]
 [0.02]
 [0.  ]
 [0.35]
 [0.06]
 [0.  ]
 [0.  ]
 [0.02]
 [0.16]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.52]
 [0.58]
 [0.06]
 [0.05]
 [0.01]
 [0.01]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.3 ]
 [0.  ]
 [0.6 ]
 [0.  ]
 [0.  ]
 [0.36]
 [0.12]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.82]
 [0.54]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.07]
 [0.06]
 [0.  ]
 [0.61]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.06]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.88]
 [0.  ]
 [0.  ]
 [0.07]
 [0.1 ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.55]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.19]
 [0.  ]
 [0.21]
 [0.  ]
 [0.  ]
 [0.01]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.1 ]
 [0.  ]
 [0.53]
 [0.  ]
 [0.44]
 [0.87]
 [0.82]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.33]
 [0.08]
 [0.01]
 [0.65]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.02]
 [0.14]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.42]
 [0.1 ]
 [0.  ]
 [0.57]
 [1.  ]
 [0.  ]
 [0.  ]
 [0.83]
 [0.04]
 [0.36]
 [0.  ]
 [0.12]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.02]
 [0.02]
 [0.  ]
 [0.87]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.07]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.55]
 [0.09]
 [0.  ]
 [0.01]
 [0.56]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.07]
 [0.17]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.21]
 [0.04]
 [0.  ]
 [0.62]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.03]
 [0.02]
 [0.08]
 [0.1 ]
 [0.  ]
 [0.48]
 [0.  ]
 [0.  ]
 [0.16]
 [0.  ]
 [0.18]
 [0.01]
 [0.  ]
 [0.05]]","[ 0.21  0.31 -0.06  0.18  0.    0.26 -0.03  0.05 -0.01  0.08  0.18  0.07
  0.26  0.22  0.12  0.16  0.34  0.32 -0.12  0.12  0.17 -0.   -0.04 -0.03
  0.04  0.14 -0.04  0.02 -0.02 -0.01  0.32  0.06 -0.07  0.14 -0.01 -0.03
 -0.03 -0.03  0.33  0.36 -0.02  0.02 -0.01  0.07  0.24  0.17  0.52  0.06
 -0.08 -0.05 -0.08 -0.    0.03 -0.06  0.18 -0.    0.03  0.29  0.18  0.22
  0.21  0.03  0.13 -0.05  0.11  0.31 -0.01 -0.04  0.03  0.17  0.46 -0.04
  0.1  -0.02  0.19  0.01  0.22  0.36  0.11  0.28 -0.01  0.11 -0.02 -0.07
  0.3   0.15  0.01 -0.04  0.03 -0.05  0.49 -0.06  0.3   0.41  0.33  0.24
 -0.03  0.22  0.19  0.19  0.14  0.52  0.02  0.02 -0.04  0.02  0.03  0.05
  0.04 -0.    0.16 -0.03  0.35  0.27 -0.04  0.38  0.4  -0.05  0.07  0.3
  0.32  0.43  0.01  0.27 -0.01  0.05 -0.07  0.04 -0.01  0.35 -0.02  0.03
  0.33  0.1   0.05  0.26  0.02  0.02 -0.01  0.23 -0.    0.16  0.17  0.41
  0.28  0.26 -0.    0.3   0.27 -0.05 -0.03  0.03  0.06  0.11 -0.   -0.01
  0.05  0.03  0.17 -0.02  0.53 -0.11 -0.04  0.15  0.01 -0.04 -0.01 -0.01
 -0.01 -0.07 -0.03  0.24  0.   -0.07  0.32  0.05  0.09  0.05 -0.04  0.14
  0.17  0.02  0.  ]",0.0025147976351226065
3,0.11101225542782218,0.11887112895846555,"SignificanceResult(statistic=0.4872793787973419, pvalue=2.3074138951281865e-12)","PearsonRResult(statistic=0.6540113614243337, pvalue=7.838791210775501e-24)","{'positive': False, 'alpha': 0.02}","[  23  724   87  941  539   51  198  899  516  804  287  782   68   95
  990  714  734   26   62  328  179  829  503  966   97  156  866   76
  344  541  744  221  898  172  757  464  745  422  475  730  313  513
  247   37  493  871 1074  333  875  945  468  999  955  851  224  910
  321   10  207  931  231   25  228  276  788  638  472  332  987  681
  981  357  974  525   82   48  940  770  193  345  906  342  656  132
 1008  490  240  711  723  775  732   39  608  891  330  800 1071  584
  168  363  529  713  738   79  536  381   65  369  283 1009  617  244
  352  820   32  887  908  180  749  606  816  189  444  265  792 1001
  756  217 1057  622  351  322  488  554  406  705  327  226  126 1069
  991  204  366  281  294  890  827   64   50  141 1062  570  196  279
  650 1048  818 1020  864  538  370    7  750  396  440  209  868  178
  612  300  433  234   21  435   33  223  384  237  579  329  813  833
  878  657]","[[0.  ]
 [0.  ]
 [0.  ]
 [0.17]
 [0.89]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.25]
 [0.  ]
 [0.  ]
 [0.02]
 [0.  ]
 [0.  ]
 [0.54]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.16]
 [0.01]
 [0.45]
 [0.01]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.24]
 [0.75]
 [0.  ]
 [0.  ]
 [0.91]
 [0.  ]
 [0.  ]
 [0.04]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.34]
 [0.08]
 [0.  ]
 [0.77]
 [0.62]
 [0.5 ]
 [0.83]
 [0.  ]
 [0.  ]
 [0.24]
 [0.04]
 [0.  ]
 [0.  ]
 [0.15]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.04]
 [0.04]
 [0.95]
 [0.  ]
 [0.38]
 [0.04]
 [0.47]
 [0.  ]
 [0.  ]
 [0.7 ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.18]
 [0.08]
 [0.6 ]
 [0.  ]
 [0.02]
 [0.  ]
 [0.52]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.09]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.06]
 [0.02]
 [0.01]
 [0.33]
 [0.  ]
 [0.  ]
 [0.43]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.91]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.79]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.36]
 [0.  ]
 [0.  ]
 [0.36]
 [0.  ]
 [0.07]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.43]
 [0.07]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.16]
 [0.77]
 [0.  ]
 [0.  ]
 [0.07]
 [0.16]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.33]
 [0.  ]
 [0.  ]
 [0.04]
 [0.  ]
 [0.  ]
 [0.1 ]
 [0.58]
 [0.  ]
 [0.88]
 [0.1 ]
 [0.06]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.1 ]
 [0.67]
 [0.05]
 [0.02]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.01]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]]","[-0.03 -0.01 -0.05  0.34  0.38  0.13  0.    0.21  0.2   0.06  0.06 -0.02
 -0.02  0.01  0.3   0.17 -0.02 -0.06 -0.07 -0.04  0.17  0.13  0.18  0.29
 -0.09 -0.   -0.04 -0.05  0.02 -0.09  0.08  0.03  0.19  0.12 -0.    0.21
 -0.03  0.12  0.35  0.03 -0.08  0.17  0.   -0.05  0.1  -0.01  0.45  0.01
  0.03  0.34  0.26  0.3   0.51  0.03  0.06  0.25  0.   -0.06 -0.02  0.27
  0.19 -0.08  0.1   0.05  0.02  0.01  0.33 -0.    0.27  0.    0.32  0.19
  0.25  0.2  -0.01  0.05  0.31  0.16 -0.07  0.03  0.29  0.01  0.21 -0.01
  0.37  0.16  0.26  0.13 -0.01  0.17  0.07 -0.02  0.01  0.16 -0.02  0.03
  0.42  0.05  0.03  0.17  0.28  0.16  0.01 -0.03  0.34  0.24 -0.04  0.23
  0.04  0.43 -0.01 -0.02  0.14  0.02 -0.01  0.06  0.31  0.18  0.01  0.01
  0.06  0.03  0.22 -0.04  0.05  0.31  0.07 -0.03  0.24  0.02  0.13 -0.
  0.13 -0.05  0.26  0.03 -0.05 -0.   -0.05  0.4   0.3   0.05  0.18  0.02
  0.19  0.14  0.08 -0.05  0.12 -0.03  0.29  0.01 -0.02  0.01  0.15  0.24
  0.01  0.56  0.04  0.36  0.16 -0.03  0.02  0.15  0.17  0.   -0.02  0.16
  0.05  0.26  0.05  0.2  -0.01  0.14  0.    0.04  0.15  0.23  0.01 -0.03
  0.05  0.18 -0.02  0.22]",0.007858873530643365
2,0.11514430658166071,0.10272725409295225,"SignificanceResult(statistic=0.5972657969283782, pvalue=3.589149893510598e-19)","PearsonRResult(statistic=0.6651810250333243, pvalue=7.180430193207727e-25)","{'positive': False, 'alpha': 0.02}","[ 873  211  886  392 1036  219  386  368 1067 1033  621  879  469  447
  331  521  246  993  154  919  573  996  235  943  354  774  790 1076
 1056  823  430 1050  862  232  611   53  270  504  379    4   89  508
  358  856  796  585  534  202  552  933  672  972  961  964  610  531
  801   57  408  128  509  214   78  144  700  583  675   92  954   40
  456  973  927    8   42  446  343  578  784  686   69  985  155   73
  248  607  312  859  913  736  125  364  499  347  407  786  241  528
  530  545 1039 1040  695 1029  768   98  443  618  797  506 1064 1078
  639   47  997 1044  131  971 1077  637  806   19  683  626  165  549
  258  311  158  888  161  291  267  965  340  133  350  465 1007  597
  728  747  923  220   75  828  938  428  708  979  268  660  861  701
  668 1068  785  645  659  323  445  580  814  511  795  174  928  766
  783  143  338 1047  710 1025  968  123  190  139  837  336  424  604
  582  116]","[[0.18]
 [0.  ]
 [0.  ]
 [0.07]
 [0.  ]
 [0.  ]
 [0.04]
 [0.  ]
 [0.3 ]
 [0.  ]
 [0.01]
 [0.  ]
 [0.59]
 [0.  ]
 [0.  ]
 [0.12]
 [0.01]
 [0.65]
 [0.  ]
 [0.07]
 [0.27]
 [0.17]
 [0.  ]
 [0.09]
 [0.14]
 [0.07]
 [0.  ]
 [0.77]
 [0.5 ]
 [0.  ]
 [0.04]
 [0.43]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.29]
 [0.  ]
 [0.02]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.27]
 [0.7 ]
 [0.  ]
 [0.  ]
 [0.38]
 [0.  ]
 [0.67]
 [0.1 ]
 [0.68]
 [0.  ]
 [0.17]
 [0.  ]
 [0.  ]
 [0.34]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.61]
 [0.  ]
 [0.01]
 [0.35]
 [0.25]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.25]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.1 ]
 [0.  ]
 [0.  ]
 [0.42]
 [0.  ]
 [0.01]
 [0.44]
 [0.2 ]
 [0.  ]
 [0.  ]
 [0.12]
 [0.  ]
 [0.39]
 [0.  ]
 [0.  ]
 [0.05]
 [0.04]
 [0.  ]
 [0.  ]
 [0.47]
 [0.7 ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.56]
 [0.  ]
 [0.58]
 [0.61]
 [0.04]
 [0.09]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.18]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.15]
 [0.  ]
 [0.42]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.71]
 [0.8 ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.14]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.17]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.04]
 [0.08]
 [0.  ]
 [0.  ]
 [0.53]
 [0.07]
 [0.  ]
 [0.02]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.01]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.33]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.01]
 [0.12]
 [0.  ]
 [0.07]
 [0.  ]]","[-0.01  0.03  0.03  0.23  0.25  0.01  0.23  0.24  0.32  0.22  0.02 -0.03
  0.24  0.16 -0.01  0.12  0.    0.33 -0.01  0.27  0.03  0.35  0.23  0.34
  0.15  0.17  0.03  0.45  0.3   0.05  0.22  0.25  0.    0.21  0.03  0.09
  0.02  0.18  0.27 -0.04 -0.02  0.14  0.19 -0.06 -0.01  0.05  0.27 -0.03
  0.04  0.32 -0.    0.33  0.27  0.3   0.02  0.3   0.03  0.14  0.14 -0.04
  0.12 -0.04 -0.04 -0.03 -0.03  0.04 -0.08 -0.01  0.52  0.01  0.23  0.26
  0.3   0.    0.    0.16  0.01 -0.01 -0.04 -0.06 -0.02  0.27 -0.02 -0.06
  0.02  0.01  0.01 -0.01  0.3   0.   -0.06  0.22  0.09 -0.06  0.31  0.
 -0.03  0.21  0.3  -0.01  0.26  0.27 -0.    0.26  0.08 -0.02  0.22  0.01
  0.01  0.12  0.3   0.48 -0.    0.05  0.31  0.29 -0.02  0.33  0.45 -0.01
 -0.02  0.   -0.   -0.03 -0.01  0.02  0.   -0.09 -0.06  0.04 -0.03  0.18
 -0.01  0.29 -0.01 -0.08  0.11  0.23  0.37  0.21  0.02 -0.01  0.35  0.03
 -0.05  0.07  0.32  0.19  0.03  0.33  0.    0.22 -0.01 -0.01 -0.02  0.31
 -0.    0.05  0.22 -0.1   0.06  0.03  0.04  0.09 -0.02  0.11  0.32  0.08
 -0.02 -0.02 -0.04  0.23  0.1   0.24  0.32 -0.12 -0.03 -0.04  0.2   0.01
  0.16 -0.02  0.05  0.18]",0.01241705248870846
1,0.10930186044750342,0.12324442666208905,"SignificanceResult(statistic=0.5598854563129325, pvalue=1.4259365829840087e-16)","PearsonRResult(statistic=0.7033290625691668, pvalue=8.850428276936942e-29)","{'positive': False, 'alpha': 0.1}","[ 670  846  969  947  620  353  649   35  448  703  623 1004  667  361
   16  674  134  926  720  380  867   84  876  901  727  572  441  173
  628  259  254  527  912   63  466  924 1018  127  673  399  171  518
  420  636   99 1002  515  754  893  658  205 1055  619  634 1023  970
  484  122   34  416 1012  289  633  107  574  478  629  839  348  959
  689  512  251  739  167  903  195  798  482  709  755   44  334  915
  836  877  807  743 1046  367  262  684 1031  491  535  260  105  159
  840  648  904  229  191  197  737  271  264  547 1024  495  390 1049
  542  451  546  881  831  907  414   28  958  471  215  832  855  761
  543  748  121  160   14    6  402  863   56  318  210  653 1041  848
  591  243  909  948  577  960  696  817   36  458   59  120  718   43
  514  498   12 1026  479  391  157  373  677  568  272  978  896  147
  517  950  463 1054   74  740   11 1003  698  278  666  712  398  995
   93  170]","[[0.  ]
 [0.  ]
 [0.64]
 [0.4 ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.06]
 [0.  ]
 [0.  ]
 [0.78]
 [0.  ]
 [0.01]
 [0.  ]
 [0.  ]
 [0.02]
 [0.  ]
 [0.05]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.01]
 [0.  ]
 [0.  ]
 [0.07]
 [0.02]
 [0.  ]
 [0.  ]
 [0.09]
 [0.43]
 [0.65]
 [0.  ]
 [0.51]
 [0.73]
 [0.74]
 [0.  ]
 [0.  ]
 [0.32]
 [0.  ]
 [0.  ]
 [0.33]
 [0.07]
 [0.  ]
 [0.51]
 [0.  ]
 [0.  ]
 [0.23]
 [0.  ]
 [0.27]
 [0.25]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.52]
 [0.01]
 [0.  ]
 [0.  ]
 [0.58]
 [0.76]
 [0.  ]
 [0.29]
 [0.  ]
 [0.  ]
 [0.92]
 [0.  ]
 [0.  ]
 [0.02]
 [0.74]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.26]
 [0.07]
 [0.  ]
 [0.17]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.4 ]
 [0.05]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.01]
 [0.12]
 [0.08]
 [0.9 ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.24]
 [0.  ]
 [0.  ]
 [0.02]
 [0.04]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.3 ]
 [0.  ]
 [0.75]
 [0.74]
 [0.  ]
 [0.31]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.18]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.02]
 [0.45]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.29]
 [0.01]
 [0.  ]
 [0.1 ]
 [0.59]
 [0.74]
 [0.  ]
 [0.65]
 [0.  ]
 [0.09]
 [0.  ]
 [0.21]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.78]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.36]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.6 ]
 [0.68]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.89]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.  ]
 [0.68]
 [0.  ]
 [0.  ]]","[ 0.05  0.02  0.26  0.31  0.04  0.17  0.16 -0.    0.12  0.07  0.05  0.29
  0.04  0.12 -0.03  0.01 -0.04  0.23  0.23  0.16  0.01  0.01  0.06  0.24
  0.04  0.06  0.15  0.14  0.03  0.01 -0.03  0.19  0.23 -0.05  0.19  0.25
  0.46 -0.01 -0.01  0.14  0.12  0.12  0.29  0.06 -0.01  0.27  0.16  0.05
  0.19  0.21 -0.05  0.26  0.04  0.06  0.21  0.28  0.12 -0.04 -0.04  0.37
  0.41  0.15  0.05  0.03  0.06  0.35  0.03  0.22  0.06  0.48  0.03  0.11
  0.03  0.02  0.03  0.23 -0.02  0.03  0.1   0.14  0.06  0.02  0.03  0.23
  0.2   0.03  0.01  0.06  0.21  0.18 -0.    0.06  0.25  0.16  0.27  0.02
  0.01 -0.06  0.22  0.09  0.24  0.16  0.02  0.    0.03  0.01  0.03  0.04
  0.22  0.09  0.14  0.23 -0.    0.13  0.02  0.05  0.17  0.23  0.35 -0.03
  0.43  0.29  0.02  0.16  0.01  0.06  0.01  0.03 -0.04  0.01 -0.06 -0.03
  0.2   0.06  0.13 -0.   -0.01  0.2   0.24  0.04  0.18 -0.02  0.24  0.36
 -0.01  0.52  0.06  0.03 -0.01  0.15  0.16  0.16  0.2   0.02  0.16  0.11
  0.    0.22  0.36  0.2  -0.03  0.12  0.03  0.03  0.02  0.25  0.2  -0.09
  0.14  0.41  0.17  0.26 -0.04  0.04 -0.02  0.29  0.04  0.01  0.02  0.18
  0.2   0.27 -0.01  0.05]",0.01394256621458563
