LGBM,RF,XGB,DT,kNN,PLS,lasso,MLR
0.04911425563212096,0.01675752547997178,0.01521334846061001,0.059899095926590595,0.05631859992434546,0.052844983243525656,0.012707660932339104,0.0744905145810783
0.05327213112322654,0.06007584735719351,0.05803438124003418,0.04112348897843088,0.08309191130371951,0.026643031330009004,0.04939645565152545,0.04700440381951909
0.055730298659814326,0.015184877933159424,0.00017983559806017402,0.029627873903768642,0.006846917735138847,0.11883507398335097,0.06329595747798161,0.1356193297864604
0.05429185089900501,0.0695769139606543,0.07769129989864304,0.015347238682152153,0.026490154726493742,0.09469147303525943,0.030264504180441076,0.0954184345374427
0.03960395505284914,0.012110689736904323,0.00021301374867160883,0.03232401042901162,0.04965872646294772,0.04443336584720081,0.03510425712575699,0.04763307294634417
0.011319355133323716,0.014278264991704204,0.017544412321885028,0.0485727829885213,0.012450851003428909,0.0374294541602489,0.08433648040772246,0.013582138651972886
0.11631224628953118,0.06186063048115653,0.07154872591079026,0.08989096942403407,0.0914131448957195,0.012046975047301456,0.16168510566597627,0.026923420580879487
0.053849880719200494,0.04559611282294379,0.010656775598080703,0.18478904953780517,0.06593613463537601,0.07527591727686911,0.01623414846308352,0.08806407531497296
0.048144543209979074,0.01257881014458373,0.05031827716613774,6.772085463713218e-05,0.049246538997744504,0.009431490199360792,0.04462705289723873,0.010416129140210839
0.048993648182533545,0.08169589950225159,0.07758433984393448,0.16745674330410054,0.07472785940895271,0.08549786261606285,0.034718949906843544,0.10625948000672847
0.007597350027538419,0.07300900687366657,0.06240281586992874,0.06583313581417394,0.10228029657057919,0.09318033097065909,0.027854337828190634,0.08862897874415382
0.03517737758895617,0.047895235837876256,0.048864442855119705,0.08172552737615549,0.1316128833492466,0.26999775396752423,0.34519251374302806,0.2895466328768135
0.014758569132340967,0.015296278739037683,0.015584360808134079,0.0,0.2657511048290633,0.3976956888697234,0.4219880171853339,0.37578378618374475
0.020816996355235262,0.005461009717942722,0.0005157163468660353,0.014952200363435142,0.20827519863620284,0.37220320498608295,0.2505350566701898,0.3548615430247003
0.21645213904025734,0.20980208580232274,0.1726586456673494,0.20538042190092431,0.20840199856838254,0.018063446764877478,0.07952275777344747,0.0281518710185176
