RF,LGBM,DT,XGB,MLP,kNN,MLR,PLS,lasso
0.03974278872619175,0.058790586748591604,0.0,0.06600245833396912,0.013168033433229372,0.05554045078901621,0.040389977756611885,0.012734042495237616,0.060475800827531054
0.007203016624463264,0.008354046192519582,0.006000220191566652,0.011771916175064456,0.006424628563346267,0.0010915175311926716,0.016571464073942166,0.009963034968140466,0.022216062832377016
0.29098453154244214,0.1961540283570153,0.049102719365848285,0.26528581976890564,0.16046456419688293,0.025535215353300344,0.23698992811550915,0.2126412468151705,0.14233005226817308
0.02688153693713532,0.09973272786215148,0.08070020918198828,0.042465960062063296,0.03360485510876243,0.006563960271510714,0.14027374667722092,0.14713233370049864,0.17455241996049065
0.1516219861279312,0.0700708458183546,0.40217989650996355,0.2213140918231281,0.24782221533291926,0.17942878124500639,0.04688647969465032,0.033921458249369985,0.08629662700978658
0.05459016844654837,0.07445698603896563,0.06875481669052075,0.06677433848381042,0.1770188357925462,0.058154483693785196,0.2270211001482865,0.22867055006309756,0.1643373012938026
0.0089377133105802,0.02951277631167812,0.022074204557965424,0.045320093631744385,0.07589746399445363,0.16831013153350996,0.16600674007655117,0.14896400532287374,0.18185861591561645
0.012271964108774628,0.013055437709759476,0.012000440383133304,0.03804773209077417,0.07908575673507781,0.03810275616055347,0.04717536985312673,0.06387251573562448,0.07587544095380903
0.22625096333810424,0.12089475965011298,0.1977320268633711,0.08986787900097315,0.08241698431648536,0.19598227370932975,0.49074095277024105,0.46799101044264324,0.5212422087725632
0.0038745458548937167,0.002163785144003087,0.011560057249807326,0.007243721509155643,0.04907586983388471,0.08425465620631957,0.14882299180579378,0.14851819028270175,0.18393751043399925
0.008287460090278526,0.008771670506489197,0.012000440383133304,0.0006575286388397217,0.026333218208875,0.039812181867591126,0.015057396675560534,0.0016049801165714528,0.018029591915923574
0.0266372619178685,0.01513948524454961,0.0002201915666629889,0.0429859459400177,0.10459237347064829,0.035121746180397866,0.10173424479915574,0.05299482577056755,0.005712660671240012
0.012170813607838822,0.021072322900107975,0.02212925244963118,0.005218872500452887,0.0160806376351035,0.34615495532991963,0.16346266281550342,0.18529394124019524,0.21787333489605057
0.019550533964549113,0.009751760479303592,0.0,0.008057355880737305,0.1040887058519068,0.048316910239275174,0.2018813506823717,0.18412292035227792,0.10272021795284408
0.021948282505779924,0.0034040993526931007,0.012000440383133304,0.0031578242778778076,0.03408805086705278,0.11630276390916286,0.20561848238913724,0.17027399917408068,0.06739087305446527
0.15553905647913735,0.06525907791585944,0.09556313993174059,0.07500998404967574,0.1422974696981811,0.25499438319319234,0.118848545657456,0.1308527686186723,0.18872822888276486
0.044942062094021774,0.0940336907096925,0.0,0.15095022320747375,0.09376575284544464,0.018169643804056883,0.012082821716955022,0.012009347148998734,0.01946137864781918
0.32231146097104446,0.19104783533089595,0.49168776835847183,0.186074573333786,0.05999112845104032,0.21265588017265583,0.32946238783661774,0.30253479684010554,0.24375862896303016
0.004165473962347234,0.011332031365684073,0.025872509082902145,0.029444934105697262,0.050439479088332385,0.052464988566626666,0.016419924178712977,0.06130244545286867,0.029436955215666236
0.01395051194539247,0.006501545538592501,0.0004403831333259778,0.03241273760795593,0.1873393270761422,0.01567149710038132,0.08391721882568598,0.06639219402415214,0.011475090126441354
0.0015168446548496778,0.021937046770937454,0.02014752834966424,0.004021321809804995,0.040363591162824036,0.011794960075567566,0.0032881022949227887,0.024175503624228767,0.03758503180838896
0.04303313883078272,0.01827136620718703,0.10106792909831551,0.0666830837726593,0.07200644005751275,0.09359375092195274,0.01594096961788352,0.032530117424491675,0.03539106479449017
0.01309988439942749,0.01645570184548345,0.11725200924804577,0.026380449533462524,0.010479215146391531,0.014367936128795888,0.16776747226801944,0.20402348955551508,0.23104431607253648
0.23450677089067498,0.42314291176449137,0.45634702190906085,0.2562867999076843,0.2368389023654313,0.049510171498592465,0.33288692123594144,0.326905428333108,0.27225258678734865
0.09979508422327422,0.0747483773787553,0.006000220191566652,0.16594931600076257,0.1357358041174577,0.09248107885131572,0.3329536104882035,0.3045484617631844,0.2523541830592889
0.0011507761752724865,0.024384427016482756,0.030551579874490795,0.023286819458007812,0.0363290890182846,0.05689714205139927,0.011859087054201042,0.011427665056595843,0.031296028948474636
0.011914015193218077,0.0024048746701660056,0.012000440383133304,0.01190724852102698,0.03469636428103214,0.0328267479355808,0.009581523115362447,0.02306603858583875,0.015411629116156914
0.04291272156776391,0.0297337480521381,0.070241109765496,0.045315444469451904,0.0782783158736636,0.004370783825112543,0.19852667517381128,0.20557026284733843,0.2123297669643216
0.0011584828801057129,0.010348753275660285,0.012000440383133304,0.01752790691870154,0.0177352257996461,0.017876120821807718,0.005409807203462545,0.021034647968328546,0.013938855099702559
0.42317887812396787,0.4050795692283848,0.4354288230760762,0.4076702843530843,0.3134831584673092,0.08304655613395678,0.2814207257289262,0.27250909030504894,0.25023405787763087
0.0451226191786854,0.03242488841881981,0.01855113949135749,0.010862852870715839,0.0629021610155365,0.09981936189260521,0.21601979990844386,0.23052319405141866,0.18134662123487014
0.29089824397225583,0.33320987374507555,0.17075855994715394,0.31720396211582247,0.22985966615981834,0.31946226332223737,0.47295747832459495,0.45079730594873274,0.5042647180369599
0.012363894087856361,0.03671828167561986,0.01007376417483212,0.04038692024997528,0.06241352034829162,0.0463831771253847,0.002684394235799723,0.02244676927694078,0.03737518204560353
0.03981751623912809,0.033018449052309884,0.0637454585489376,0.03672750753727988,0.012452489847040227,0.05965283727212467,0.07394580783438111,0.10662814583743399,0.07737593969219629
0.012492430914895936,0.024418180330345287,0.006000220191566652,0.01516464352607727,0.03367321352225642,0.0011555225861571005,0.017716577989003023,0.046049130102912866,0.06329983090077695
0.002673813717934603,0.01023678033447914,0.0,0.005675315856933594,0.0807573647940682,0.009642371758041564,0.002912602976814892,0.04916000002785492,0.00825968059657715
0.00703470769569525,0.002099479830724311,0.0,0.0010161399841308594,0.01952448777827124,0.0016401298512845627,0.013168789628041874,0.011146820740412816,0.025947385851133827
0.041790019817240974,0.0762818691779097,0.070241109765496,0.09484216570854187,0.13878545830060032,0.17855640126139083,0.21931031655468225,0.2518010339520871,0.27108659819245295
0.014867196961356384,0.04291042187835394,0.0004403831333259778,0.07943454963263472,0.07890430559983533,0.38342824406086407,0.04993262462546998,0.06387376130528748,0.10637602647839926
0.06500110095783229,0.08339837740261802,0.08664538148188927,0.060201709961872796,0.12763755674128607,0.06005822761925994,0.1459937944062883,0.12099522542206043,0.17826132210009138
0.009122536606847937,0.017335966535178295,0.0705713971154905,0.011149435067352664,0.00632198637123061,0.012000440383133304,0.007974507980108129,0.024965165648665702,0.06143763807681232
0.0008276450511946476,0.005948417580157989,0.05174501816580429,0.020597647005643094,0.045888817768104745,0.008493905700174872,0.16988467237877722,0.1594997533896415,0.10227488976634347
0.04852609270064956,0.026322002992431058,0.01695475063305074,0.04515835219551442,0.002469642614507307,0.036271397816452805,0.05260156882518706,0.10509646667574543,0.0706069518474523
