Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,18PG,DOPE,DSPC,DOTAP,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_ARPE19
19,18PG,0,1,8.8188,3,10,1,1,0,0,0,227.4,0.285666667,0.728366667,4,0.199600798,60,0.99009901,2.398
20,18PG,0,1,8.8188,3,10,1,1,0,0,0,217.1,0.286333333,-0.417,8,0.199600798,60,0.99009901,2.303
21,18PG,0,1,8.8188,3,10,1,1,0,0,0,241.5666667,0.296333333,-2.663333333,12,0.199600798,60,0.99009901,1.946
22,18PG,0,1,8.8188,3,10,1,1,0,0,0,188.8333333,0.565833333,-25.4,4,0.199600798,80,0.99009901,2.833
23,18PG,0,1,8.8188,3,10,1,1,0,0,0,184.6,0.429666667,-17.4,8,0.199600798,80,0.99009901,1.946
24,18PG,0,1,8.8188,3,10,1,1,0,0,0,285.2666667,0.270666667,-8.583333333,12,0.199600798,80,0.99009901,1.5
25,18PG,0,1,8.8188,3,10,1,1,0,0,0,431.4,0.301666667,-6.4,4,0.199600798,20,1.960784314,5.447
26,18PG,0,1,8.8188,3,10,1,1,0,0,0,265.1333333,0.512666667,-3.806666667,8,0.199600798,20,1.960784314,5.561
27,18PG,0,1,8.8188,3,10,1,1,0,0,0,1283.4,0.621666667,-1.361666667,12,0.199600798,20,1.960784314,4.828
28,18PG,0,1,8.8188,3,10,1,1,0,0,0,281.9333333,0.463333333,-5.183333333,4,0.199600798,40,1.960784314,4.554
29,18PG,0,1,8.8188,3,10,1,1,0,0,0,247.4666667,0.442333333,-2.506666667,8,0.199600798,40,1.960784314,4.956
30,18PG,0,1,8.8188,3,10,1,1,0,0,0,230.4,0.252,-2.166666667,12,0.199600798,40,1.960784314,4.86
31,18PG,0,1,8.8188,3,10,1,1,0,0,0,215.5666667,0.283333333,0.091,4,0.199600798,60,1.960784314,1.946
32,18PG,0,1,8.8188,3,10,1,1,0,0,0,221.9666667,0.240333333,-0.125666667,8,0.199600798,60,1.960784314,2.485
33,18PG,0,1,8.8188,3,10,1,1,0,0,0,234.9333333,0.281333333,0.407333333,12,0.199600798,60,1.960784314,1.609
34,18PG,0,1,8.8188,3,10,1,1,0,0,0,172.3666667,0.537333333,-25.33333333,4,0.199600798,80,1.960784314,1.792
35,18PG,0,1,8.8188,3,10,1,1,0,0,0,163.9833333,0.436166667,-6.63,8,0.199600798,80,1.960784314,1.946
36,18PG,0,1,8.8188,3,10,1,1,0,0,0,247.1,0.323,-11.83333333,12,0.199600798,80,1.960784314,2.079
37,18PG,0,1,8.8188,3,10,1,1,0,0,0,303.8,0.320333333,-4.81,4,0.199600798,20,9.090909091,4.127
38,18PG,0,1,8.8188,3,10,1,1,0,0,0,462.6666667,0.568333333,-3.45,8,0.199600798,20,9.090909091,3.526
39,18PG,0,1,8.8188,3,10,1,1,0,0,0,947.7666667,0.293,-0.677333333,12,0.199600798,20,9.090909091,3.045
40,18PG,0,1,8.8188,3,10,1,1,0,0,0,242.8,0.251,1.363333333,4,0.199600798,40,9.090909091,2.485
41,18PG,0,1,8.8188,3,10,1,1,0,0,0,182.1,0.263,-1.420666667,8,0.199600798,40,9.090909091,3.045
42,18PG,0,1,8.8188,3,10,1,1,0,0,0,252.6333333,0.273666667,-2.366666667,12,0.199600798,40,9.090909091,2.303
