Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_N2a
58,18PG,0,1,9.3028,3,10,1,476.1166667,0.131333333,-6.776666667,4,0.199600798,80,50.0,2.0
59,18PG,0,1,9.3028,3,10,1,418.8333333,0.151833333,-5.44,8,0.199600798,80,50.0,2.0
60,18PG,0,1,9.3028,3,10,1,268.4333333,0.102,-4.47,12,0.199600798,80,50.0,2.0
61,18PG,0,1,9.3028,3,10,1,514.5666667,0.964,-1.836666667,4,0.99009901,20,0.497512438,5.677
62,18PG,0,1,9.3028,3,10,1,209.0,0.518,-1.497333333,8,0.99009901,20,0.497512438,5.17
63,18PG,0,1,9.3028,3,10,1,296.5333333,0.349333333,-1.007333333,12,0.99009901,20,0.497512438,3.951
64,18PG,0,1,9.3028,3,10,1,75.20666667,0.609333333,-1.843333333,4,0.99009901,40,0.497512438,5.308
65,18PG,0,1,9.3028,3,10,1,210.5666667,0.548,-0.593366667,8,0.99009901,40,0.497512438,3.178
66,18PG,0,1,9.3028,3,10,1,184.1666667,0.46,-7.61,12,0.99009901,40,0.497512438,4.344
67,18PG,0,1,9.3028,3,10,1,133.6666667,0.504666667,-4.72,4,0.99009901,60,0.497512438,5.313
68,18PG,0,1,9.3028,3,10,1,145.6666667,0.482666667,-3.62,8,0.99009901,60,0.497512438,4.554
69,18PG,0,1,9.3028,3,10,1,164.5333333,0.325666667,-4.233333333,12,0.99009901,60,0.497512438,5.278
70,18PG,0,1,9.3028,3,10,1,415.6,0.144666667,-2.0,4,0.99009901,80,0.497512438,4.682
71,18PG,0,1,9.3028,3,10,1,420.6,0.213666667,-2.613333333,8,0.99009901,80,0.497512438,3.497
72,18PG,0,1,9.3028,3,10,1,725.6666667,0.112,-0.015666667,12,0.99009901,80,0.497512438,5.136
73,18PG,0,1,9.3028,3,10,1,613.1333333,0.699333333,-2.063333333,4,0.99009901,20,0.99009901,5.908
74,18PG,0,1,9.3028,3,10,1,187.7333333,0.447,-1.543333333,8,0.99009901,20,0.99009901,5.13
75,18PG,0,1,9.3028,3,10,1,99.15666667,0.669666667,-1.906666667,12,0.99009901,20,0.99009901,4.443
76,18PG,0,1,9.3028,3,10,1,118.2,0.441,-1.441,4,0.99009901,40,0.99009901,5.407
77,18PG,0,1,9.3028,3,10,1,170.9666667,0.641666667,-1.497333333,8,0.99009901,40,0.99009901,4.625
78,18PG,0,1,9.3028,3,10,1,215.6333333,0.624,-4.113333333,12,0.99009901,40,0.99009901,4.654
79,18PG,0,1,9.3028,3,10,1,182.2,0.565,-3.46,4,0.99009901,60,0.99009901,4.575
80,18PG,0,1,9.3028,3,10,1,207.7333333,0.412333333,-5.52,8,0.99009901,60,0.99009901,4.736
81,18PG,0,1,9.3028,3,10,1,348.7,0.722666667,-2.886666667,12,0.99009901,60,0.99009901,5.13
82,18PG,0,1,9.3028,3,10,1,379.2666667,0.080666667,-2.153333333,4,0.99009901,80,0.99009901,5.056
