Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,Chol_DMG-PEG_ratio,Dlin-MC3+Helper lipid percentage,Dlin-MC3_Helper lipid_ratio,RLU_B16
20,18PG,0,1,9.3028,3,10,36,1,217.1,0.286333333,-0.417,8,500,60,100,2.0
21,18PG,0,1,9.3028,3,10,36,1,241.5666667,0.296333333,-2.663333333,12,500,60,100,2.0
22,18PG,0,1,9.3028,3,10,36,1,188.8333333,0.565833333,-25.4,4,500,80,100,2.0
23,18PG,0,1,9.3028,3,10,36,1,184.6,0.429666667,-17.4,8,500,80,100,2.0
24,18PG,0,1,9.3028,3,10,36,1,285.2666667,0.270666667,-8.583333333,12,500,80,100,2.0
25,18PG,0,1,9.3028,3,10,36,1,431.4,0.301666667,-6.4,4,500,20,50,2.251
26,18PG,0,1,9.3028,3,10,36,1,265.1333333,0.512666667,-3.806666667,8,500,20,50,2.442
27,18PG,0,1,9.3028,3,10,36,1,1283.4,0.621666667,-1.361666667,12,500,20,50,2.079
28,18PG,0,1,9.3028,3,10,36,1,281.9333333,0.463333333,-5.183333333,4,500,40,50,2.442
29,18PG,0,1,9.3028,3,10,36,1,247.4666667,0.442333333,-2.506666667,8,500,40,50,2.0
30,18PG,0,1,9.3028,3,10,36,1,230.4,0.252,-2.166666667,12,500,40,50,2.526
31,18PG,0,1,9.3028,3,10,36,1,215.5666667,0.283333333,0.091,4,500,60,50,2.0
32,18PG,0,1,9.3028,3,10,36,1,221.9666667,0.240333333,-0.125666667,8,500,60,50,2.0
33,18PG,0,1,9.3028,3,10,36,1,234.9333333,0.281333333,0.407333333,12,500,60,50,2.0
34,18PG,0,1,9.3028,3,10,36,1,172.3666667,0.537333333,-25.33333333,4,500,80,50,2.0
35,18PG,0,1,9.3028,3,10,36,1,163.9833333,0.436166667,-6.63,8,500,80,50,2.0
36,18PG,0,1,9.3028,3,10,36,1,247.1,0.323,-11.83333333,12,500,80,50,2.0
37,18PG,0,1,9.3028,3,10,36,1,303.8,0.320333333,-4.81,4,500,20,10,2.0
38,18PG,0,1,9.3028,3,10,36,1,462.6666667,0.568333333,-3.45,8,500,20,10,2.0
39,18PG,0,1,9.3028,3,10,36,1,947.7666667,0.293,-0.677333333,12,500,20,10,2.0
40,18PG,0,1,9.3028,3,10,36,1,242.8,0.251,1.363333333,4,500,40,10,2.0
41,18PG,0,1,9.3028,3,10,36,1,182.1,0.263,-1.420666667,8,500,40,10,2.0
42,18PG,0,1,9.3028,3,10,36,1,252.6333333,0.273666667,-2.366666667,12,500,40,10,2.0
43,18PG,0,1,9.3028,3,10,36,1,242.8,0.252666667,-1.566666667,4,500,60,10,2.0
44,18PG,0,1,9.3028,3,10,36,1,202.9666667,0.257333333,-2.063333333,8,500,60,10,2.0
45,18PG,0,1,9.3028,3,10,36,1,142.2666667,0.268333333,-0.186,12,500,60,10,2.0
46,18PG,0,1,9.3028,3,10,36,1,154.0833333,0.3755,-22.66666667,4,500,80,10,2.0
47,18PG,0,1,9.3028,3,10,36,1,172.25,0.288833333,-0.437,8,500,80,10,2.0
48,18PG,0,1,9.3028,3,10,36,1,175.9333333,0.234333333,-2.24,12,500,80,10,2.0
49,18PG,0,1,9.3028,3,10,36,1,1859.333333,0.579,-19.73333333,4,500,20,1,2.0
50,18PG,0,1,9.3028,3,10,36,1,487.5,0.492333333,-3.413333333,8,500,20,1,2.0
51,18PG,0,1,9.3028,3,10,36,1,1049.966667,0.215333333,-2.423333333,12,500,20,1,2.0
52,18PG,0,1,9.3028,3,10,36,1,370.2333333,0.760333333,-25.56666667,4,500,40,1,2.0
53,18PG,0,1,9.3028,3,10,36,1,1164.833333,0.693666667,-15.7,8,500,40,1,2.0
54,18PG,0,1,9.3028,3,10,36,1,1153.333333,0.461,-4.87,12,500,40,1,2.0
55,18PG,0,1,9.3028,3,10,36,1,1720.666667,0.716333333,-28.26666667,4,500,60,1,2.0
56,18PG,0,1,9.3028,3,10,36,1,214.1666667,0.147333333,-17.83333333,8,500,60,1,2.0
57,18PG,0,1,9.3028,3,10,36,1,1034.266667,0.683333333,-5.81,12,500,60,1,2.0
58,18PG,0,1,9.3028,3,10,36,1,476.1166667,0.131333333,-6.776666667,4,500,80,1,2.0
59,18PG,0,1,9.3028,3,10,36,1,418.8333333,0.151833333,-5.44,8,500,80,1,2.0
60,18PG,0,1,9.3028,3,10,36,1,268.4333333,0.102,-4.47,12,500,80,1,2.0
61,18PG,0,1,9.3028,3,10,36,1,514.5666667,0.964,-1.836666667,4,100,20,200,3.178
62,18PG,0,1,9.3028,3,10,36,1,209.0,0.518,-1.497333333,8,100,20,200,2.862
63,18PG,0,1,9.3028,3,10,36,1,296.5333333,0.349333333,-1.007333333,12,100,20,200,2.0
64,18PG,0,1,9.3028,3,10,36,1,75.20666667,0.609333333,-1.843333333,4,100,40,200,2.303
65,18PG,0,1,9.3028,3,10,36,1,210.5666667,0.548,-0.593366667,8,100,40,200,2.89
66,18PG,0,1,9.3028,3,10,36,1,184.1666667,0.46,-7.61,12,100,40,200,2.14
67,18PG,0,1,9.3028,3,10,36,1,133.6666667,0.504666667,-4.72,4,100,60,200,2.251
68,18PG,0,1,9.3028,3,10,36,1,145.6666667,0.482666667,-3.62,8,100,60,200,2.0
69,18PG,0,1,9.3028,3,10,36,1,164.5333333,0.325666667,-4.233333333,12,100,60,200,2.0
70,18PG,0,1,9.3028,3,10,36,1,415.6,0.144666667,-2.0,4,100,80,200,2.0
71,18PG,0,1,9.3028,3,10,36,1,420.6,0.213666667,-2.613333333,8,100,80,200,2.0
72,18PG,0,1,9.3028,3,10,36,1,725.6666667,0.112,-0.015666667,12,100,80,200,2.0
73,18PG,0,1,9.3028,3,10,36,1,613.1333333,0.699333333,-2.063333333,4,100,20,100,2.996
74,18PG,0,1,9.3028,3,10,36,1,187.7333333,0.447,-1.543333333,8,100,20,100,3.418
75,18PG,0,1,9.3028,3,10,36,1,99.15666667,0.669666667,-1.906666667,12,100,20,100,2.0
