Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,Chol_DMG-PEG_ratio,Dlin-MC3+Helper lipid percentage,Dlin-MC3_Helper lipid_ratio,RLU_B16
250,DOPE,1,1,9.784,2,9,36,2,219.6333333,0.307666667,-15.26666667,4,100,80,200,2.0
251,DOPE,1,1,9.784,2,9,36,2,141.4666667,0.245666667,-3.21,8,100,80,200,2.0
252,DOPE,1,1,9.784,2,9,36,2,160.0333333,0.184333333,-4.51,12,100,80,200,5.841
253,DOPE,1,1,9.784,2,9,36,2,176.9333333,0.24,-4.66,4,100,20,100,3.481
254,DOPE,1,1,9.784,2,9,36,2,263.8333333,0.433333333,-6.34,8,100,20,100,2.944
255,DOPE,1,1,9.784,2,9,36,2,303.3666667,0.674666667,-2.326666667,12,100,20,100,3.434
256,DOPE,1,1,9.784,2,9,36,2,174.6666667,0.246333333,-3.043333333,4,100,40,100,2.603
257,DOPE,1,1,9.784,2,9,36,2,148.9333333,0.217333333,-0.049066667,8,100,40,100,3.624
258,DOPE,1,1,9.784,2,9,36,2,152.4666667,0.288333333,-1.993333333,12,100,40,100,3.871
259,DOPE,1,1,9.784,2,9,36,2,164.2,0.201666667,-2.476666667,4,100,60,100,2.603
260,DOPE,1,1,9.784,2,9,36,2,150.2666667,0.204333333,1.32,8,100,60,100,2.303
261,DOPE,1,1,9.784,2,9,36,2,191.8,0.244333333,-1.426666667,12,100,60,100,4.324
262,DOPE,1,1,9.784,2,9,36,2,241.5333333,0.267,-15.93333333,4,100,80,100,2.0
263,DOPE,1,1,9.784,2,9,36,2,148.0333333,0.21,-3.53,8,100,80,100,2.0
264,DOPE,1,1,9.784,2,9,36,2,155.5666667,0.167333333,-3.316666667,12,100,80,100,5.021
265,DOPE,1,1,9.784,2,9,36,2,153.8666667,0.203,-3.213333333,4,100,20,50,3.296
266,DOPE,1,1,9.784,2,9,36,2,203.9333333,0.501,-2.766666667,8,100,20,50,2.708
267,DOPE,1,1,9.784,2,9,36,2,263.9333333,0.412333333,-1.060666667,12,100,20,50,2.89
268,DOPE,1,1,9.784,2,9,36,2,170.0666667,0.220333333,-3.176666667,4,100,40,50,3.157
269,DOPE,1,1,9.784,2,9,36,2,158.3666667,0.279,-1.57,8,100,40,50,4.19
270,DOPE,1,1,9.784,2,9,36,2,130.9333333,0.215,0.963666667,12,100,40,50,6.146
271,DOPE,1,1,9.784,2,9,36,2,160.7333333,0.165333333,-3.816666667,4,100,60,50,2.773
272,DOPE,1,1,9.784,2,9,36,2,138.7333333,0.185333333,0.242266667,8,100,60,50,3.541
273,DOPE,1,1,9.784,2,9,36,2,152.2333333,0.245666667,-1.88,12,100,60,50,5.142
274,DOPE,1,1,9.784,2,9,36,2,189.0,0.199,-15.9,4,100,80,50,2.862
275,DOPE,1,1,9.784,2,9,36,2,147.2,0.241333333,-5.523333333,8,100,80,50,2.442
276,DOPE,1,1,9.784,2,9,36,2,148.5333333,0.207,-2.94,12,100,80,50,5.952
277,DOPE,1,1,9.784,2,9,36,2,154.9,0.957333333,-5.373333333,4,100,20,10,3.624
278,DOPE,1,1,9.784,2,9,36,2,230.9333333,0.481666667,-2.173333333,8,100,20,10,3.384
279,DOPE,1,1,9.784,2,9,36,2,168.1666667,0.428,-0.284166667,12,100,20,10,3.784
280,DOPE,1,1,9.784,2,9,36,2,164.0666667,0.157333333,-0.60825,4,100,40,10,4.35
281,DOPE,1,1,9.784,2,9,36,2,478.0,0.815333333,-3.73,8,100,40,10,5.836
282,DOPE,1,1,9.784,2,9,36,2,161.1333333,0.330333333,0.813333333,12,100,40,10,6.599
283,DOPE,1,1,9.784,2,9,36,2,179.6666667,0.263333333,1.84,4,100,60,10,3.85
284,DOPE,1,1,9.784,2,9,36,2,153.8,0.197333333,-0.397333333,8,100,60,10,4.696
285,DOPE,1,1,9.784,2,9,36,2,150.7333333,0.228333333,-0.254666667,12,100,60,10,6.184
286,DOPE,1,1,9.784,2,9,36,2,222.5666667,0.208,-12.13333333,4,100,80,10,3.761
287,DOPE,1,1,9.784,2,9,36,2,166.1666667,0.209333333,-6.06,8,100,80,10,4.143
288,DOPE,1,1,9.784,2,9,36,2,198.6666667,0.219,-0.9158,12,100,80,10,5.531
289,DOPE,1,1,9.784,2,9,36,2,236.7666667,0.272333333,-3.646666667,4,100,20,1,4.615
290,DOPE,1,1,9.784,2,9,36,2,211.3666667,0.439666667,1.916666667,8,100,20,1,2.197
291,DOPE,1,1,9.784,2,9,36,2,182.6,0.281,0.651,12,100,20,1,2.773
292,DOPE,1,1,9.784,2,9,36,2,179.9,0.168333333,-1.32,4,100,40,1,4.883
293,DOPE,1,1,9.784,2,9,36,2,196.2,0.148333333,2.876666667,8,100,40,1,5.097
294,DOPE,1,1,9.784,2,9,36,2,180.0,0.512666667,-3.013333333,12,100,40,1,4.687
295,DOPE,1,1,9.784,2,9,36,2,197.7,0.18,0.54,4,100,60,1,5.529
296,DOPE,1,1,9.784,2,9,36,2,148.4666667,0.206666667,4.106666667,8,100,60,1,6.308
297,DOPE,1,1,9.784,2,9,36,2,171.6333333,0.198666667,1.651,12,100,60,1,5.844
298,DOPE,1,1,9.784,2,9,36,2,253.0666667,0.335333333,-0.074666667,4,100,80,1,6.763
299,DOPE,1,1,9.784,2,9,36,2,186.6333333,0.255,-5.6,8,100,80,1,6.818
300,DOPE,1,1,9.784,2,9,36,2,150.0333333,0.178,6.683333333,12,100,80,1,6.02
301,DOPE,1,1,9.784,2,9,36,2,274.6,0.739666667,-9.106666667,4,10,20,200,2.0
302,DOPE,1,1,9.784,2,9,36,2,236.6,0.577,-4.033333333,8,10,20,200,2.0
303,DOPE,1,1,9.784,2,9,36,2,405.4,0.707666667,-5.893333333,12,10,20,200,2.526
304,DOPE,1,1,9.784,2,9,36,2,170.1333333,0.409333333,-5.413333333,4,10,40,200,2.398
305,DOPE,1,1,9.784,2,9,36,2,176.6666667,0.290333333,-1.593333333,8,10,40,200,2.251
306,DOPE,1,1,9.784,2,9,36,2,260.6666667,0.788666667,-1.943333333,12,10,40,200,3.239
307,DOPE,1,1,9.784,2,9,36,2,153.6333333,0.193,-3.223333333,4,10,60,200,2.0
308,DOPE,1,1,9.784,2,9,36,2,153.0333333,0.370333333,-1.48,8,10,60,200,2.251
309,DOPE,1,1,9.784,2,9,36,2,149.9,0.288333333,-2.086666667,12,10,60,200,3.114
310,DOPE,1,1,9.784,2,9,36,2,133.1,0.144333333,-3.64,4,10,80,200,2.0
311,DOPE,1,1,9.784,2,9,36,2,138.3666667,0.247666667,-33.9,8,10,80,200,2.0
312,DOPE,1,1,9.784,2,9,36,2,136.2333333,0.169,-2.783333333,12,10,80,200,4.111
313,DOPE,1,1,9.784,2,9,36,2,196.5,0.676666667,-6.903333333,4,10,20,100,2.0
314,DOPE,1,1,9.784,2,9,36,2,197.3,0.605666667,-2.48,8,10,20,100,2.0
315,DOPE,1,1,9.784,2,9,36,2,213.9333333,0.647666667,-1.81,12,10,20,100,2.0
316,DOPE,1,1,9.784,2,9,36,2,137.9333333,0.216666667,-6.893333333,4,10,40,100,2.708
317,DOPE,1,1,9.784,2,9,36,2,470.4333333,1.0,-3.68,8,10,40,100,2.251
318,DOPE,1,1,9.784,2,9,36,2,165.9666667,0.624666667,-2.296666667,12,10,40,100,2.0
319,DOPE,1,1,9.784,2,9,36,2,137.5666667,0.191333333,-3.093333333,4,10,60,100,2.351
320,DOPE,1,1,9.784,2,9,36,2,115.6333333,0.217,-2.686666667,8,10,60,100,2.485
321,DOPE,1,1,9.784,2,9,36,2,207.0666667,0.332333333,-1.29,12,10,60,100,2.708
322,DOPE,1,1,9.784,2,9,36,2,145.4,0.130333333,-3.763333333,4,10,80,100,2.0
323,DOPE,1,1,9.784,2,9,36,2,135.8666667,0.231,-36.3,8,10,80,100,2.079
324,DOPE,1,1,9.784,2,9,36,2,120.9333333,0.173,-1.66,12,10,80,100,3.277
325,DOPE,1,1,9.784,2,9,36,2,278.8333333,0.789333333,-8.986666667,4,10,20,50,2.0
326,DOPE,1,1,9.784,2,9,36,2,415.8,0.856666667,-6.63,8,10,20,50,2.0
327,DOPE,1,1,9.784,2,9,36,2,496.8333333,0.378333333,-6.54,12,10,20,50,2.0
328,DOPE,1,1,9.784,2,9,36,2,93.06666667,0.211,-2.723333333,4,10,40,50,2.833
329,DOPE,1,1,9.784,2,9,36,2,207.5666667,0.603666667,-2.203333333,8,10,40,50,2.803
330,DOPE,1,1,9.784,2,9,36,2,201.6333333,0.620333333,-2.146666667,12,10,40,50,2.674
331,DOPE,1,1,9.784,2,9,36,2,136.1666667,0.159666667,-2.57,4,10,60,50,2.0
332,DOPE,1,1,9.784,2,9,36,2,129.5,0.283,-1.666333333,8,10,60,50,2.398
333,DOPE,1,1,9.784,2,9,36,2,202.5,0.512333333,-2.12,12,10,60,50,2.565
334,DOPE,1,1,9.784,2,9,36,2,143.0333333,0.155333333,-3.51,4,10,80,50,2.0
335,DOPE,1,1,9.784,2,9,36,2,134.7,0.230666667,-36.66666667,8,10,80,50,2.398
336,DOPE,1,1,9.784,2,9,36,2,135.2333333,0.219666667,-2.383333333,12,10,80,50,3.75
337,DOPE,1,1,9.784,2,9,36,2,235.4666667,0.617,-9.563333333,4,10,20,10,2.0
338,DOPE,1,1,9.784,2,9,36,2,378.9333333,0.809333333,-5.376666667,8,10,20,10,2.0
339,DOPE,1,1,9.784,2,9,36,2,476.3333333,0.748333333,-7.476666667,12,10,20,10,2.0
340,DOPE,1,1,9.784,2,9,36,2,132.7666667,0.226,-5.483333333,4,10,40,10,3.091
341,DOPE,1,1,9.784,2,9,36,2,279.9666667,0.880333333,-2.596666667,8,10,40,10,2.526
342,DOPE,1,1,9.784,2,9,36,2,153.0,0.411666667,-1.983333333,12,10,40,10,2.526
343,DOPE,1,1,9.784,2,9,36,2,156.7333333,0.235666667,-3.656666667,4,10,60,10,3.367
344,DOPE,1,1,9.784,2,9,36,2,134.0666667,0.204666667,-1.370333333,8,10,60,10,3.239
345,DOPE,1,1,9.784,2,9,36,2,167.5,0.380333333,-2.37,12,10,60,10,3.541
346,DOPE,1,1,9.784,2,9,36,2,144.4333333,0.081666667,-4.92,4,10,80,10,2.14
347,DOPE,1,1,9.784,2,9,36,2,161.1333333,0.24,-31.9,8,10,80,10,3.401
348,DOPE,1,1,9.784,2,9,36,2,118.1666667,0.198,-2.056666667,12,10,80,10,4.635
349,DOPE,1,1,9.784,2,9,36,2,302.6666667,0.693,-8.333333333,4,10,20,1,2.0
350,DOPE,1,1,9.784,2,9,36,2,270.0333333,0.633333333,-7.673333333,8,10,20,1,2.0
351,DOPE,1,1,9.784,2,9,36,2,180.3,0.614,-9.613333333,12,10,20,1,2.0
352,DOPE,1,1,9.784,2,9,36,2,157.5,0.177,-3.126666667,4,10,40,1,2.0
353,DOPE,1,1,9.784,2,9,36,2,140.4666667,0.248666667,-1.383333333,8,10,40,1,2.0
354,DOPE,1,1,9.784,2,9,36,2,228.2,0.517,-1.873333333,12,10,40,1,4.812
355,DOPE,1,1,9.784,2,9,36,2,153.2,0.232666667,-2.37,4,10,60,1,2.565
356,DOPE,1,1,9.784,2,9,36,2,129.7666667,0.194666667,-1.059,8,10,60,1,3.314
357,DOPE,1,1,9.784,2,9,36,2,145.7333333,0.333666667,-1.533333333,12,10,60,1,4.127
358,DOPE,1,1,9.784,2,9,36,2,165.1666667,0.186,-3.313333333,4,10,80,1,4.527
359,DOPE,1,1,9.784,2,9,36,2,157.6666667,0.210666667,15.6,8,10,80,1,4.654
360,DOPE,1,1,9.784,2,9,36,2,140.5666667,0.184333333,-1.012333333,12,10,80,1,6.157
361,DOTAP,1,0,12.515,0,4,36,2,157.3333333,0.166,5.9,4,500,20,200,7.449
362,DOTAP,1,0,12.515,0,4,36,2,138.8333333,0.375666667,5.12,8,500,20,200,6.663
363,DOTAP,1,0,12.515,0,4,36,2,235.9333333,0.509333333,9.113333333,12,500,20,200,6.676
364,DOTAP,1,0,12.515,0,4,36,2,175.8333333,0.266333333,12.9,4,500,40,200,5.409
365,DOTAP,1,0,12.515,0,4,36,2,172.5333333,0.298333333,1.866666667,8,500,40,200,6.233
366,DOTAP,1,0,12.515,0,4,36,2,173.3,0.307666667,6.673333333,12,500,40,200,6.531
367,DOTAP,1,0,12.515,0,4,36,2,222.7333333,0.28,16.2,4,500,60,200,3.114
368,DOTAP,1,0,12.515,0,4,36,2,163.4666667,0.289666667,13.33333333,8,500,60,200,3.219
369,DOTAP,1,0,12.515,0,4,36,2,132.7666667,0.248666667,15.63333333,12,500,60,200,4.143
370,DOTAP,1,0,12.515,0,4,36,2,172.6333333,0.228666667,-10.96666667,4,500,80,200,2.526
371,DOTAP,1,0,12.515,0,4,36,2,156.5,0.215666667,5.703333333,8,500,80,200,2.0
372,DOTAP,1,0,12.515,0,4,36,2,415.4333333,0.464333333,-30.56666667,12,500,80,200,4.625
373,DOTAP,1,0,12.515,0,4,36,2,126.4666667,0.141666667,1.823,4,500,20,100,6.521
374,DOTAP,1,0,12.515,0,4,36,2,173.0,0.266666667,7.926666667,8,500,20,100,6.384
375,DOTAP,1,0,12.515,0,4,36,2,198.5333333,0.402666667,2.883333333,12,500,20,100,5.962
376,DOTAP,1,0,12.515,0,4,36,2,185.6666667,0.295,12.1,4,500,40,100,5.912
377,DOTAP,1,0,12.515,0,4,36,2,160.6,0.245333333,4.013333333,8,500,40,100,5.112
378,DOTAP,1,0,12.515,0,4,36,2,183.8333333,0.354,2.956666667,12,500,40,100,5.859
379,DOTAP,1,0,12.515,0,4,36,2,224.0,0.195666667,22.76666667,4,500,60,100,3.481
380,DOTAP,1,0,12.515,0,4,36,2,147.6666667,0.245666667,9.33,8,500,60,100,2.708
381,DOTAP,1,0,12.515,0,4,36,2,146.4333333,0.24,19.53333333,12,500,60,100,4.241
382,DOTAP,1,0,12.515,0,4,36,2,170.8666667,0.246333333,7.633333333,4,500,80,100,2.0
383,DOTAP,1,0,12.515,0,4,36,2,136.8333333,0.256666667,7.98,8,500,80,100,2.251
384,DOTAP,1,0,12.515,0,4,36,2,290.3,0.270666667,-25.13333333,12,500,80,100,5.722
385,DOTAP,1,0,12.515,0,4,36,2,122.2,0.186333333,18.9,4,500,20,50,6.505
386,DOTAP,1,0,12.515,0,4,36,2,176.0666667,0.496333333,21.16666667,8,500,20,50,5.936
387,DOTAP,1,0,12.515,0,4,36,2,186.9666667,0.243,2.883333333,12,500,20,50,6.12
388,DOTAP,1,0,12.515,0,4,36,2,153.4666667,0.229666667,17.63333333,4,500,40,50,5.938
389,DOTAP,1,0,12.515,0,4,36,2,204.5333333,0.348333333,0.663333333,8,500,40,50,5.861
390,DOTAP,1,0,12.515,0,4,36,2,177.8333333,0.331,3.57,12,500,40,50,6.247
391,DOTAP,1,0,12.515,0,4,36,2,193.0,0.257666667,24.03333333,4,500,60,50,4.016
392,DOTAP,1,0,12.515,0,4,36,2,155.2333333,0.232666667,9.956666667,8,500,60,50,3.676
393,DOTAP,1,0,12.515,0,4,36,2,133.8333333,0.272,18.63333333,12,500,60,50,5.097
394,DOTAP,1,0,12.515,0,4,36,2,204.0333333,0.267,6.13,4,500,80,50,3.584
395,DOTAP,1,0,12.515,0,4,36,2,118.1,0.251,9.33,8,500,80,50,3.332
396,DOTAP,1,0,12.515,0,4,36,2,1330.666667,0.467333333,-27.3,12,500,80,50,5.825
397,DOTAP,1,0,12.515,0,4,36,2,105.7,0.192333333,44.06666667,4,500,20,10,6.933
398,DOTAP,1,0,12.515,0,4,36,2,131.2333333,0.203666667,25.86666667,8,500,20,10,6.243
399,DOTAP,1,0,12.515,0,4,36,2,241.2,0.458333333,1.388333333,12,500,20,10,5.661
400,DOTAP,1,0,12.515,0,4,36,2,204.4333333,0.278666667,26.16666667,4,500,40,10,6.227
401,DOTAP,1,0,12.515,0,4,36,2,135.9,0.314333333,27.06666667,8,500,40,10,5.981
402,DOTAP,1,0,12.515,0,4,36,2,199.2666667,0.421,22.36666667,12,500,40,10,5.916
403,DOTAP,1,0,12.515,0,4,36,2,157.6333333,0.228333333,30.7,4,500,60,10,6.778
404,DOTAP,1,0,12.515,0,4,36,2,133.6333333,0.194,15.33333333,8,500,60,10,6.669
405,DOTAP,1,0,12.515,0,4,36,2,139.3666667,0.264333333,20.86666667,12,500,60,10,7.325
406,DOTAP,1,0,12.515,0,4,36,2,138.7666667,0.140333333,15.56666667,4,500,80,10,6.623
407,DOTAP,1,0,12.515,0,4,36,2,143.8333333,0.207,18.4,8,500,80,10,6.767
408,DOTAP,1,0,12.515,0,4,36,2,581.7333333,0.704333333,-31.76666667,12,500,80,10,7.465
409,DOTAP,1,0,12.515,0,4,36,2,137.3,0.147333333,19.9,4,500,20,1,10.648
410,DOTAP,1,0,12.515,0,4,36,2,899.4,0.383333333,16.3,8,500,20,1,9.854
411,DOTAP,1,0,12.515,0,4,36,2,158.2333333,0.258666667,12.23333333,12,500,20,1,9.382
412,DOTAP,1,0,12.515,0,4,36,2,214.0333333,0.282,5.41,4,500,40,1,8.692
413,DOTAP,1,0,12.515,0,4,36,2,173.5,0.248333333,22.13333333,8,500,40,1,9.43
414,DOTAP,1,0,12.515,0,4,36,2,217.2,0.522333333,24.76666667,12,500,40,1,9.561
415,DOTAP,1,0,12.515,0,4,36,2,218.4,0.214,22.4,4,500,60,1,6.885
416,DOTAP,1,0,12.515,0,4,36,2,152.1333333,0.246333333,23.5,8,500,60,1,8.863
417,DOTAP,1,0,12.515,0,4,36,2,101.8666667,0.231333333,21.46666667,12,500,60,1,9.073
418,DOTAP,1,0,12.515,0,4,36,2,200.6,0.364,12.93333333,4,500,80,1,8.115
419,DOTAP,1,0,12.515,0,4,36,2,133.7333333,0.264333333,31.5,8,500,80,1,9.558
420,DOTAP,1,0,12.515,0,4,36,2,223.2,0.314333333,-16.6,12,500,80,1,10.037
421,DOTAP,1,0,12.515,0,4,36,2,265.1,0.339333333,-27.6,4,100,20,200,6.058
422,DOTAP,1,0,12.515,0,4,36,2,576.1666667,0.390666667,-2.563333333,8,100,20,200,4.522
423,DOTAP,1,0,12.515,0,4,36,2,453.7333333,0.368333333,1.926666667,12,100,20,200,3.912
424,DOTAP,1,0,12.515,0,4,36,2,157.1,0.253333333,-3.873333333,4,100,40,200,5.053
425,DOTAP,1,0,12.515,0,4,36,2,161.9333333,0.634666667,-3.35,8,100,40,200,5.078
426,DOTAP,1,0,12.515,0,4,36,2,154.0333333,0.321666667,-2.93,12,100,40,200,5.321
427,DOTAP,1,0,12.515,0,4,36,2,187.9,0.252666667,-3.706666667,4,100,60,200,2.603
428,DOTAP,1,0,12.515,0,4,36,2,151.0666667,0.26,-1.271,8,100,60,200,3.332
429,DOTAP,1,0,12.515,0,4,36,2,165.1666667,0.227,4.56,12,100,60,200,5.173
430,DOTAP,1,0,12.515,0,4,36,2,152.2,0.155,1.253333333,4,100,80,200,2.97
431,DOTAP,1,0,12.515,0,4,36,2,143.4666667,0.167666667,4.306666667,8,100,80,200,2.773
432,DOTAP,1,0,12.515,0,4,36,2,119.9666667,0.237,3.433333333,12,100,80,200,4.804
433,DOTAP,1,0,12.515,0,4,36,2,269.6333333,0.338666667,-30.33333333,4,100,20,100,5.46
434,DOTAP,1,0,12.515,0,4,36,2,115.6666667,0.283333333,3.27,8,100,20,100,3.932
435,DOTAP,1,0,12.515,0,4,36,2,388.5666667,0.348666667,-0.77,12,100,20,100,3.784
436,DOTAP,1,0,12.515,0,4,36,2,176.5,0.311333333,-3.76,4,100,40,100,5.296
437,DOTAP,1,0,12.515,0,4,36,2,214.0333333,0.314666667,-3.076666667,8,100,40,100,5.489
438,DOTAP,1,0,12.515,0,4,36,2,199.2,0.431,-2.876666667,12,100,40,100,5.429
439,DOTAP,1,0,12.515,0,4,36,2,182.5333333,0.252,-2.633333333,4,100,60,100,3.466
440,DOTAP,1,0,12.515,0,4,36,2,155.6333333,0.269,-2.463333333,8,100,60,100,3.526
441,DOTAP,1,0,12.515,0,4,36,2,181.7,0.266666667,2.173333333,12,100,60,100,5.34
442,DOTAP,1,0,12.515,0,4,36,2,175.7,0.143666667,-1.211333333,4,100,80,100,2.674
443,DOTAP,1,0,12.515,0,4,36,2,162.9666667,0.154333333,2.933333333,8,100,80,100,2.0
444,DOTAP,1,0,12.515,0,4,36,2,128.4666667,0.179,3.573333333,12,100,80,100,5.719
445,DOTAP,1,0,12.515,0,4,36,2,298.2666667,0.356666667,-28.56666667,4,100,20,50,5.702
446,DOTAP,1,0,12.515,0,4,36,2,139.2,0.262333333,1.826666667,8,100,20,50,3.818
447,DOTAP,1,0,12.515,0,4,36,2,307.7,0.539333333,1.6,12,100,20,50,4.248
448,DOTAP,1,0,12.515,0,4,36,2,162.2333333,0.378,-3.646666667,4,100,40,50,5.535
449,DOTAP,1,0,12.515,0,4,36,2,223.1333333,0.318,-2.73,8,100,40,50,5.081
450,DOTAP,1,0,12.515,0,4,36,2,242.6666667,0.782666667,-2.316666667,12,100,40,50,5.457
451,DOTAP,1,0,12.515,0,4,36,2,207.0333333,0.238333333,-5.89,4,100,60,50,4.677
452,DOTAP,1,0,12.515,0,4,36,2,154.4666667,0.284666667,-0.982333333,8,100,60,50,4.466
453,DOTAP,1,0,12.515,0,4,36,2,170.7333333,0.238333333,3.386666667,12,100,60,50,6.262
454,DOTAP,1,0,12.515,0,4,36,2,149.4333333,0.106333333,2.24,4,100,80,50,3.98
455,DOTAP,1,0,12.515,0,4,36,2,171.1333333,0.235,1.28,8,100,80,50,4.052
456,DOTAP,1,0,12.515,0,4,36,2,163.5333333,0.214,2.923333333,12,100,80,50,6.975
457,DOTAP,1,0,12.515,0,4,36,2,1760.0,0.536,-30.76666667,4,100,20,10,7.26
458,DOTAP,1,0,12.515,0,4,36,2,171.1666667,0.473666667,3.026666667,8,100,20,10,6.314
459,DOTAP,1,0,12.515,0,4,36,2,224.7333333,0.667333333,1.253333333,12,100,20,10,7.349
460,DOTAP,1,0,12.515,0,4,36,2,166.5666667,0.488666667,-2.246666667,4,100,40,10,7.77
461,DOTAP,1,0,12.515,0,4,36,2,146.1333333,0.331,-2.403333333,8,100,40,10,7.944
462,DOTAP,1,0,12.515,0,4,36,2,231.5,0.267666667,-2.746666667,12,100,40,10,8.543
463,DOTAP,1,0,12.515,0,4,36,2,161.8333333,0.254333333,-1.385333333,4,100,60,10,7.847
464,DOTAP,1,0,12.515,0,4,36,2,137.9,0.27,-0.514,8,100,60,10,8.058
465,DOTAP,1,0,12.515,0,4,36,2,150.0,0.260666667,2.373333333,12,100,60,10,8.851
466,DOTAP,1,0,12.515,0,4,36,2,169.0,0.172333333,-0.684,4,100,80,10,7.2
467,DOTAP,1,0,12.515,0,4,36,2,125.6,0.137,2.273333333,8,100,80,10,7.779
468,DOTAP,1,0,12.515,0,4,36,2,136.8666667,0.203,4.91,12,100,80,10,8.069
469,DOTAP,1,0,12.515,0,4,36,2,322.6333333,0.253,-28.23333333,4,100,20,1,9.328
470,DOTAP,1,0,12.515,0,4,36,2,130.5333333,0.249666667,4.226666667,8,100,20,1,8.567
471,DOTAP,1,0,12.515,0,4,36,2,401.8333333,0.549333333,6.786666667,12,100,20,1,7.795
472,DOTAP,1,0,12.515,0,4,36,2,161.9,0.303,-3.153333333,4,100,40,1,7.705
473,DOTAP,1,0,12.515,0,4,36,2,345.8666667,0.653,-1.426666667,8,100,40,1,9.515
474,DOTAP,1,0,12.515,0,4,36,2,354.4666667,0.356333333,-1.543333333,12,100,40,1,9.481
475,DOTAP,1,0,12.515,0,4,36,2,202.1,0.265333333,-2.55,4,100,60,1,6.958
476,DOTAP,1,0,12.515,0,4,36,2,139.7,0.281666667,0.63,8,100,60,1,8.983
477,DOTAP,1,0,12.515,0,4,36,2,122.8,0.189333333,6.336666667,12,100,60,1,9.459
478,DOTAP,1,0,12.515,0,4,36,2,152.7666667,0.206666667,6.34,4,100,80,1,7.105
479,DOTAP,1,0,12.515,0,4,36,2,134.0,0.192,12.86666667,8,100,80,1,9.323
480,DOTAP,1,0,12.515,0,4,36,2,194.4666667,0.301666667,6.843333333,12,100,80,1,11.172
481,DOTAP,1,0,12.515,0,4,36,2,183.1333333,0.629333333,-2.183333333,4,10,20,200,2.0
482,DOTAP,1,0,12.515,0,4,36,2,151.5333333,0.402,-2.966666667,8,10,20,200,2.14
483,DOTAP,1,0,12.515,0,4,36,2,766.5666667,0.907333333,-2.463333333,12,10,20,200,2.0
484,DOTAP,1,0,12.515,0,4,36,2,99.71,0.181666667,-1.186666667,4,10,40,200,3.761
485,DOTAP,1,0,12.515,0,4,36,2,247.2666667,0.368666667,-3.813333333,8,10,40,200,3.541
486,DOTAP,1,0,12.515,0,4,36,2,400.6,0.535333333,-5.33,12,10,40,200,3.726
487,DOTAP,1,0,12.515,0,4,36,2,1350.666667,0.896,-20.13333333,4,10,60,200,2.918
488,DOTAP,1,0,12.515,0,4,36,2,297.0,0.258333333,-9.57,8,10,60,200,4.425
489,DOTAP,1,0,12.515,0,4,36,2,134.1333333,0.257,-1.092,12,10,60,200,5.513
490,DOTAP,1,0,12.515,0,4,36,2,165.4666667,0.175,-1.492333333,4,10,80,200,2.351
491,DOTAP,1,0,12.515,0,4,36,2,110.9666667,0.174666667,-1.123,8,10,80,200,2.674
492,DOTAP,1,0,12.515,0,4,36,2,128.5333333,0.182,-0.810666667,12,10,80,200,4.369
493,DOTAP,1,0,12.515,0,4,36,2,176.3333333,0.631666667,-1.883333333,4,10,20,100,2.0
494,DOTAP,1,0,12.515,0,4,36,2,176.6666667,0.532666667,-1.316666667,8,10,20,100,2.0
495,DOTAP,1,0,12.515,0,4,36,2,495.4333333,0.636333333,-2.92,12,10,20,100,2.0
496,DOTAP,1,0,12.515,0,4,36,2,116.2666667,0.275666667,-1.833333333,4,10,40,100,3.75
497,DOTAP,1,0,12.515,0,4,36,2,285.1333333,0.367666667,-6.416666667,8,10,40,100,2.918
498,DOTAP,1,0,12.515,0,4,36,2,432.9,0.635333333,-4.216666667,12,10,40,100,3.638
499,DOTAP,1,0,12.515,0,4,36,2,141.4,0.175333333,-20.63333333,4,10,60,100,4.025
500,DOTAP,1,0,12.515,0,4,36,2,293.6333333,0.427333333,-9.726666667,8,10,60,100,4.182
501,DOTAP,1,0,12.515,0,4,36,2,162.9333333,0.248333333,-1.077,12,10,60,100,5.826
502,DOTAP,1,0,12.515,0,4,36,2,170.3,0.095333333,-2.533333333,4,10,80,100,2.0
503,DOTAP,1,0,12.515,0,4,36,2,136.5,0.184666667,-0.168,8,10,80,100,2.197
504,DOTAP,1,0,12.515,0,4,36,2,108.9333333,0.175,-0.043,12,10,80,100,5.553
505,DOTAP,1,0,12.515,0,4,36,2,145.8666667,0.455333333,-1.640333333,4,10,20,50,2.0
506,DOTAP,1,0,12.515,0,4,36,2,241.3666667,0.758666667,-1.149,8,10,20,50,2.0
507,DOTAP,1,0,12.515,0,4,36,2,357.8666667,0.772,-2.276666667,12,10,20,50,2.0
508,DOTAP,1,0,12.515,0,4,36,2,133.4,0.228666667,-0.863666667,4,10,40,50,4.425
509,DOTAP,1,0,12.515,0,4,36,2,282.5,0.323,-7.106666667,8,10,40,50,3.512
510,DOTAP,1,0,12.515,0,4,36,2,462.7,0.739666667,-2.183333333,12,10,40,50,3.726
511,DOTAP,1,0,12.515,0,4,36,2,116.7666667,0.118,-22.2,4,10,60,50,3.942
512,DOTAP,1,0,12.515,0,4,36,2,296.5666667,0.253,-14.66666667,8,10,60,50,4.736
513,DOTAP,1,0,12.515,0,4,36,2,138.1666667,0.219666667,-1.203333333,12,10,60,50,5.702
