P_charged_centers,N_charged_centers,cLogP,Size,Zeta,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL)
0,1,9.3028,440.1666667,-7.193333333,0.199600798,20,0.497512438
0,1,9.3028,320.9666667,-5.036666667,0.199600798,20,0.497512438
0,1,9.3028,205.6333333,-0.522666667,0.199600798,20,0.497512438
0,1,9.3028,236.0666667,-4.42,0.199600798,40,0.497512438
0,1,9.3028,188.6,-3.686666667,0.199600798,40,0.497512438
0,1,9.3028,248.3,-2.553333333,0.199600798,40,0.497512438
0,1,9.3028,221.0666667,-1.06,0.199600798,60,0.497512438
0,1,9.3028,206.6333333,1.177333333,0.199600798,60,0.497512438
0,1,9.3028,239.3,-0.068333333,0.199600798,60,0.497512438
0,1,9.3028,228.7,-24.26666667,0.199600798,80,0.497512438
0,1,9.3028,195.4666667,-14.43333333,0.199600798,80,0.497512438
0,1,9.3028,211.95,-1.853333333,0.199600798,80,0.497512438
0,1,9.3028,395.5333333,-9.85,0.199600798,20,0.99009901
0,1,9.3028,412.0666667,-4.376666667,0.199600798,20,0.99009901
0,1,9.3028,288.7666667,-1.413,0.199600798,20,0.99009901
0,1,9.3028,218.7666667,-4.306666667,0.199600798,40,0.99009901
0,1,9.3028,221.7666667,-1.85,0.199600798,40,0.99009901
0,1,9.3028,491.3333333,-4.253333333,0.199600798,40,0.99009901
0,1,9.3028,227.4,0.728366667,0.199600798,60,0.99009901
0,1,9.3028,217.1,-0.417,0.199600798,60,0.99009901
0,1,9.3028,241.5666667,-2.663333333,0.199600798,60,0.99009901
0,1,9.3028,188.8333333,-25.4,0.199600798,80,0.99009901
0,1,9.3028,184.6,-17.4,0.199600798,80,0.99009901
0,1,9.3028,285.2666667,-8.583333333,0.199600798,80,0.99009901
0,1,9.3028,431.4,-6.4,0.199600798,20,1.960784314
0,1,9.3028,265.1333333,-3.806666667,0.199600798,20,1.960784314
0,1,9.3028,1283.4,-1.361666667,0.199600798,20,1.960784314
0,1,9.3028,281.9333333,-5.183333333,0.199600798,40,1.960784314
0,1,9.3028,247.4666667,-2.506666667,0.199600798,40,1.960784314
0,1,9.3028,230.4,-2.166666667,0.199600798,40,1.960784314
0,1,9.3028,215.5666667,0.091,0.199600798,60,1.960784314
0,1,9.3028,221.9666667,-0.125666667,0.199600798,60,1.960784314
0,1,9.3028,234.9333333,0.407333333,0.199600798,60,1.960784314
0,1,9.3028,172.3666667,-25.33333333,0.199600798,80,1.960784314
0,1,9.3028,163.9833333,-6.63,0.199600798,80,1.960784314
0,1,9.3028,247.1,-11.83333333,0.199600798,80,1.960784314
0,1,9.3028,303.8,-4.81,0.199600798,20,9.090909091
0,1,9.3028,462.6666667,-3.45,0.199600798,20,9.090909091
0,1,9.3028,947.7666667,-0.677333333,0.199600798,20,9.090909091
0,1,9.3028,242.8,1.363333333,0.199600798,40,9.090909091
0,1,9.3028,182.1,-1.420666667,0.199600798,40,9.090909091
0,1,9.3028,252.6333333,-2.366666667,0.199600798,40,9.090909091
0,1,9.3028,242.8,-1.566666667,0.199600798,60,9.090909091
0,1,9.3028,202.9666667,-2.063333333,0.199600798,60,9.090909091
0,1,9.3028,142.2666667,-0.186,0.199600798,60,9.090909091
