,LGBM,XGB,RF,DT,kNN,MLR,lasso,PLS
749,0.004724791261218551,0.002617191756144166,0.0003571030018971096,0.0,0.0,0.13421553595093538,0.12122829913033017,0.14867977594815965
750,0.009576958338249618,0.01941986195743084,0.012137456757058362,0.0,0.0032482181300850783,0.17120310783934822,0.14563376768133118,0.18107919797922062
751,0.004724791261218551,0.012267771176993847,0.0,0.0,0.0,0.09489172924968803,0.11107354784067952,0.12529556963237137
752,0.004724791261218551,0.006112175062298775,0.0,0.0,0.0,0.10027839979315867,0.11701275524653831,0.1411241738934398
753,0.32769470250491944,0.32414065790806945,0.36151853800330513,0.38940966409998873,0.17947313920881275,0.3332448879378781,0.30186483903133293,0.2753747561839073
754,0.33622908655949013,0.33487346675589913,0.3520606762903799,0.3800357103001896,0.3665939698932211,0.302864250986866,0.27866517821936276,0.24705394344091602
755,0.1878691293518619,0.06167323490249943,0.0834243206451945,0.005747126436781602,0.17149467385409678,0.05586470303217106,0.09206007509915126,0.11853949412701414
756,0.4318173744644975,0.4120807647705078,0.538631621284827,0.8675092065617677,0.8482287585677536,0.8778190668511215,0.8441288700234442,0.8190621906775555
757,0.08154365241303374,0.0632844013356828,0.06072983833826617,0.10615444704832055,0.34516299349615687,0.5514668652695132,0.5097462043216137,0.48854566356766005
758,0.264033103591516,0.15427620296379296,0.33568390494612454,0.3522207342930478,0.43992546672275157,0.7761353790774781,0.7405261193645056,0.71531379155507
759,0.20311164674700277,0.23081731858124166,0.19484453545530744,0.03372949447606305,0.31903639854223853,0.3038193964287609,0.26658451147486434,0.24587210878386084
760,0.0041261536043807326,0.0024188433308154345,0.002005775025108805,0.0,0.0,0.09184598206651895,0.02383490641585656,0.03965623466474025
761,0.0041261536043807326,0.0006167461397126317,0.0,0.0,0.0,0.10375230057514206,0.03461461633253127,0.052297163831914614
762,0.010718760805332083,0.0036675455048680305,0.0011116225867648696,0.0,0.0,0.13702880718228627,0.06286713123861509,0.09361691085189422
763,0.010718760805332083,0.0006051116506569088,0.0011497972696499642,0.0,0.0,0.13742227404900476,0.11764199410430898,0.14987632452401112
764,0.0041261536043807326,0.027142301201820374,0.02307697243611203,0.0,0.0,0.1467969768592443,0.13215163603786706,0.162147251567481
765,0.02424573067134693,0.027446387335658073,0.08135630589698215,0.027753598928690983,0.10854899064372632,0.10615806572644104,0.1469371685967557,0.1687835716191831
766,0.0217225571231573,0.06542202830314636,0.1366296132446952,0.027753598928690983,0.0,0.09519507431203966,0.13255364529087904,0.15587294936009913
767,0.023497446644741293,0.02211688160098102,0.06251042546803337,0.10905590893873443,0.1125716457421865,0.14099952080342537,0.10108549760792018,0.0855422262056505
768,0.06632183474507064,0.014537559501056063,0.007281823306639512,0.1459379533534202,0.40666950231011256,0.27514827072460724,0.2302793903635061,0.20304329136713228
769,0.003245742599742772,0.0008930714102461934,0.0,0.0,0.0,0.09248461044082601,0.14763957028301317,0.15295590358504474
770,0.003990551225472376,0.018803300336003304,0.00219918721868839,0.0,0.0,0.003584299382874079,0.05939874487085525,0.07194061660439734
771,0.003990551225472376,0.004572055768221617,0.0,0.0,0.0,0.027879616220684578,0.04088303397274373,0.05036014460950025
772,0.005094825014352908,0.003001471282914281,0.003938799613138413,0.0,0.0,0.04798935503749946,0.024448267372472826,0.02653492316766691
773,0.003245742599742772,0.0023986119776964188,0.0,0.0,0.0,0.03864103047496281,0.045460253832847464,0.06528064071202543
774,0.003245742599742772,0.0010591383324936032,2.5294795967711893e-05,0.0,0.0,0.031764780445179275,0.04240720611436671,0.04380044116256407
775,0.005094825014352908,0.012348424643278122,0.00040732061153889073,0.0,0.0,0.04559674134990499,0.025158029447588937,0.022094343505427577
776,0.005094825014352908,0.002359122969210148,0.003023732470334411,0.0,0.0,0.06293125664824861,0.043444202277951205,0.03749410015433275
777,0.06094092911509513,0.1084550991654396,0.0809227339635776,0.0,0.0,0.00045092593397655367,0.041217397988187854,0.030610223447387182
778,0.03179428382440138,0.045162905007600784,0.049701141454238186,0.04356975465110718,0.10883382154479307,0.03896497215777461,0.07588066372222402,0.07283537698557861
779,0.10341773402887051,0.13100603222846985,0.08977631376175066,0.08951288918647471,0.0,0.027909081325811602,0.06187865040615731,0.05821168999228078
780,0.15109408602239505,0.17797790467739105,0.19739137784898583,0.08951288918647471,0.08011801375835471,0.04823207822315134,0.08723751021605813,0.0783438205265127
781,0.005745573031045946,0.008532668463885784,0.006832989249711711,0.0,0.12566183375952264,0.03610203900727171,0.07761203541974321,0.07380645419078025
782,0.13380284741348655,0.1352309286594391,0.10882001238169638,0.08951288918647471,0.16495274604403415,0.05721216249421912,0.09185167132654404,0.0918309459724154
783,0.0043500163886233045,0.0036536329425871372,0.00860288100286426,0.0,0.0,0.0030597382313666266,0.06266318241296823,0.06775829853917885
784,0.003990551225472376,0.0063385446555912495,0.00025146003050254803,0.0,0.08508489080888447,0.022260613317979683,0.031206712432133382,0.04782220335799289
785,0.003990551225472376,0.004614714533090591,0.0,0.0,0.0,0.010864134080283971,0.03543893599296977,0.052056063061688015
786,0.003245742599742772,0.005691401194781065,0.0,0.0,0.0,0.0057207987672867056,0.002446125533036525,0.01925031593851788
787,0.003990551225472376,0.0064870030619204044,0.00018929248967749132,0.0,0.0,0.0015400388439844592,0.03721230363356581,0.020006532962239143
788,0.003990551225472376,0.015190230682492256,0.003884239110218352,0.0,0.0,0.021364043027900625,0.057637347160840735,0.046640888560762886
789,0.005094825014352908,0.006344249937683344,0.0010359241900085552,0.0,0.0,0.04355406895570546,0.06924859281867524,0.06611066139438965
790,0.20444240072944336,0.2212107778256518,0.2310647661028477,0.1905479299185358,0.06835310918128562,0.24809999653579107,0.19653107696676964,0.21102021159980439
791,0.19798969668361352,0.23067481463490058,0.23575237005861377,0.2173306550608191,0.23208735156859964,0.2527000776087779,0.20598393408853682,0.2134242549780525
792,0.004750447216825462,0.04360709711909294,0.029016581110739074,0.026247070639437542,0.0,0.01141755084851559,0.07367011172075566,0.054409232018083564
793,0.0033919135686345573,0.009253598749637604,0.0042940241044526276,0.0,0.0,0.012055922706729505,0.0271635470205647,0.03695189228177072
794,0.0033919135686345573,0.02597176469862461,0.00012052226314027447,0.0,0.0,0.050291920974951054,0.03180957441384055,0.04156806736335182
