group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.0109,0.8971,-0.0361,0.0144,False
DT,MLR,0.0522,0.0,0.0269,0.0775,True
DT,PLS,0.0523,0.0,0.027,0.0775,True
DT,RF,-0.0113,0.8747,-0.0366,0.0139,False
DT,XGB,-0.0083,0.975,-0.0336,0.017,False
DT,kNN,0.0173,0.4309,-0.008,0.0426,False
DT,lasso,0.056,0.0,0.0307,0.0813,True
LGBM,MLR,0.0631,0.0,0.0378,0.0884,True
LGBM,PLS,0.0631,0.0,0.0379,0.0884,True
LGBM,RF,-0.0005,1.0,-0.0257,0.0248,False
LGBM,XGB,0.0026,1.0,-0.0227,0.0278,False
LGBM,kNN,0.0282,0.0167,0.0029,0.0534,True
LGBM,lasso,0.0669,0.0,0.0416,0.0921,True
MLR,PLS,0.0001,1.0,-0.0252,0.0253,False
MLR,RF,-0.0635,0.0,-0.0888,-0.0383,True
MLR,XGB,-0.0605,0.0,-0.0858,-0.0352,True
MLR,kNN,-0.0349,0.0008,-0.0602,-0.0096,True
MLR,lasso,0.0038,0.9998,-0.0215,0.0291,False
PLS,RF,-0.0636,0.0,-0.0889,-0.0383,True
PLS,XGB,-0.0606,0.0,-0.0858,-0.0353,True
PLS,kNN,-0.035,0.0007,-0.0602,-0.0097,True
PLS,lasso,0.0037,0.9998,-0.0215,0.029,False
RF,XGB,0.003,1.0,-0.0222,0.0283,False
RF,kNN,0.0286,0.0138,0.0034,0.0539,True
RF,lasso,0.0673,0.0,0.0421,0.0926,True
XGB,kNN,0.0256,0.0444,0.0003,0.0509,True
XGB,lasso,0.0643,0.0,0.039,0.0896,True
kNN,lasso,0.0387,0.0001,0.0134,0.064,True
