,Feature,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,-0.04854862801273144
1,NP_ratio,8.0,0.013821310971337488
2,NP_ratio,12.0,0.0531586050765994
3,Dlin-MC3_Helper lipid_ratio,200.0,-0.03536131536945888
4,Dlin-MC3_Helper lipid_ratio,100.0,-0.02731771245840979
5,Dlin-MC3_Helper lipid_ratio,50.0,-0.010124776933493854
6,Dlin-MC3_Helper lipid_ratio,10.0,0.06101891583426454
7,Dlin-MC3_Helper lipid_ratio,1.0,0.015299320726618309
8,Dlin-MC3+Helper lipid percentage,20.0,-0.08912968329584858
9,Dlin-MC3+Helper lipid percentage,40.0,-0.025632364898026738
10,Dlin-MC3+Helper lipid percentage,60.0,0.07800800242971238
11,Dlin-MC3+Helper lipid percentage,80.0,-0.013516771805540331
12,Chol_DMG-PEG_ratio,500.0,-0.02933973460198946
13,Chol_DMG-PEG_ratio,100.0,0.08295676034653889
14,Chol_DMG-PEG_ratio,10.0,-0.04318079327129941
