,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI,Zeta,RLU_ARPE19
40,41,18PG,0,1,9.3028,3,10,36,1,8,10,40,500,182.1,0.263,-1.420666667,3.045
41,42,18PG,0,1,9.3028,3,10,36,1,12,10,40,500,252.6333333,0.273666667,-2.366666667,3.0
42,43,18PG,0,1,9.3028,3,10,36,1,4,10,60,500,242.8,0.252666667,-1.566666667,3.0
43,44,18PG,0,1,9.3028,3,10,36,1,8,10,60,500,202.9666667,0.257333333,-2.063333333,3.0
44,45,18PG,0,1,9.3028,3,10,36,1,12,10,60,500,142.2666667,0.268333333,-0.186,3.0
45,46,18PG,0,1,9.3028,3,10,36,1,4,10,80,500,154.0833333,0.3755,-22.66666667,3.0
46,47,18PG,0,1,9.3028,3,10,36,1,8,10,80,500,172.25,0.288833333,-0.437,3.0
47,48,18PG,0,1,9.3028,3,10,36,1,12,10,80,500,175.9333333,0.234333333,-2.24,3.0
50,51,18PG,0,1,9.3028,3,10,36,1,12,1,20,500,1049.966667,0.215333333,-2.423333333,3.0
57,58,18PG,0,1,9.3028,3,10,36,1,4,1,80,500,476.1166667,0.131333333,-6.776666667,3.0
58,59,18PG,0,1,9.3028,3,10,36,1,8,1,80,500,418.8333333,0.151833333,-5.44,3.0
59,60,18PG,0,1,9.3028,3,10,36,1,12,1,80,500,268.4333333,0.102,-4.47,3.0
62,63,18PG,0,1,9.3028,3,10,36,1,12,200,20,100,296.5333333,0.349333333,-1.007333333,3.761
68,69,18PG,0,1,9.3028,3,10,36,1,12,200,60,100,164.5333333,0.325666667,-4.233333333,3.0
69,70,18PG,0,1,9.3028,3,10,36,1,4,200,80,100,415.6,0.144666667,-2.0,3.0
70,71,18PG,0,1,9.3028,3,10,36,1,8,200,80,100,420.6,0.213666667,-2.613333333,3.0
71,72,18PG,0,1,9.3028,3,10,36,1,12,200,80,100,725.6666667,0.112,-0.015666667,3.0
73,74,18PG,0,1,9.3028,3,10,36,1,8,100,20,100,187.7333333,0.447,-1.543333333,5.05
75,76,18PG,0,1,9.3028,3,10,36,1,4,100,40,100,118.2,0.441,-1.441,4.673
79,80,18PG,0,1,9.3028,3,10,36,1,8,100,60,100,207.7333333,0.412333333,-5.52,3.0
81,82,18PG,0,1,9.3028,3,10,36,1,4,100,80,100,379.2666667,0.080666667,-2.153333333,3.0
82,83,18PG,0,1,9.3028,3,10,36,1,8,100,80,100,430.7333333,0.114666667,-1.356666667,3.0
83,84,18PG,0,1,9.3028,3,10,36,1,12,100,80,100,255.0166667,0.3485,0.867666667,3.0
89,90,18PG,0,1,9.3028,3,10,36,1,12,50,40,100,203.3333333,0.343333333,-2.2,3.258
91,92,18PG,0,1,9.3028,3,10,36,1,8,50,60,100,235.7333333,0.341333333,-2.013333333,3.219
92,93,18PG,0,1,9.3028,3,10,36,1,12,50,60,100,183.1666667,0.295666667,-3.336666667,3.0
94,95,18PG,0,1,9.3028,3,10,36,1,8,50,80,100,410.2,0.146666667,0.9383,3.0
95,96,18PG,0,1,9.3028,3,10,36,1,12,50,80,100,363.8,0.148333333,0.4627,3.0
97,98,18PG,0,1,9.3028,3,10,36,1,8,10,20,100,170.4666667,0.436333333,-1.013333333,3.829
