LGBM,RF,XGB,MLP,DT,kNN,lasso,MLR,PLS
0.045014762134002746,0.008736100407354392,0.09303677082061768,0.023100732153195004,0.11299497229256121,0.06355192952404855,0.030057322394656055,0.040389977756611926,0.012381514622190323
0.015555590566328149,0.009631729604756117,0.003889532065215695,0.0003254083573209429,0.003816653822158589,0.016325684011897178,0.028210769919279108,0.016571464073942152,0.03360808884690904
0.08529412985268255,0.2268782340636354,0.2026456892490387,0.18831209486534164,0.004800176153253321,0.0,0.17297724392893896,0.23698992811550967,0.20783845199638068
0.005643208790362585,0.030664978531322263,0.07335877922824677,0.010116838508987099,0.1086920620940218,0.008100066800206116,0.16223976204740337,0.1402737466772209,0.15102161960907376
0.08245427840707076,0.22829131344269515,0.22189315094712103,0.29309523714012575,0.25931960805901133,0.434508521733851,0.025832040794497968,0.04688647969465076,0.01010884338169804
0.06908655867816936,0.05431245183309477,0.07379460334777832,0.13517815952460763,0.034393922712760094,0.11502037686123726,0.1876680974698007,0.22702110014828703,0.23814995660161564
0.025448414503933748,0.004210062754596496,0.0760892927646637,0.03530667967328719,0.08131359997483524,0.02889152798300331,0.17521968751424202,0.16600674007655114,0.15002327806376414
0.03671703017028726,0.009225476164262926,0.03208759543878137,0.0694566267703183,0.02113839039964771,0.0013282818787843376,0.05233689088439211,0.04717536985312668,0.0529143508411901
0.13616293072843988,0.2076687217879557,0.06373028859264795,0.0933587306794359,0.2010569195199824,0.07392314850336035,0.4677117922259222,0.49074095277024155,0.4470289407449424
0.011767419451890988,0.00843388748210942,0.001010031676116574,0.05912811774550072,0.011912363756468109,0.11832408423861027,0.1261416113189049,0.14882299180579373,0.13340833560455112
0.030416012789127953,0.00500935814158317,0.0030028820037841797,0.02166425361121336,0.0008571743130809503,0.012000440383133304,0.005460213232723679,0.015057396675560478,0.0018359824705604655
0.014275711486161241,0.01314433557194759,0.06953072547912598,0.00038552218048461956,0.030298359572828358,0.06287452106067476,0.039653553437358977,0.10173424479915563,0.009975878321203127
0.005390594191261585,0.017672575140372123,0.001938620282206427,0.04615218987788585,0.022471772664440275,0.6693977648891116,0.1636545858185424,0.16346266281550342,0.16805562976286856
0.021812116710602316,0.014915226246834746,0.012864649295806885,0.073097361605346,0.008021264214152021,0.09073791384629312,0.14948425549867989,0.2018813506823722,0.18343806149610842
0.018583604182406413,0.015709567323571497,0.01782706379890442,0.010229195658988131,0.008021264214152021,0.3086650821800541,0.12419688694583594,0.20561848238913777,0.1437039682713918
0.005795544967212629,0.12633766376747768,0.05105916884887007,0.10934646929042124,0.029439612462842657,0.32335131564461084,0.15019502403551008,0.1188485456574555,0.12210135245213877
0.03083824333641394,0.033185071011780226,0.18059560656547546,0.041101614623838746,0.0821094352086315,0.04241888155663668,0.0028626289255246073,0.01208282171695504,0.029556420269471376
0.12364816395500713,0.3697082461741712,0.24051170402340696,0.11455807093884646,0.45817461191236375,0.026218159815145775,0.30477672991400917,0.3294623878366172,0.29974752936595306
0.022012137130897412,0.005622591654739607,0.006479055857482541,0.0008604231749953853,0.000963338104150592,0.02252144889455103,0.039058442890197616,0.01641992417871298,0.060928371886898564
0.015476483028527,0.010852691841902448,0.01678675413131714,0.0361582495923524,0.012275679841462071,0.0,0.06701278926213627,0.08391721882568585,0.014840980483114094
0.010475912904404756,0.007323021028294633,0.007388527118646543,0.008558469868461545,0.029747880656170882,0.029466083774943832,0.01887102579520357,0.0032881022949228234,0.019381475498894796
0.03725267927877697,0.027505229549708226,0.06488221883773804,0.039568728809525035,0.0024000880766266606,0.02410736839928173,0.02150033418259771,0.01594096961788347,0.0028262672079144846
0.04967200681051146,0.002485962787625232,0.07189351320266724,0.10585970948776716,0.012220631949796317,0.0414486954039695,0.22281208909032732,0.16776747226801944,0.21728807093395286
0.35356371232362693,0.18263018826378946,0.2625598907470703,0.23774529930948826,0.5385610481118572,0.0059445107912347046,0.3273810428672038,0.332886921235941,0.34531498817000295
0.07613895504699045,0.0839227127601013,0.0697244119403988,0.07943383352877939,0.06102976256009397,0.1957114766343077,0.30188114516899855,0.332953610488203,0.3137093539602621
0.03211452392980899,0.00012440823516459283,0.018886834383010864,0.025008478367646893,0.01929428602884509,0.0467083670381791,0.010626822067905453,0.011859087054201065,0.0324288341883599
0.0030138999159629778,0.011996036551800045,0.023549349283996213,0.0005942274325768868,0.010500385335241641,0.02370649106862678,0.038135606336226195,0.009581523115362481,0.02486020186756724
0.057705331500869664,0.03471044808983816,0.02377372980117798,0.080883603793142,0.06460787551836765,0.0,0.18747288520605807,0.1985266751738112,0.14478541121756044
0.003843749725425772,0.0018347462292194038,0.020610035633864987,0.000668623036338932,0.0007926896399868041,0.012000440383133304,0.04512513385956938,0.005409807203462535,0.019681993435507056
0.3945765253953734,0.43013376637674783,0.4203851173742482,0.34053453132105804,0.39843663987669276,0.38265569637732433,0.2501045874874376,0.2814207257289262,0.2554546844760328
0.0033782484766762128,0.03482935153583619,0.03354809111426951,0.007406738763280525,0.056286469228228525,0.06052255691641366,0.20250090949743485,0.21601979990844442,0.23966112037531387
0.2815883785223179,0.29321699878894636,0.15600001147228304,0.2907699051937912,0.19150375112061768,0.30407731786363335,0.448246389731223,0.47295747832459545,0.4204496303854994
0.015172889153138573,0.006208851700979869,0.033495997465169985,0.04551118718472025,0.010165510660941672,0.011083601959555045,0.01853554958862111,0.0026843942357997613,0.022727234442032965
0.027532151654968022,0.05025101838599584,0.04658405942288474,0.03570368461222386,0.052515688649124766,0.06116621424643299,0.08145255557514022,0.07394580783438112,0.06694193599163481
0.04227107342873265,0.010463503247825605,0.03589525818824768,0.022141934692798883,0.0013333822647925893,0.0,0.05432986007679899,0.01771657798900298,0.05029932439426897
0.026124901592213316,0.0033887482109435174,0.034930676221847534,0.0420738626377171,0.020973246724650448,0.11714283097344963,0.027608811566937314,0.0029126029768149057,0.07993094591914543
0.01778383023864766,0.0019784212264670237,0.0032753050327301025,0.037121705427447714,0.002000073397188884,0.0,0.020404714587178727,0.013168789628041914,0.03067785385521561
0.09706695660964028,0.03700759660904987,0.08362406492233276,0.13818108283621913,0.06460787551836765,0.07028039133060936,0.24005630928682345,0.2193103165546822,0.20836374862952356
0.041013299313996235,0.00624573378839592,0.0870242772727867,0.036618466986152794,0.0010596719145656852,0.11789888363789196,0.04529929236520018,0.04993262462547002,0.06448367099052338
0.058142258441674866,0.04778597379720362,0.08070082018373559,0.16162422884545213,0.010260927006495724,0.20878937044839418,0.12068985586671954,0.14599379440628885,0.14038979248237726
0.027249526768416195,0.009530991963007796,0.0005505394695430876,0.0025039697575442235,0.010667058118340714,0.012000440383133304,0.05282860065114456,0.007974507980108167,0.06678869855232099
0.007807826316422246,0.010381481889243538,0.012137819951449191,0.0200909766284236,0.02049983485632499,0.05448291116228908,0.12142266241606889,0.16988467237877775,0.16846452597622666
0.022003191378084538,0.049102719365848285,0.05612960034538625,0.038656724766813415,0.031880593258992465,0.042139067274598166,0.07943687216528397,0.052601568825187066,0.13031677468878397
0.007782025110750886,0.0062143564901464415,0.021957551515615542,0.04900612023756834,0.016541891445557635,0.004023092238798712,0.11172015894779802,0.1673722714981613,0.14809124102365764
