Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),Lipid_NA_ratio,RLU_N2a
54,18PG,0,1,9.3028,3,10,1,1153.333333,0.461,-4.87,12,0.199600798,40,50.0,93.30504359,3.258
55,18PG,0,1,9.3028,3,10,1,1720.666667,0.716333333,-28.26666667,4,0.199600798,60,50.0,23.28423609,2.0
56,18PG,0,1,9.3028,3,10,1,214.1666667,0.147333333,-17.83333333,8,0.199600798,60,50.0,46.56847218,2.197
57,18PG,0,1,9.3028,3,10,1,1034.266667,0.683333333,-5.81,12,0.199600798,60,50.0,69.85270826,2.0
58,18PG,0,1,9.3028,3,10,1,476.1166667,0.131333333,-6.776666667,4,0.199600798,80,50.0,19.37551353,2.0
59,18PG,0,1,9.3028,3,10,1,418.8333333,0.151833333,-5.44,8,0.199600798,80,50.0,38.75102707,2.0
60,18PG,0,1,9.3028,3,10,1,268.4333333,0.102,-4.47,12,0.199600798,80,50.0,58.1265406,2.0
61,18PG,0,1,9.3028,3,10,1,514.5666667,0.964,-1.836666667,4,0.99009901,20,0.497512438,27.41327923,5.677
62,18PG,0,1,9.3028,3,10,1,209.0,0.518,-1.497333333,8,0.99009901,20,0.497512438,54.82655846,5.17
63,18PG,0,1,9.3028,3,10,1,296.5333333,0.349333333,-1.007333333,12,0.99009901,20,0.497512438,82.23983768,3.951
64,18PG,0,1,9.3028,3,10,1,75.20666667,0.609333333,-1.843333333,4,0.99009901,40,0.497512438,15.12479596,5.308
65,18PG,0,1,9.3028,3,10,1,210.5666667,0.548,-0.593366667,8,0.99009901,40,0.497512438,30.24959192,3.178
66,18PG,0,1,9.3028,3,10,1,184.1666667,0.46,-7.61,12,0.99009901,40,0.497512438,45.37438788,4.344
67,18PG,0,1,9.3028,3,10,1,133.6666667,0.504666667,-4.72,4,0.99009901,60,0.497512438,11.02863487,5.313
68,18PG,0,1,9.3028,3,10,1,145.6666667,0.482666667,-3.62,8,0.99009901,60,0.497512438,22.05726974,4.554
69,18PG,0,1,9.3028,3,10,1,164.5333333,0.325666667,-4.233333333,12,0.99009901,60,0.497512438,33.08590461,5.278
70,18PG,0,1,9.3028,3,10,1,415.6,0.144666667,-2.0,4,0.99009901,80,0.497512438,8.980554327,4.682
71,18PG,0,1,9.3028,3,10,1,420.6,0.213666667,-2.613333333,8,0.99009901,80,0.497512438,17.96110865,3.497
72,18PG,0,1,9.3028,3,10,1,725.6666667,0.112,-0.015666667,12,0.99009901,80,0.497512438,26.94166298,5.136
73,18PG,0,1,9.3028,3,10,1,613.1333333,0.699333333,-2.063333333,4,0.99009901,20,0.99009901,27.557724,5.908
74,18PG,0,1,9.3028,3,10,1,187.7333333,0.447,-1.543333333,8,0.99009901,20,0.99009901,55.115448,5.13
75,18PG,0,1,9.3028,3,10,1,99.15666667,0.669666667,-1.906666667,12,0.99009901,20,0.99009901,82.673172,4.443
76,18PG,0,1,9.3028,3,10,1,118.2,0.441,-1.441,4,0.99009901,40,0.99009901,15.208104,5.407
77,18PG,0,1,9.3028,3,10,1,170.9666667,0.641666667,-1.497333333,8,0.99009901,40,0.99009901,30.416208,4.625
78,18PG,0,1,9.3028,3,10,1,215.6333333,0.624,-4.113333333,12,0.99009901,40,0.99009901,45.624312,4.654
79,18PG,0,1,9.3028,3,10,1,182.2,0.565,-3.46,4,0.99009901,60,0.99009901,11.091564,4.575
80,18PG,0,1,9.3028,3,10,1,207.7333333,0.412333333,-5.52,8,0.99009901,60,0.99009901,22.183128,4.736
81,18PG,0,1,9.3028,3,10,1,348.7,0.722666667,-2.886666667,12,0.99009901,60,0.99009901,33.274692,5.13
82,18PG,0,1,9.3028,3,10,1,379.2666667,0.080666667,-2.153333333,4,0.99009901,80,0.99009901,9.033294,5.056
83,18PG,0,1,9.3028,3,10,1,430.7333333,0.114666667,-1.356666667,8,0.99009901,80,0.99009901,18.066588,4.205
84,18PG,0,1,9.3028,3,10,1,255.0166667,0.3485,0.867666667,12,0.99009901,80,0.99009901,27.099882,5.165
85,18PG,0,1,9.3028,3,10,1,738.2666667,0.887666667,-1.916666667,4,0.99009901,20,1.960784314,27.84661354,6.014
86,18PG,0,1,9.3028,3,10,1,190.2,0.453,-0.810333333,8,0.99009901,20,1.960784314,55.69322709,5.198
87,18PG,0,1,9.3028,3,10,1,210.8,0.686333333,-2.876666667,12,0.99009901,20,1.960784314,83.53984063,4.511
88,18PG,0,1,9.3028,3,10,1,263.4666667,0.627666667,-2.14,4,0.99009901,40,1.960784314,15.37472008,5.714
89,18PG,0,1,9.3028,3,10,1,162.0,0.536333333,-0.342,8,0.99009901,40,1.960784314,30.74944016,5.17
90,18PG,0,1,9.3028,3,10,1,203.3333333,0.343333333,-2.2,12,0.99009901,40,1.960784314,46.12416024,4.927
91,18PG,0,1,9.3028,3,10,1,194.0,0.484333333,-3.503333333,4,0.99009901,60,1.960784314,11.21742226,4.883
92,18PG,0,1,9.3028,3,10,1,235.7333333,0.341333333,-2.013333333,8,0.99009901,60,1.960784314,22.43484451,5.236
93,18PG,0,1,9.3028,3,10,1,183.1666667,0.295666667,-3.336666667,12,0.99009901,60,1.960784314,33.65226677,5.075
94,18PG,0,1,9.3028,3,10,1,264.4666667,0.139,-6.496666667,4,0.99009901,80,1.960784314,9.138773347,5.576
95,18PG,0,1,9.3028,3,10,1,410.2,0.146666667,0.9383,8,0.99009901,80,1.960784314,18.27754669,4.86
96,18PG,0,1,9.3028,3,10,1,363.8,0.148333333,0.4627,12,0.99009901,80,1.960784314,27.41632004,5.165
97,18PG,0,1,9.3028,3,10,1,457.7666667,0.88,-20.96666667,4,0.99009901,20,9.090909091,30.1577299,5.136
98,18PG,0,1,9.3028,3,10,1,170.4666667,0.436333333,-1.013333333,8,0.99009901,20,9.090909091,60.3154598,3.738
99,18PG,0,1,9.3028,3,10,1,205.1333333,0.81,-0.812553333,12,0.99009901,20,9.090909091,90.4731897,3.466
100,18PG,0,1,9.3028,3,10,1,153.8666667,0.343666667,-1.636666667,4,0.99009901,40,9.090909091,16.70764871,5.389
101,18PG,0,1,9.3028,3,10,1,202.0333333,0.364666667,-0.022666667,8,0.99009901,40,9.090909091,33.41529743,4.043
102,18PG,0,1,9.3028,3,10,1,192.2666667,0.267,-3.43,12,0.99009901,40,9.090909091,50.12294614,4.111
103,18PG,0,1,9.3028,3,10,1,176.8,0.353333333,-13.4,4,0.99009901,60,9.090909091,12.22428832,5.82
104,18PG,0,1,9.3028,3,10,1,293.4666667,0.390666667,-1.985333333,8,0.99009901,60,9.090909091,24.44857663,5.635
105,18PG,0,1,9.3028,3,10,1,281.8333333,0.217333333,-3.243333333,12,0.99009901,60,9.090909091,36.67286495,3.135
106,18PG,0,1,9.3028,3,10,1,496.8666667,0.153666667,-1.304,4,0.99009901,80,9.090909091,9.982608119,6.109
107,18PG,0,1,9.3028,3,10,1,526.7333333,0.369,-0.888,8,0.99009901,80,9.090909091,19.96521624,4.868
108,18PG,0,1,9.3028,3,10,1,501.1333333,0.277,-0.417666667,12,0.99009901,80,9.090909091,29.94782436,4.736
109,18PG,0,1,9.3028,3,10,1,237.7333333,0.221,-6.72,4,0.99009901,20,50.0,56.15778891,2.0
110,18PG,0,1,9.3028,3,10,1,154.0666667,0.200333333,-5.936666667,8,0.99009901,20,50.0,112.3155778,2.0
111,18PG,0,1,9.3028,3,10,1,185.1,0.109,-3.736666667,12,0.99009901,20,50.0,168.4733667,2.0
112,18PG,0,1,9.3028,3,10,1,196.1666667,0.203333333,-7.57,4,0.99009901,40,50.0,31.70309584,2.0
113,18PG,0,1,9.3028,3,10,1,298.0333333,0.1,-4.593333333,8,0.99009901,40,50.0,63.40619168,2.0
114,18PG,0,1,9.3028,3,10,1,189.2333333,0.111,-1.266666667,12,0.99009901,40,50.0,95.10928752,2.0
115,18PG,0,1,9.3028,3,10,1,241.5,0.106333333,-16.4,4,0.99009901,60,50.0,23.55153149,2.0
116,18PG,0,1,9.3028,3,10,1,249.8,0.209,-1.483333333,8,0.99009901,60,50.0,47.10306297,2.0
117,18PG,0,1,9.3028,3,10,1,346.5,0.061666667,-0.622,12,0.99009901,60,50.0,70.65459446,2.0
118,18PG,0,1,9.3028,3,10,1,364.1333333,0.201,-8.473333333,4,0.99009901,80,50.0,19.47574931,2.0
119,18PG,0,1,9.3028,3,10,1,812.3666667,0.132666667,-5.833333333,8,0.99009901,80,50.0,38.95149861,2.0
120,18PG,0,1,9.3028,3,10,1,409.6,0.290333333,-6.46,12,0.99009901,80,50.0,58.42724792,2.0
121,18PG,0,1,9.3028,3,10,1,113.3,0.238333333,-1.485333333,4,9.090909091,20,0.497512438,35.67187778,2.079
122,18PG,0,1,9.3028,3,10,1,179.0666667,0.428333333,-0.415666667,8,9.090909091,20,0.497512438,71.34375556,2.0
123,18PG,0,1,9.3028,3,10,1,1512.333333,0.599333333,-2.8,12,9.090909091,20,0.497512438,107.0156333,2.0
124,18PG,0,1,9.3028,3,10,1,108.3166667,0.307333333,-1.42,4,9.090909091,40,0.497512438,18.22177042,2.197
125,18PG,0,1,9.3028,3,10,1,153.9,0.435666667,-0.845333333,8,9.090909091,40,0.497512438,36.44354084,3.219
126,18PG,0,1,9.3028,3,10,1,120.1,0.400666667,-1.69,12,9.090909091,40,0.497512438,54.66531125,3.497
127,18PG,0,1,9.3028,3,10,1,166.4,0.504,-3.313333333,4,9.090909091,60,0.497512438,12.40506796,2.639
128,18PG,0,1,9.3028,3,10,1,192.9,0.356666667,-1.398,8,9.090909091,60,0.497512438,24.81013593,3.892
129,18PG,0,1,9.3028,3,10,1,260.3666667,0.331,-0.940666667,12,9.090909091,60,0.497512438,37.21520389,4.007
130,18PG,0,1,9.3028,3,10,1,230.6333333,0.313333333,8.696666667,4,9.090909091,80,0.497512438,9.496716736,3.178
131,18PG,0,1,9.3028,3,10,1,237.4,0.258666667,-0.939,8,9.090909091,80,0.497512438,18.99343347,3.296
132,18PG,0,1,9.3028,3,10,1,208.8333333,0.286,-0.976,12,9.090909091,80,0.497512438,28.49015021,4.635
133,18PG,0,1,9.3028,3,10,1,129.5333333,0.231666667,-1.733333333,4,9.090909091,20,0.99009901,35.85741011,2.079
134,18PG,0,1,9.3028,3,10,1,247.0333333,0.714,-1.54,8,9.090909091,20,0.99009901,71.71482022,2.0
135,18PG,0,1,9.3028,3,10,1,1955.333333,0.704333333,-1.195666667,12,9.090909091,20,0.99009901,107.5722303,2.0
136,18PG,0,1,9.3028,3,10,1,181.4666667,0.334,-1.7,4,9.090909091,40,0.99009901,18.32048629,2.0
137,18PG,0,1,9.3028,3,10,1,144.4,0.396,-0.988333333,8,9.090909091,40,0.99009901,36.64097258,2.996
138,18PG,0,1,9.3028,3,10,1,123.8,0.366333333,-2.643333333,12,9.090909091,40,0.99009901,54.96145887,2.0
139,18PG,0,1,9.3028,3,10,1,253.1333333,0.477333333,-0.603333333,4,9.090909091,60,0.99009901,12.47484502,2.89
140,18PG,0,1,9.3028,3,10,1,212.9666667,0.330666667,-0.511666667,8,9.090909091,60,0.99009901,24.94969004,3.97
141,18PG,0,1,9.3028,3,10,1,219.6333333,0.313,-1.116666667,12,9.090909091,60,0.99009901,37.42453505,2.773
142,18PG,0,1,9.3028,3,10,1,243.4333333,0.302666667,2.933333333,4,9.090909091,80,0.99009901,9.552024382,3.296
143,18PG,0,1,9.3028,3,10,1,226.2666667,0.251333333,0.520333333,8,9.090909091,80,0.99009901,19.10404876,4.06
144,18PG,0,1,9.3028,3,10,1,262.2333333,0.095333333,-2.67,12,9.090909091,80,0.99009901,28.65607315,4.317
145,18PG,0,1,9.3028,3,10,1,135.9333333,0.257333333,-1.596666667,4,9.090909091,20,1.960784314,36.22847476,2.079
146,18PG,0,1,9.3028,3,10,1,967.0333333,1.0,-1.566666667,8,9.090909091,20,1.960784314,72.45694953,2.079
147,18PG,0,1,9.3028,3,10,1,1599.666667,0.223666667,-2.373333333,12,9.090909091,20,1.960784314,108.6854243,2.0
148,18PG,0,1,9.3028,3,10,1,113.75,0.3625,-1.247666667,4,9.090909091,40,1.960784314,18.51791804,2.0
149,18PG,0,1,9.3028,3,10,1,142.2666667,0.315,-1.014,8,9.090909091,40,1.960784314,37.03583607,2.996
150,18PG,0,1,9.3028,3,10,1,142.3333333,0.393333333,-3.99,12,9.090909091,40,1.960784314,55.55375411,2.0
151,18PG,0,1,9.3028,3,10,1,256.9666667,0.289333333,-10.79333333,4,9.090909091,60,1.960784314,12.61439913,2.639
152,18PG,0,1,9.3028,3,10,1,205.9333333,0.315,-1.503333333,8,9.090909091,60,1.960784314,25.22879825,3.932
153,18PG,0,1,9.3028,3,10,1,184.7,0.339666667,-1.180333333,12,9.090909091,60,1.960784314,37.84319738,2.773
154,18PG,0,1,9.3028,3,10,1,244.4333333,0.245,1.269666667,4,9.090909091,80,1.960784314,9.662639673,3.664
155,18PG,0,1,9.3028,3,10,1,247.3666667,0.241333333,-1.149666667,8,9.090909091,80,1.960784314,19.32527935,4.143
156,18PG,0,1,9.3028,3,10,1,250.6333333,0.152666667,-1.219666667,12,9.090909091,80,1.960784314,28.98791902,4.543
157,18PG,0,1,9.3028,3,10,1,636.7,1.0,-2.273333333,4,9.090909091,20,9.090909091,39.196992,2.485
158,18PG,0,1,9.3028,3,10,1,691.7,0.956666667,-1.220666667,8,9.090909091,20,9.090909091,78.393984,2.197
159,18PG,0,1,9.3028,3,10,1,1708.333333,0.6,-1.876666667,12,9.090909091,20,9.090909091,117.590976,2.0
160,18PG,0,1,9.3028,3,10,1,111.6666667,0.341,-1.019766667,4,9.090909091,40,9.090909091,20.097372,2.565
161,18PG,0,1,9.3028,3,10,1,148.1333333,0.512,-1.61,8,9.090909091,40,9.090909091,40.194744,3.045
162,18PG,0,1,9.3028,3,10,1,118.0,0.328666667,-1.693333333,12,9.090909091,40,9.090909091,60.292116,2.485
163,18PG,0,1,9.3028,3,10,1,233.5,0.391333333,-0.879,4,9.090909091,60,9.090909091,13.730832,4.043
164,18PG,0,1,9.3028,3,10,1,264.6666667,0.407666667,-0.790333333,8,9.090909091,60,9.090909091,27.461664,4.043
165,18PG,0,1,9.3028,3,10,1,220.9,0.306,-1.506666667,12,9.090909091,60,9.090909091,41.192496,2.89
166,18PG,0,1,9.3028,3,10,1,256.1,0.264333333,0.606333333,4,9.090909091,80,9.090909091,10.547562,4.997
167,18PG,0,1,9.3028,3,10,1,278.3,0.217333333,-1.317,8,9.090909091,80,9.090909091,21.095124,4.913
168,18PG,0,1,9.3028,3,10,1,265.9,0.18,-0.951333333,12,9.090909091,80,9.090909091,31.642686,4.111
169,18PG,0,1,9.3028,3,10,1,675.8333333,0.61,-3.106666667,4,9.090909091,20,50.0,72.59281091,3.555
170,18PG,0,1,9.3028,3,10,1,682.8333333,0.205,-31.73333333,8,9.090909091,20,50.0,145.1856218,4.942
171,18PG,0,1,9.3028,3,10,1,464.0,0.574666667,-2.386666667,12,9.090909091,20,50.0,217.7784327,3.367
172,18PG,0,1,9.3028,3,10,1,163.5666667,0.133666667,-1.746666667,4,9.090909091,40,50.0,37.86622909,2.0
173,18PG,0,1,9.3028,3,10,1,459.9666667,0.154666667,-1.683333333,8,9.090909091,40,50.0,75.73245818,2.0
174,18PG,0,1,9.3028,3,10,1,753.9666667,0.546333333,-1.856666667,12,9.090909091,40,50.0,113.5986873,2.0
175,18PG,0,1,9.3028,3,10,1,194.8666667,0.121,-1.74,4,9.090909091,60,50.0,26.29070182,2.0
176,18PG,0,1,9.3028,3,10,1,934.6333333,0.794,-1.833333333,8,9.090909091,60,50.0,52.58140364,2.0
177,18PG,0,1,9.3028,3,10,1,1021.5,0.392,-1.422666667,12,9.090909091,60,50.0,78.87210545,2.0
178,18PG,0,1,9.3028,3,10,1,201.0,0.139666667,-1.713333333,4,9.090909091,80,50.0,20.50293818,2.0
179,18PG,0,1,9.3028,3,10,1,456.4,0.434666667,-2.203333333,8,9.090909091,80,50.0,41.00587636,2.0
180,18PG,0,1,9.3028,3,10,1,398.5,0.280666667,-1.184333333,12,9.090909091,80,50.0,61.50881455,2.0
181,DOPE,1,1,9.784,2,9,2,288.9666667,0.464333333,-7.436666667,4,0.199600798,20,0.497512438,26.47303244,6.284
182,DOPE,1,1,9.784,2,9,2,533.7,0.403333333,-3.523333333,8,0.199600798,20,0.497512438,52.94606489,6.05
183,DOPE,1,1,9.784,2,9,2,342.3333333,0.496333333,-3.396666667,12,0.199600798,20,0.497512438,79.41909733,5.537
184,DOPE,1,1,9.784,2,9,2,237.1333333,0.211,-4.23,4,0.199600798,40,0.497512438,14.74686478,5.442
185,DOPE,1,1,9.784,2,9,2,185.1333333,0.237333333,-1.803333333,8,0.199600798,40,0.497512438,29.49372956,5.147
186,DOPE,1,1,9.784,2,9,2,267.7333333,0.806666667,-2.356666667,12,0.199600798,40,0.497512438,44.24059433,4.369
187,DOPE,1,1,9.784,2,9,2,206.6,0.246666667,-5.31,4,0.199600798,60,0.497512438,10.83814222,5.7
188,DOPE,1,1,9.784,2,9,2,173.1333333,0.215,0.721666667,8,0.199600798,60,0.497512438,21.67628445,4.682
189,DOPE,1,1,9.784,2,9,2,183.6666667,0.260333333,-0.501666667,12,0.199600798,60,0.497512438,32.51442667,4.533
190,DOPE,1,1,9.784,2,9,2,166.6333333,0.219666667,-24.63333333,4,0.199600798,80,0.497512438,8.883780946,3.258
191,DOPE,1,1,9.784,2,9,2,137.6333333,0.164666667,-6.11,8,0.199600798,80,0.497512438,17.76756189,2.197
192,DOPE,1,1,9.784,2,9,2,158.8,0.225333333,-0.955,12,0.199600798,80,0.497512438,26.65134284,2.639
193,DOPE,1,1,9.784,2,9,2,577.6666667,0.252,-11.77666667,4,0.199600798,20,0.99009901,26.47905638,6.619
194,DOPE,1,1,9.784,2,9,2,562.7666667,0.344333333,-3.553333333,8,0.199600798,20,0.99009901,52.95811276,6.066
195,DOPE,1,1,9.784,2,9,2,288.1666667,0.316,-1.593,12,0.199600798,20,0.99009901,79.43716915,5.549
196,DOPE,1,1,9.784,2,9,2,240.3,0.260333333,-3.686666667,4,0.199600798,40,0.99009901,14.75288872,5.82
197,DOPE,1,1,9.784,2,9,2,191.7333333,0.264,0.269333333,8,0.199600798,40,0.99009901,29.50577744,5.124
198,DOPE,1,1,9.784,2,9,2,189.9666667,0.325666667,-2.24,12,0.199600798,40,0.99009901,44.25866615,5.394
199,DOPE,1,1,9.784,2,9,2,192.8,0.182,-3.663333333,4,0.199600798,60,0.99009901,10.84416616,5.347
200,DOPE,1,1,9.784,2,9,2,170.3,0.242,0.073,8,0.199600798,60,0.99009901,21.68833233,5.215
201,DOPE,1,1,9.784,2,9,2,181.6333333,0.328333333,-1.161666667,12,0.199600798,60,0.99009901,32.53249849,5.215
202,DOPE,1,1,9.784,2,9,2,172.9333333,0.206666667,-26.66666667,4,0.199600798,80,0.99009901,8.889804885,5.153
203,DOPE,1,1,9.784,2,9,2,148.0,0.187666667,-6.033333333,8,0.199600798,80,0.99009901,17.77960977,3.932
204,DOPE,1,1,9.784,2,9,2,162.5333333,0.193666667,-0.325333333,12,0.199600798,80,0.99009901,26.66941466,4.635
205,DOPE,1,1,9.784,2,9,2,650.7333333,0.484666667,-11.36666667,4,0.199600798,20,1.960784314,26.49092709,6.303
206,DOPE,1,1,9.784,2,9,2,403.2666667,0.629666667,-4.096666667,8,0.199600798,20,1.960784314,52.98185417,6.009
207,DOPE,1,1,9.784,2,9,2,475.3333333,0.162,-3.116666667,12,0.199600798,20,1.960784314,79.47278126,5.389
208,DOPE,1,1,9.784,2,9,2,191.8,0.206,-0.756333333,4,0.199600798,40,1.960784314,14.76475942,5.513
209,DOPE,1,1,9.784,2,9,2,170.0,0.294,0.3774,8,0.199600798,40,1.960784314,29.52951884,4.956
210,DOPE,1,1,9.784,2,9,2,307.4666667,0.557666667,-3.04,12,0.199600798,40,1.960784314,44.29427827,5.017
211,DOPE,1,1,9.784,2,9,2,189.0333333,0.220333333,-2.12,4,0.199600798,60,1.960784314,10.85603687,5.384
212,DOPE,1,1,9.784,2,9,2,155.4333333,0.233333333,1.195666667,8,0.199600798,60,1.960784314,21.71207373,4.949
213,DOPE,1,1,9.784,2,9,2,256.8,0.427666667,0.16,12,0.199600798,60,1.960784314,32.5681106,4.804
214,DOPE,1,1,9.784,2,9,2,202.3,0.256333333,-29.4,4,0.199600798,80,1.960784314,8.90167559,5.257
215,DOPE,1,1,9.784,2,9,2,135.8666667,0.173666667,-10.41,8,0.199600798,80,1.960784314,17.80335118,3.555
216,DOPE,1,1,9.784,2,9,2,163.5333333,0.229333333,-0.4925,12,0.199600798,80,1.960784314,26.70502677,4.025
