,LGBM,RF,XGB,DT,kNN,MLR,lasso,PLS
0,0.0001317969545555234,0.0001634040719661743,0.021057041361927986,0.0,0.0,0.02572922817109019,0.009324019557109264,0.11014683919622646
1,0.0024116282709801375,0.0006913191289237488,0.014833063818514347,0.006662202879142942,0.0,0.01010744194182589,0.04787587614008226,0.07166112651961155
2,0.004056304646732414,6.249302533199396e-05,0.0013723657466471195,0.006662202879142942,0.0,0.005170806314087062,0.05625447687398033,0.061196013306646355
3,0.005391662507478358,0.008972356864514548,0.0031579553615301847,0.0,0.0,0.021365885647917415,0.08114056656060242,0.04971295004195157
4,0.0016268162004963102,0.008391950649692528,0.004264930263161659,0.0032282749055430526,0.024439236692333444,0.009819461868921686,0.014634534759484286,0.13490371191000788
5,0.004479861689843568,0.001794563921614473,0.043987736105918884,0.0032282749055430526,0.0823568798125209,0.0037886432565811257,0.03250985527931849,0.08424666834775148
6,0.0011203416330179078,0.0007501444249435541,0.004166492726653814,0.0030465349849347232,0.028289253431536654,0.02973429228732971,0.07011966862146735,0.02337450164524374
7,0.09583318419133403,0.09648101044481192,0.0026343415956944227,0.09775694676933377,0.0,0.036492346969034306,0.012937240529358851,0.04652362604756302
8,0.10140114105424121,0.09232364744952623,0.032081473618745804,0.099048256731551,0.04548878473384663,0.02824706133052668,0.12191617946523758,0.15223773855471434
9,0.004202037145244481,0.016020277714201378,0.03539257496595383,0.0032282749055430526,0.10415969199866085,0.12177962000827902,0.05043729238771322,0.028378146015695487
10,0.027420935032970203,0.04381342007708344,0.01221176516264677,0.0679193170405088,0.0,0.0012950857055606946,0.08960556672495135,0.08350992360929614
11,0.008020392983468664,0.005940140862931287,0.005900672171264887,0.0030465349849347232,0.051640441914964835,0.015931791759600022,0.060590982775889146,0.054974034616004
12,0.06439280483334818,0.06544003962069751,0.012759064324200153,0.0679193170405088,0.0,0.04189201487894323,0.08126933160951644,0.09078615270506095
13,0.0030850355229241565,0.004335288929907274,0.004286195617169142,0.0,0.03184633411449614,0.009719673331773926,0.0372629549440997,0.08214045718670217
14,0.20124781943402387,0.20179498856888373,0.10351731210503035,0.18468920879366138,0.15458654168061614,0.05125747416429871,0.14913408762790326,0.2741831017058044
15,0.1755459099632341,0.183324441152655,0.008317451460139291,0.16769333779712078,0.09767325075326422,0.004105992213615628,0.1460592905100927,0.27086814389225616
16,0.08566692678770438,0.08273242243844016,0.004994772840291262,0.06776029460997654,0.19957315031804487,0.051518640897911694,0.03060161691268326,0.13101020045558753
