18PG,14PA,DOPE,DSPC,DOTAP,DDAB,Size,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL)
1,0,0,0,0,0,440.1666667,0.199600798,20,0.497512438
1,0,0,0,0,0,320.9666667,0.199600798,20,0.497512438
1,0,0,0,0,0,205.6333333,0.199600798,20,0.497512438
1,0,0,0,0,0,236.0666667,0.199600798,40,0.497512438
1,0,0,0,0,0,188.6,0.199600798,40,0.497512438
1,0,0,0,0,0,248.3,0.199600798,40,0.497512438
1,0,0,0,0,0,221.0666667,0.199600798,60,0.497512438
1,0,0,0,0,0,206.6333333,0.199600798,60,0.497512438
1,0,0,0,0,0,239.3,0.199600798,60,0.497512438
1,0,0,0,0,0,228.7,0.199600798,80,0.497512438
1,0,0,0,0,0,195.4666667,0.199600798,80,0.497512438
1,0,0,0,0,0,211.95,0.199600798,80,0.497512438
1,0,0,0,0,0,395.5333333,0.199600798,20,0.99009901
1,0,0,0,0,0,412.0666667,0.199600798,20,0.99009901
1,0,0,0,0,0,288.7666667,0.199600798,20,0.99009901
1,0,0,0,0,0,218.7666667,0.199600798,40,0.99009901
1,0,0,0,0,0,221.7666667,0.199600798,40,0.99009901
1,0,0,0,0,0,491.3333333,0.199600798,40,0.99009901
1,0,0,0,0,0,227.4,0.199600798,60,0.99009901
1,0,0,0,0,0,217.1,0.199600798,60,0.99009901
1,0,0,0,0,0,241.5666667,0.199600798,60,0.99009901
1,0,0,0,0,0,188.8333333,0.199600798,80,0.99009901
1,0,0,0,0,0,184.6,0.199600798,80,0.99009901
1,0,0,0,0,0,285.2666667,0.199600798,80,0.99009901
1,0,0,0,0,0,431.4,0.199600798,20,1.960784314
1,0,0,0,0,0,265.1333333,0.199600798,20,1.960784314
1,0,0,0,0,0,1283.4,0.199600798,20,1.960784314
1,0,0,0,0,0,281.9333333,0.199600798,40,1.960784314
1,0,0,0,0,0,247.4666667,0.199600798,40,1.960784314
1,0,0,0,0,0,230.4,0.199600798,40,1.960784314
1,0,0,0,0,0,215.5666667,0.199600798,60,1.960784314
1,0,0,0,0,0,221.9666667,0.199600798,60,1.960784314
1,0,0,0,0,0,234.9333333,0.199600798,60,1.960784314
1,0,0,0,0,0,172.3666667,0.199600798,80,1.960784314
1,0,0,0,0,0,163.9833333,0.199600798,80,1.960784314
1,0,0,0,0,0,247.1,0.199600798,80,1.960784314
1,0,0,0,0,0,303.8,0.199600798,20,9.090909091
1,0,0,0,0,0,462.6666667,0.199600798,20,9.090909091
1,0,0,0,0,0,947.7666667,0.199600798,20,9.090909091
1,0,0,0,0,0,242.8,0.199600798,40,9.090909091
1,0,0,0,0,0,182.1,0.199600798,40,9.090909091
1,0,0,0,0,0,252.6333333,0.199600798,40,9.090909091
1,0,0,0,0,0,242.8,0.199600798,60,9.090909091
1,0,0,0,0,0,202.9666667,0.199600798,60,9.090909091
1,0,0,0,0,0,142.2666667,0.199600798,60,9.090909091
1,0,0,0,0,0,154.0833333,0.199600798,80,9.090909091
1,0,0,0,0,0,172.25,0.199600798,80,9.090909091
1,0,0,0,0,0,175.9333333,0.199600798,80,9.090909091
1,0,0,0,0,0,1859.333333,0.199600798,20,50.0
1,0,0,0,0,0,487.5,0.199600798,20,50.0
1,0,0,0,0,0,1049.966667,0.199600798,20,50.0
1,0,0,0,0,0,370.2333333,0.199600798,40,50.0
1,0,0,0,0,0,1164.833333,0.199600798,40,50.0
1,0,0,0,0,0,1153.333333,0.199600798,40,50.0
1,0,0,0,0,0,1720.666667,0.199600798,60,50.0
1,0,0,0,0,0,214.1666667,0.199600798,60,50.0
1,0,0,0,0,0,1034.266667,0.199600798,60,50.0
1,0,0,0,0,0,476.1166667,0.199600798,80,50.0
1,0,0,0,0,0,418.8333333,0.199600798,80,50.0
1,0,0,0,0,0,268.4333333,0.199600798,80,50.0
1,0,0,0,0,0,514.5666667,0.99009901,20,0.497512438
1,0,0,0,0,0,209.0,0.99009901,20,0.497512438
1,0,0,0,0,0,296.5333333,0.99009901,20,0.497512438
1,0,0,0,0,0,75.20666667,0.99009901,40,0.497512438
1,0,0,0,0,0,210.5666667,0.99009901,40,0.497512438
1,0,0,0,0,0,184.1666667,0.99009901,40,0.497512438
1,0,0,0,0,0,133.6666667,0.99009901,60,0.497512438
1,0,0,0,0,0,145.6666667,0.99009901,60,0.497512438
1,0,0,0,0,0,164.5333333,0.99009901,60,0.497512438
1,0,0,0,0,0,415.6,0.99009901,80,0.497512438
1,0,0,0,0,0,420.6,0.99009901,80,0.497512438
1,0,0,0,0,0,725.6666667,0.99009901,80,0.497512438
1,0,0,0,0,0,613.1333333,0.99009901,20,0.99009901
1,0,0,0,0,0,187.7333333,0.99009901,20,0.99009901
