,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI
89,0,1,9.3028,3,10,1,12,50,40,100,203.3333333,0.343333333
90,0,1,9.3028,3,10,1,4,50,60,100,194.0,0.484333333
91,0,1,9.3028,3,10,1,8,50,60,100,235.7333333,0.341333333
92,0,1,9.3028,3,10,1,12,50,60,100,183.1666667,0.295666667
94,0,1,9.3028,3,10,1,8,50,80,100,410.2,0.146666667
95,0,1,9.3028,3,10,1,12,50,80,100,363.8,0.148333333
96,0,1,9.3028,3,10,1,4,10,20,100,457.7666667,0.88
97,0,1,9.3028,3,10,1,8,10,20,100,170.4666667,0.436333333
98,0,1,9.3028,3,10,1,12,10,20,100,205.1333333,0.81
99,0,1,9.3028,3,10,1,4,10,40,100,153.8666667,0.343666667
100,0,1,9.3028,3,10,1,8,10,40,100,202.0333333,0.364666667
101,0,1,9.3028,3,10,1,12,10,40,100,192.2666667,0.267
102,0,1,9.3028,3,10,1,4,10,60,100,176.8,0.353333333
103,0,1,9.3028,3,10,1,8,10,60,100,293.4666667,0.390666667
104,0,1,9.3028,3,10,1,12,10,60,100,281.8333333,0.217333333
105,0,1,9.3028,3,10,1,4,10,80,100,496.8666667,0.153666667
106,0,1,9.3028,3,10,1,8,10,80,100,526.7333333,0.369
107,0,1,9.3028,3,10,1,12,10,80,100,501.1333333,0.277
108,0,1,9.3028,3,10,1,4,1,20,100,237.7333333,0.221
109,0,1,9.3028,3,10,1,8,1,20,100,154.0666667,0.200333333
110,0,1,9.3028,3,10,1,12,1,20,100,185.1,0.109
111,0,1,9.3028,3,10,1,4,1,40,100,196.1666667,0.203333333
112,0,1,9.3028,3,10,1,8,1,40,100,298.0333333,0.1
113,0,1,9.3028,3,10,1,12,1,40,100,189.2333333,0.111
114,0,1,9.3028,3,10,1,4,1,60,100,241.5,0.106333333
115,0,1,9.3028,3,10,1,8,1,60,100,249.8,0.209
116,0,1,9.3028,3,10,1,12,1,60,100,346.5,0.061666667
117,0,1,9.3028,3,10,1,4,1,80,100,364.1333333,0.201
118,0,1,9.3028,3,10,1,8,1,80,100,812.3666667,0.132666667
119,0,1,9.3028,3,10,1,12,1,80,100,409.6,0.290333333
120,0,1,9.3028,3,10,1,4,200,20,10,113.3,0.238333333
121,0,1,9.3028,3,10,1,8,200,20,10,179.0666667,0.428333333
123,0,1,9.3028,3,10,1,4,200,40,10,108.3166667,0.307333333
124,0,1,9.3028,3,10,1,8,200,40,10,153.9,0.435666667
125,0,1,9.3028,3,10,1,12,200,40,10,120.1,0.400666667
126,0,1,9.3028,3,10,1,4,200,60,10,166.4,0.504
127,0,1,9.3028,3,10,1,8,200,60,10,192.9,0.356666667
128,0,1,9.3028,3,10,1,12,200,60,10,260.3666667,0.331
129,0,1,9.3028,3,10,1,4,200,80,10,230.6333333,0.313333333
130,0,1,9.3028,3,10,1,8,200,80,10,237.4,0.258666667
131,0,1,9.3028,3,10,1,12,200,80,10,208.8333333,0.286
132,0,1,9.3028,3,10,1,4,100,20,10,129.5333333,0.231666667
133,0,1,9.3028,3,10,1,8,100,20,10,247.0333333,0.714
135,0,1,9.3028,3,10,1,4,100,40,10,181.4666667,0.334
136,0,1,9.3028,3,10,1,8,100,40,10,144.4,0.396
137,0,1,9.3028,3,10,1,12,100,40,10,123.8,0.366333333
138,0,1,9.3028,3,10,1,4,100,60,10,253.1333333,0.477333333
139,0,1,9.3028,3,10,1,8,100,60,10,212.9666667,0.330666667
140,0,1,9.3028,3,10,1,12,100,60,10,219.6333333,0.313
141,0,1,9.3028,3,10,1,4,100,80,10,243.4333333,0.302666667
142,0,1,9.3028,3,10,1,8,100,80,10,226.2666667,0.251333333
143,0,1,9.3028,3,10,1,12,100,80,10,262.2333333,0.095333333
144,0,1,9.3028,3,10,1,4,50,20,10,135.9333333,0.257333333
145,0,1,9.3028,3,10,1,8,50,20,10,967.0333333,1.0
147,0,1,9.3028,3,10,1,4,50,40,10,113.75,0.3625
148,0,1,9.3028,3,10,1,8,50,40,10,142.2666667,0.315
149,0,1,9.3028,3,10,1,12,50,40,10,142.3333333,0.393333333
150,0,1,9.3028,3,10,1,4,50,60,10,256.9666667,0.289333333
151,0,1,9.3028,3,10,1,8,50,60,10,205.9333333,0.315
152,0,1,9.3028,3,10,1,12,50,60,10,184.7,0.339666667
153,0,1,9.3028,3,10,1,4,50,80,10,244.4333333,0.245
154,0,1,9.3028,3,10,1,8,50,80,10,247.3666667,0.241333333
155,0,1,9.3028,3,10,1,12,50,80,10,250.6333333,0.152666667
156,0,1,9.3028,3,10,1,4,10,20,10,636.7,1.0
157,0,1,9.3028,3,10,1,8,10,20,10,691.7,0.956666667
159,0,1,9.3028,3,10,1,4,10,40,10,111.6666667,0.341
160,0,1,9.3028,3,10,1,8,10,40,10,148.1333333,0.512
161,0,1,9.3028,3,10,1,12,10,40,10,118.0,0.328666667
162,0,1,9.3028,3,10,1,4,10,60,10,233.5,0.391333333
163,0,1,9.3028,3,10,1,8,10,60,10,264.6666667,0.407666667
164,0,1,9.3028,3,10,1,12,10,60,10,220.9,0.306
165,0,1,9.3028,3,10,1,4,10,80,10,256.1,0.264333333
166,0,1,9.3028,3,10,1,8,10,80,10,278.3,0.217333333
167,0,1,9.3028,3,10,1,12,10,80,10,265.9,0.18
168,0,1,9.3028,3,10,1,4,1,20,10,675.8333333,0.61
169,0,1,9.3028,3,10,1,8,1,20,10,682.8333333,0.205
170,0,1,9.3028,3,10,1,12,1,20,10,464.0,0.574666667
171,0,1,9.3028,3,10,1,4,1,40,10,163.5666667,0.133666667
172,0,1,9.3028,3,10,1,8,1,40,10,459.9666667,0.154666667
173,0,1,9.3028,3,10,1,12,1,40,10,753.9666667,0.546333333
174,0,1,9.3028,3,10,1,4,1,60,10,194.8666667,0.121
175,0,1,9.3028,3,10,1,8,1,60,10,934.6333333,0.794
177,0,1,9.3028,3,10,1,4,1,80,10,201.0,0.139666667
178,0,1,9.3028,3,10,1,8,1,80,10,456.4,0.434666667
179,0,1,9.3028,3,10,1,12,1,80,10,398.5,0.280666667
180,1,1,9.784,2,9,2,4,200,20,500,288.9666667,0.464333333
181,1,1,9.784,2,9,2,8,200,20,500,533.7,0.403333333
182,1,1,9.784,2,9,2,12,200,20,500,342.3333333,0.496333333
183,1,1,9.784,2,9,2,4,200,40,500,237.1333333,0.211
184,1,1,9.784,2,9,2,8,200,40,500,185.1333333,0.237333333
185,1,1,9.784,2,9,2,12,200,40,500,267.7333333,0.806666667
186,1,1,9.784,2,9,2,4,200,60,500,206.6,0.246666667
187,1,1,9.784,2,9,2,8,200,60,500,173.1333333,0.215
188,1,1,9.784,2,9,2,12,200,60,500,183.6666667,0.260333333
189,1,1,9.784,2,9,2,4,200,80,500,166.6333333,0.219666667
190,1,1,9.784,2,9,2,8,200,80,500,137.6333333,0.164666667
191,1,1,9.784,2,9,2,12,200,80,500,158.8,0.225333333
192,1,1,9.784,2,9,2,4,100,20,500,577.6666667,0.252
193,1,1,9.784,2,9,2,8,100,20,500,562.7666667,0.344333333
194,1,1,9.784,2,9,2,12,100,20,500,288.1666667,0.316
195,1,1,9.784,2,9,2,4,100,40,500,240.3,0.260333333
196,1,1,9.784,2,9,2,8,100,40,500,191.7333333,0.264
197,1,1,9.784,2,9,2,12,100,40,500,189.9666667,0.325666667
198,1,1,9.784,2,9,2,4,100,60,500,192.8,0.182
199,1,1,9.784,2,9,2,8,100,60,500,170.3,0.242
200,1,1,9.784,2,9,2,12,100,60,500,181.6333333,0.328333333
201,1,1,9.784,2,9,2,4,100,80,500,172.9333333,0.206666667
202,1,1,9.784,2,9,2,8,100,80,500,148.0,0.187666667
203,1,1,9.784,2,9,2,12,100,80,500,162.5333333,0.193666667
204,1,1,9.784,2,9,2,4,50,20,500,650.7333333,0.484666667
205,1,1,9.784,2,9,2,8,50,20,500,403.2666667,0.629666667
206,1,1,9.784,2,9,2,12,50,20,500,475.3333333,0.162
207,1,1,9.784,2,9,2,4,50,40,500,191.8,0.206
208,1,1,9.784,2,9,2,8,50,40,500,170.0,0.294
209,1,1,9.784,2,9,2,12,50,40,500,307.4666667,0.557666667
210,1,1,9.784,2,9,2,4,50,60,500,189.0333333,0.220333333
211,1,1,9.784,2,9,2,8,50,60,500,155.4333333,0.233333333
212,1,1,9.784,2,9,2,12,50,60,500,256.8,0.427666667
213,1,1,9.784,2,9,2,4,50,80,500,202.3,0.256333333
214,1,1,9.784,2,9,2,8,50,80,500,135.8666667,0.173666667
215,1,1,9.784,2,9,2,12,50,80,500,163.5333333,0.229333333
216,1,1,9.784,2,9,2,4,10,20,500,431.8,0.420666667
217,1,1,9.784,2,9,2,8,10,20,500,465.9333333,0.358
218,1,1,9.784,2,9,2,12,10,20,500,599.5333333,0.522
219,1,1,9.784,2,9,2,4,10,40,500,197.5666667,0.262666667
220,1,1,9.784,2,9,2,8,10,40,500,199.4,0.327666667
221,1,1,9.784,2,9,2,12,10,40,500,208.5,0.330666667
222,1,1,9.784,2,9,2,4,10,60,500,193.9,0.197333333
223,1,1,9.784,2,9,2,8,10,60,500,159.3,0.201
224,1,1,9.784,2,9,2,12,10,60,500,190.9666667,0.275
225,1,1,9.784,2,9,2,4,10,80,500,166.8666667,0.266
226,1,1,9.784,2,9,2,8,10,80,500,146.8666667,0.208666667
227,1,1,9.784,2,9,2,12,10,80,500,167.8,0.237
228,1,1,9.784,2,9,2,4,1,20,500,287.7333333,0.327
229,1,1,9.784,2,9,2,8,1,20,500,306.5333333,0.569
230,1,1,9.784,2,9,2,12,1,20,500,473.2,0.17
231,1,1,9.784,2,9,2,4,1,40,500,261.7,0.330333333
232,1,1,9.784,2,9,2,8,1,40,500,205.1,0.196
233,1,1,9.784,2,9,2,12,1,40,500,177.9333333,0.268
234,1,1,9.784,2,9,2,4,1,60,500,224.5,0.256333333
235,1,1,9.784,2,9,2,8,1,60,500,195.0333333,0.254
236,1,1,9.784,2,9,2,12,1,60,500,179.0333333,0.261666667
237,1,1,9.784,2,9,2,4,1,80,500,237.6333333,0.301
238,1,1,9.784,2,9,2,8,1,80,500,164.9666667,0.183666667
239,1,1,9.784,2,9,2,12,1,80,500,171.5333333,0.187333333
240,1,1,9.784,2,9,2,4,200,20,100,177.0333333,0.31
241,1,1,9.784,2,9,2,8,200,20,100,223.4,0.485666667
242,1,1,9.784,2,9,2,12,200,20,100,169.1333333,0.368333333
243,1,1,9.784,2,9,2,4,200,40,100,193.5,0.275333333
244,1,1,9.784,2,9,2,8,200,40,100,139.0,0.236666667
245,1,1,9.784,2,9,2,12,200,40,100,159.2333333,0.303666667
246,1,1,9.784,2,9,2,4,200,60,100,171.7,0.236333333
247,1,1,9.784,2,9,2,8,200,60,100,150.1333333,0.232
248,1,1,9.784,2,9,2,12,200,60,100,177.5333333,0.260666667
249,1,1,9.784,2,9,2,4,200,80,100,219.6333333,0.307666667
250,1,1,9.784,2,9,2,8,200,80,100,141.4666667,0.245666667
251,1,1,9.784,2,9,2,12,200,80,100,160.0333333,0.184333333
252,1,1,9.784,2,9,2,4,100,20,100,176.9333333,0.24
253,1,1,9.784,2,9,2,8,100,20,100,263.8333333,0.433333333
254,1,1,9.784,2,9,2,12,100,20,100,303.3666667,0.674666667
255,1,1,9.784,2,9,2,4,100,40,100,174.6666667,0.246333333
256,1,1,9.784,2,9,2,8,100,40,100,148.9333333,0.217333333
257,1,1,9.784,2,9,2,12,100,40,100,152.4666667,0.288333333
258,1,1,9.784,2,9,2,4,100,60,100,164.2,0.201666667
259,1,1,9.784,2,9,2,8,100,60,100,150.2666667,0.204333333
260,1,1,9.784,2,9,2,12,100,60,100,191.8,0.244333333
261,1,1,9.784,2,9,2,4,100,80,100,241.5333333,0.267
262,1,1,9.784,2,9,2,8,100,80,100,148.0333333,0.21
263,1,1,9.784,2,9,2,12,100,80,100,155.5666667,0.167333333
264,1,1,9.784,2,9,2,4,50,20,100,153.8666667,0.203
265,1,1,9.784,2,9,2,8,50,20,100,203.9333333,0.501
266,1,1,9.784,2,9,2,12,50,20,100,263.9333333,0.412333333
267,1,1,9.784,2,9,2,4,50,40,100,170.0666667,0.220333333
268,1,1,9.784,2,9,2,8,50,40,100,158.3666667,0.279
269,1,1,9.784,2,9,2,12,50,40,100,130.9333333,0.215
270,1,1,9.784,2,9,2,4,50,60,100,160.7333333,0.165333333
271,1,1,9.784,2,9,2,8,50,60,100,138.7333333,0.185333333
272,1,1,9.784,2,9,2,12,50,60,100,152.2333333,0.245666667
273,1,1,9.784,2,9,2,4,50,80,100,189.0,0.199
274,1,1,9.784,2,9,2,8,50,80,100,147.2,0.241333333
275,1,1,9.784,2,9,2,12,50,80,100,148.5333333,0.207
276,1,1,9.784,2,9,2,4,10,20,100,154.9,0.957333333
277,1,1,9.784,2,9,2,8,10,20,100,230.9333333,0.481666667
278,1,1,9.784,2,9,2,12,10,20,100,168.1666667,0.428
279,1,1,9.784,2,9,2,4,10,40,100,164.0666667,0.157333333
280,1,1,9.784,2,9,2,8,10,40,100,478.0,0.815333333
281,1,1,9.784,2,9,2,12,10,40,100,161.1333333,0.330333333
282,1,1,9.784,2,9,2,4,10,60,100,179.6666667,0.263333333
283,1,1,9.784,2,9,2,8,10,60,100,153.8,0.197333333
284,1,1,9.784,2,9,2,12,10,60,100,150.7333333,0.228333333
285,1,1,9.784,2,9,2,4,10,80,100,222.5666667,0.208
286,1,1,9.784,2,9,2,8,10,80,100,166.1666667,0.209333333
287,1,1,9.784,2,9,2,12,10,80,100,198.6666667,0.219
288,1,1,9.784,2,9,2,4,1,20,100,236.7666667,0.272333333
289,1,1,9.784,2,9,2,8,1,20,100,211.3666667,0.439666667
290,1,1,9.784,2,9,2,12,1,20,100,182.6,0.281
291,1,1,9.784,2,9,2,4,1,40,100,179.9,0.168333333
292,1,1,9.784,2,9,2,8,1,40,100,196.2,0.148333333
293,1,1,9.784,2,9,2,12,1,40,100,180.0,0.512666667
294,1,1,9.784,2,9,2,4,1,60,100,197.7,0.18
295,1,1,9.784,2,9,2,8,1,60,100,148.4666667,0.206666667
296,1,1,9.784,2,9,2,12,1,60,100,171.6333333,0.198666667
297,1,1,9.784,2,9,2,4,1,80,100,253.0666667,0.335333333
298,1,1,9.784,2,9,2,8,1,80,100,186.6333333,0.255
299,1,1,9.784,2,9,2,12,1,80,100,150.0333333,0.178
300,1,1,9.784,2,9,2,4,200,20,10,274.6,0.739666667
301,1,1,9.784,2,9,2,8,200,20,10,236.6,0.577
302,1,1,9.784,2,9,2,12,200,20,10,405.4,0.707666667
303,1,1,9.784,2,9,2,4,200,40,10,170.1333333,0.409333333
304,1,1,9.784,2,9,2,8,200,40,10,176.6666667,0.290333333
305,1,1,9.784,2,9,2,12,200,40,10,260.6666667,0.788666667
306,1,1,9.784,2,9,2,4,200,60,10,153.6333333,0.193
307,1,1,9.784,2,9,2,8,200,60,10,153.0333333,0.370333333
308,1,1,9.784,2,9,2,12,200,60,10,149.9,0.288333333
309,1,1,9.784,2,9,2,4,200,80,10,133.1,0.144333333
310,1,1,9.784,2,9,2,8,200,80,10,138.3666667,0.247666667
311,1,1,9.784,2,9,2,12,200,80,10,136.2333333,0.169
312,1,1,9.784,2,9,2,4,100,20,10,196.5,0.676666667
313,1,1,9.784,2,9,2,8,100,20,10,197.3,0.605666667
314,1,1,9.784,2,9,2,12,100,20,10,213.9333333,0.647666667
315,1,1,9.784,2,9,2,4,100,40,10,137.9333333,0.216666667
316,1,1,9.784,2,9,2,8,100,40,10,470.4333333,1.0
317,1,1,9.784,2,9,2,12,100,40,10,165.9666667,0.624666667
318,1,1,9.784,2,9,2,4,100,60,10,137.5666667,0.191333333
319,1,1,9.784,2,9,2,8,100,60,10,115.6333333,0.217
320,1,1,9.784,2,9,2,12,100,60,10,207.0666667,0.332333333
321,1,1,9.784,2,9,2,4,100,80,10,145.4,0.130333333
322,1,1,9.784,2,9,2,8,100,80,10,135.8666667,0.231
323,1,1,9.784,2,9,2,12,100,80,10,120.9333333,0.173
324,1,1,9.784,2,9,2,4,50,20,10,278.8333333,0.789333333
325,1,1,9.784,2,9,2,8,50,20,10,415.8,0.856666667
326,1,1,9.784,2,9,2,12,50,20,10,496.8333333,0.378333333
327,1,1,9.784,2,9,2,4,50,40,10,93.06666667,0.211
328,1,1,9.784,2,9,2,8,50,40,10,207.5666667,0.603666667
329,1,1,9.784,2,9,2,12,50,40,10,201.6333333,0.620333333
330,1,1,9.784,2,9,2,4,50,60,10,136.1666667,0.159666667
331,1,1,9.784,2,9,2,8,50,60,10,129.5,0.283
332,1,1,9.784,2,9,2,12,50,60,10,202.5,0.512333333
333,1,1,9.784,2,9,2,4,50,80,10,143.0333333,0.155333333
334,1,1,9.784,2,9,2,8,50,80,10,134.7,0.230666667
335,1,1,9.784,2,9,2,12,50,80,10,135.2333333,0.219666667
336,1,1,9.784,2,9,2,4,10,20,10,235.4666667,0.617
337,1,1,9.784,2,9,2,8,10,20,10,378.9333333,0.809333333
338,1,1,9.784,2,9,2,12,10,20,10,476.3333333,0.748333333
339,1,1,9.784,2,9,2,4,10,40,10,132.7666667,0.226
340,1,1,9.784,2,9,2,8,10,40,10,279.9666667,0.880333333
341,1,1,9.784,2,9,2,12,10,40,10,153.0,0.411666667
342,1,1,9.784,2,9,2,4,10,60,10,156.7333333,0.235666667
343,1,1,9.784,2,9,2,8,10,60,10,134.0666667,0.204666667
344,1,1,9.784,2,9,2,12,10,60,10,167.5,0.380333333
345,1,1,9.784,2,9,2,4,10,80,10,144.4333333,0.081666667
346,1,1,9.784,2,9,2,8,10,80,10,161.1333333,0.24
347,1,1,9.784,2,9,2,12,10,80,10,118.1666667,0.198
348,1,1,9.784,2,9,2,4,1,20,10,302.6666667,0.693
349,1,1,9.784,2,9,2,8,1,20,10,270.0333333,0.633333333
350,1,1,9.784,2,9,2,12,1,20,10,180.3,0.614
351,1,1,9.784,2,9,2,4,1,40,10,157.5,0.177
352,1,1,9.784,2,9,2,8,1,40,10,140.4666667,0.248666667
353,1,1,9.784,2,9,2,12,1,40,10,228.2,0.517
354,1,1,9.784,2,9,2,4,1,60,10,153.2,0.232666667
355,1,1,9.784,2,9,2,8,1,60,10,129.7666667,0.194666667
356,1,1,9.784,2,9,2,12,1,60,10,145.7333333,0.333666667
357,1,1,9.784,2,9,2,4,1,80,10,165.1666667,0.186
358,1,1,9.784,2,9,2,8,1,80,10,157.6666667,0.210666667
359,1,1,9.784,2,9,2,12,1,80,10,140.5666667,0.184333333
360,1,0,12.515,0,4,2,4,200,20,500,157.3333333,0.166
361,1,0,12.515,0,4,2,8,200,20,500,138.8333333,0.375666667
362,1,0,12.515,0,4,2,12,200,20,500,235.9333333,0.509333333
363,1,0,12.515,0,4,2,4,200,40,500,175.8333333,0.266333333
364,1,0,12.515,0,4,2,8,200,40,500,172.5333333,0.298333333
365,1,0,12.515,0,4,2,12,200,40,500,173.3,0.307666667
366,1,0,12.515,0,4,2,4,200,60,500,222.7333333,0.28
367,1,0,12.515,0,4,2,8,200,60,500,163.4666667,0.289666667
368,1,0,12.515,0,4,2,12,200,60,500,132.7666667,0.248666667
369,1,0,12.515,0,4,2,4,200,80,500,172.6333333,0.228666667
370,1,0,12.515,0,4,2,8,200,80,500,156.5,0.215666667
371,1,0,12.515,0,4,2,12,200,80,500,415.4333333,0.464333333
372,1,0,12.515,0,4,2,4,100,20,500,126.4666667,0.141666667
373,1,0,12.515,0,4,2,8,100,20,500,173.0,0.266666667
374,1,0,12.515,0,4,2,12,100,20,500,198.5333333,0.402666667
375,1,0,12.515,0,4,2,4,100,40,500,185.6666667,0.295
376,1,0,12.515,0,4,2,8,100,40,500,160.6,0.245333333
377,1,0,12.515,0,4,2,12,100,40,500,183.8333333,0.354
378,1,0,12.515,0,4,2,4,100,60,500,224.0,0.195666667
379,1,0,12.515,0,4,2,8,100,60,500,147.6666667,0.245666667
380,1,0,12.515,0,4,2,12,100,60,500,146.4333333,0.24
381,1,0,12.515,0,4,2,4,100,80,500,170.8666667,0.246333333
382,1,0,12.515,0,4,2,8,100,80,500,136.8333333,0.256666667
383,1,0,12.515,0,4,2,12,100,80,500,290.3,0.270666667
384,1,0,12.515,0,4,2,4,50,20,500,122.2,0.186333333
385,1,0,12.515,0,4,2,8,50,20,500,176.0666667,0.496333333
386,1,0,12.515,0,4,2,12,50,20,500,186.9666667,0.243
387,1,0,12.515,0,4,2,4,50,40,500,153.4666667,0.229666667
388,1,0,12.515,0,4,2,8,50,40,500,204.5333333,0.348333333
389,1,0,12.515,0,4,2,12,50,40,500,177.8333333,0.331
390,1,0,12.515,0,4,2,4,50,60,500,193.0,0.257666667
391,1,0,12.515,0,4,2,8,50,60,500,155.2333333,0.232666667
392,1,0,12.515,0,4,2,12,50,60,500,133.8333333,0.272
393,1,0,12.515,0,4,2,4,50,80,500,204.0333333,0.267
394,1,0,12.515,0,4,2,8,50,80,500,118.1,0.251
396,1,0,12.515,0,4,2,4,10,20,500,105.7,0.192333333
397,1,0,12.515,0,4,2,8,10,20,500,131.2333333,0.203666667
398,1,0,12.515,0,4,2,12,10,20,500,241.2,0.458333333
399,1,0,12.515,0,4,2,4,10,40,500,204.4333333,0.278666667
400,1,0,12.515,0,4,2,8,10,40,500,135.9,0.314333333
401,1,0,12.515,0,4,2,12,10,40,500,199.2666667,0.421
402,1,0,12.515,0,4,2,4,10,60,500,157.6333333,0.228333333
403,1,0,12.515,0,4,2,8,10,60,500,133.6333333,0.194
404,1,0,12.515,0,4,2,12,10,60,500,139.3666667,0.264333333
405,1,0,12.515,0,4,2,4,10,80,500,138.7666667,0.140333333
406,1,0,12.515,0,4,2,8,10,80,500,143.8333333,0.207
407,1,0,12.515,0,4,2,12,10,80,500,581.7333333,0.704333333
408,1,0,12.515,0,4,2,4,1,20,500,137.3,0.147333333
409,1,0,12.515,0,4,2,8,1,20,500,899.4,0.383333333
410,1,0,12.515,0,4,2,12,1,20,500,158.2333333,0.258666667
