,0,1,2,3,4,5,6,7,8,9
4,0.05448898678414098,0.05290972222222225,0.049771659324522766,0.050341180249632876,0.04654830518844838,0.044234459128732265,0.042676249694077364,0.04946653206069507,0.04817988252569753,0.04186365791727852
21,0.022171714279609706,0.021793604006907052,0.020776528594727714,0.020222739402635477,0.02101672523657262,0.021991625868359576,0.02236447459551613,0.020483959979425554,0.021220673888198885,0.01956960401560146
39,0.010663075156395337,0.010627114766669034,0.010259770112130303,0.010535719304115959,0.010445089412715146,0.010896644903699477,0.010778729093292541,0.010714470041603854,0.010706531818646354,0.009733847969460425
56,0.008512862890589647,0.008626082813926978,0.008880250259904982,0.008311778641645107,0.008489722108455064,0.008940616515588739,0.00895868289218888,0.008419461304521274,0.009001565229521015,0.008009325998612041
74,0.007590604939492145,0.0073767968226989885,0.007555768808175653,0.007439453740825802,0.007264679742758853,0.00746908723317497,0.007448088191523855,0.007243515716345193,0.007082186872107485,0.006698448625772872
92,0.00652657850163237,0.006526329110580459,0.0067064761573206524,0.006561287916426019,0.006610042459182748,0.006704868792094258,0.006695528564286344,0.0065011694488777225,0.006498431232174568,0.006226241443018738
109,0.0056692858316822236,0.0056396969506945045,0.005848962994647505,0.005607546310175546,0.005701054936882788,0.005832482501687006,0.005746859309926178,0.005732491024122073,0.00555764837708005,0.00544466788695615
127,0.004940659557901454,0.00495188506619072,0.005065847310736137,0.00484047565794183,0.005019187155841436,0.0050361658831589995,0.004988176092230422,0.0048796882222435336,0.004824044446299633,0.004643404149756332
144,0.004611258581886054,0.004969566643368573,0.0047630977095537855,0.004606289523640278,0.004622975881855796,0.004796010731721147,0.00482245768319372,0.004545457904987649,0.004702632689543565,0.004705853919207507
162,0.004993949879473675,0.005111280519607393,0.004983822032947037,0.005013619572183792,0.004886680385905354,0.005049264094704487,0.004920108359583289,0.004983264753271784,0.005166984123981198,0.005326555740467829
179,0.0072490814435112304,0.007638231760118781,0.007619682465541665,0.007592795608780076,0.007473921369238112,0.007598602383756333,0.007077729589736251,0.0076516192578873305,0.0077554982360504236,0.007208796758224794
197,0.009701173964722804,0.009617623183727237,0.0092975682047407,0.00959210001212056,0.009622673501330897,0.009546589180053421,0.009582156502981866,0.009446212453585737,0.009738123299067213,0.009750109164560887
214,0.01118889871912622,0.011596234912153443,0.011262250905604268,0.011001946464554707,0.010813122611760196,0.011251857209345633,0.011183436345655693,0.011021452656665221,0.011416480033544082,0.01098109041142725
232,0.01373495686839236,0.014078757942425107,0.014065369606168504,0.013932838549328896,0.01400965571438303,0.013973857600484797,0.01364010595838904,0.01367043435555015,0.01401780563702761,0.013723163758869242
249,0.015060234282903148,0.015480939758038992,0.015109544972122057,0.015059201629118408,0.015159109201974417,0.015084722007189744,0.015130282149074973,0.014922737634845038,0.015088367705265709,0.015027329995241007
267,0.015386373642161421,0.015455033490242454,0.01589560164916657,0.01540575011115764,0.015293532143833218,0.015250721275922549,0.01516775205479152,0.015444816358979338,0.015608900098545287,0.015383941746037615
285,0.01675715502715081,0.016863564032818835,0.01726475149961971,0.01717175252765183,0.01699314672976395,0.016571144021019786,0.016847170761385682,0.016865922260174568,0.017402929828814778,0.01756782697451924
302,0.01923547259980165,0.019502364648645396,0.019247029887230933,0.019104089416078218,0.018956711657201204,0.01923227692241124,0.01925380294921417,0.01886655701711877,0.019378223620737805,0.018517327772833513
320,0.018939888864915565,0.019032661346538297,0.01912098398788582,0.018947386960327647,0.01926452716899637,0.018658251193215642,0.018609046897219948,0.018769523047752097,0.019361300376892966,0.018853251024238064
337,0.020072885799948124,0.020322973521760428,0.020205133663680395,0.01953441572912369,0.019645483122027275,0.0197626027513573,0.019903829178454662,0.019833826249742836,0.019940701223106996,0.019780484792907706
355,0.019797489289775944,0.020105278082805107,0.01993963036376816,0.019860345790479537,0.020259532579261375,0.01985703119059586,0.020155805037736108,0.019961576091211623,0.020122777177198667,0.019964577426096846
372,0.019759819461175845,0.019898384217057415,0.02013535301772059,0.019919352803259988,0.020253793602525945,0.020020352039883522,0.020064151790406066,0.02012041970848654,0.020528517023297704,0.020334715116838594
390,0.021325817348058135,0.021653035599206533,0.021139777068205433,0.021194283322735256,0.021286956005664312,0.021347091913820525,0.02124509461215705,0.021342436077897542,0.021680709797034015,0.021143259615805335
