,RLU_B16
0,0.30259535981124663
1,0.2566850176956351
2,0.16791191506095163
3,0.28126228863547
4,0.3790798269760126
5,0.2901101061738105
6,0.09978372001572947
7,0.12809673613841918
8,0.1538537160833661
9,0.05987023200943767
10,0.03794730633110499
11,0.03794730633110499
12,0.2593393629571372
13,0.1120723554856469
14,0.12809673613841918
15,0.024872198191112846
16,0.12298466378293352
17,0.06930790405033427
18,0.05987023200943767
19,0.08572552103814393
20,0.0
21,0.05987023200943767
22,0.024872198191112846
23,0.049547778214707044
24,0.12298466378293352
25,0.14176169878096737
26,0.10607550137632718
27,0.14176169878096737
28,0.06930790405033427
29,0.15001966181675183
30,0.0
31,0.024872198191112846
32,0.06930790405033427
33,0.05987023200943767
34,0.024872198191112846
35,0.0
36,0.09300039323633502
37,0.06930790405033427
38,0.08572552103814393
39,0.09300039323633502
40,0.049547778214707044
41,0.009732599292174599
42,0.009732599292174599
43,0.024872198191112846
44,0.024872198191112846
45,0.009732599292174599
46,0.009732599292174599
47,0.009732599292174599
48,0.009732599292174599
49,0.024872198191112846
50,0.024872198191112846
51,0.024872198191112846
52,0.0
53,0.024872198191112846
54,0.049547778214707044
55,0.024872198191112846
56,0.024872198191112846
57,0.024872198191112846
58,0.009732599292174599
59,0.024872198191112846
60,0.21411718442784114
61,0.18305151395988992
62,0.06930790405033427
63,0.12809673613841918
64,0.18580416830515142
65,0.1120723554856469
66,0.12298466378293352
67,0.03794730633110499
68,0.024872198191112846
69,0.0
70,0.024872198191112846
71,0.07786079433739679
72,0.19622493118364134
73,0.2377113645300826
74,0.06930790405033427
75,0.06930790405033427
76,0.16456940621313407
77,0.07786079433739679
78,0.05987023200943767
79,0.09300039323633502
80,0.06930790405033427
81,0.03794730633110499
82,0.024872198191112846
83,0.0
84,0.20988989382618953
85,0.11767597325992923
86,0.09300039323633502
87,0.08572552103814393
88,0.1120723554856469
89,0.157589461266221
90,0.05987023200943767
91,0.03794730633110499
92,0.049547778214707044
93,0.049547778214707044
94,0.0
95,0.009732599292174599
