LGBM,XGB,RF,MLP,DT,kNN,MLR,PLS,lasso
0.13413366956237832,0.1271306093722704,0.1720427961381361,0.02683158671554864,0.04904691174650322,0.08385744064317435,0.02044108651497678,0.028117766492256502,0.07375340304662192
0.07025557241600622,0.05536713522249914,0.033336427775714106,0.15873346432608387,0.06168770887486075,0.09261685525935914,0.05867726192876993,0.07832373840096218,0.10761654360228134
0.05780341675318057,0.551224984314377,0.02478950055700002,0.08654533136975412,0.06612823369228871,0.44513364813751705,0.18998258273652707,0.19450564262352238,0.1990516223582467
0.00019485840501831664,0.053364739779243164,0.03937523208317906,0.11583365086999686,0.017236044064859568,0.037385193821782736,0.09067665571076378,0.0770819527576116,0.10390960139280647
0.08949360068659495,0.08337695885005603,0.10630175454882951,0.04485795320303998,0.0017638321574452442,0.2106840301878271,0.077680592358362,0.0773725753816763,0.1362305742912212
0.049800484128108946,0.2990997414627883,0.10944880245079813,0.07866367838301491,0.18529520980319347,0.28107029272251083,0.21193384162396917,0.21149344559799316,0.18922606206048675
0.10080128159176505,0.028749152697066654,0.15655681396212429,0.09720492899246852,0.37944052481742785,0.24457691467555923,0.1453601357562103,0.14496213811718536,0.12471231753899262
0.006640768578669465,0.02925041343392909,0.03671648718900811,0.027880486700645413,0.11709369971531136,0.023910459741625256,0.118926751813281,0.11669764200645133,0.107052519472222
0.03847277473647981,0.050127510992603375,0.024667888971407204,0.1573060776643218,0.03755105829929445,0.09205108565943065,0.3001817979513056,0.3009471719033811,0.2841257466449164
0.056975898216480525,0.005995918130325739,0.09421091719272179,0.07143671185392364,0.020825597227379533,0.011039174455427458,0.04082017239121044,0.03838251393070746,0.028402330530427844
0.46614511870905784,0.15422301766290744,0.5230363442257712,0.17487400551960575,0.7079001113999258,0.3735980411629779,0.2682561034781358,0.26527834365720326,0.32249790993976946
0.04565589818799731,0.08675022320901415,0.016529892313405237,0.034030247327248464,0.03207389528406984,0.06577172230200479,0.016420949332762058,0.004576603585471961,0.04223953762288868
0.7098599097580787,0.15661941707200644,0.5943199962866698,0.03452029275987123,0.6763367991088006,0.06262495580794275,0.09843537772138677,0.10965821048687996,0.0790451922398655
0.01798388625050462,0.23738720102288935,0.017612792424805734,0.36809350734804447,0.03994925114494374,0.28343496681011254,0.38737479982775846,0.40434360836436467,0.4054984888890534
0.04324703119364953,0.044643123730646384,0.07494870961752681,0.3157421044620218,0.10137393241737835,0.004012304487786111,0.2660494592630558,0.25702071750484745,0.29036458890754946
0.17159803828279552,0.10615225053833988,0.10497447085035294,0.07305441635366944,0.09106943928704048,0.10129363552991955,0.095571479797185,0.09489741056658874,0.1341627502594569
0.24141478295538152,0.100899298771845,0.38060039918306743,0.10248605117054843,0.011186409209060527,0.06497579510600937,0.18737053390261826,0.1931467170091341,0.24281303102636986
0.013432337849190512,0.010540055002459692,0.09503109914593388,0.07209831792922339,0.03648347567768295,0.017760374623462916,0.15049822525986367,0.1469136525522166,0.13230239793281373
0.07680298283808118,0.03927883929671572,0.17357222428518426,0.1629920904426566,0.11167842554771612,0.11081591201374119,0.14152058983111804,0.15002532451069384,0.1999200468078839
0.012168056465076682,0.02247399367278624,0.0404989788340141,0.014260372366282192,0.08503527664314892,0.02883949453898832,0.19948395921780845,0.20478581791530595,0.2430877689351338
0.1565733522231484,0.017939084354404944,0.19910531934645326,0.06489880398429193,0.005136774353261431,0.129225829159045,0.03173285594970937,0.029017373406237834,0.010595215797871593
0.025543213604746984,0.012145337631743969,0.036386929075380436,0.07108203188304674,0.027107315261789888,0.07408097172708894,0.031018064355667396,0.021562310150917474,0.020434073332804226
0.08964244568655577,0.04016528185353241,0.01618733754177476,0.4286074703715084,0.12504641663572225,0.12958112175081804,0.31154289125287704,0.3224917668684836,0.3405276250831777
0.02830424722245839,0.0447615172577045,0.04311618083921298,0.13128368934431967,0.03054214630523583,0.09983183849949584,0.16048583453462845,0.16426349864307982,0.21418911482261527
0.08511869450913329,0.3785919106852109,0.03891570738952854,0.02690610463638793,0.020284069810620087,0.4409395119630859,0.05966281785714067,0.05000504812240136,0.07764797408712942
0.098160318855115,0.12434230995496942,0.010693928704046951,0.08289697104734878,0.005786607253372988,0.17279703507351207,0.11638020673743082,0.10848015856336529,0.09836381651075232
0.15476197546671172,0.019695440123969288,0.13227789639806853,0.04046952331992548,0.15735239509840326,0.07692728635547086,0.22993793137536067,0.21622364985965747,0.18944422670021055
0.04104848219873958,0.21751712321836714,0.0814755848496097,0.005177897957406474,0.05764946156702555,0.25891765609883544,0.0353645597945107,0.04500201438622908,0.01183586255114033
0.03961035640221766,0.15396678226391625,0.045606433345710684,0.04827909486663173,0.009530882534967366,0.20955541029398728,0.009832909219542163,0.005102622759390885,0.0474495049198107
0.058638168871412155,0.057856156509072276,0.005255755662830097,0.07885381348543552,0.0942876593637827,0.06389332253846058,0.004648116936102342,0.00676172647985801,0.0007420639159043674
0.0620406382655192,0.00904096012836142,0.11115484589676972,0.3719169329735852,0.214073523950984,0.045524359122340374,0.3826379187881561,0.3952455708324263,0.3927327096119795
0.04136221425331843,0.21525759215342533,0.003923134051243005,0.0486093054513142,0.017112266369600282,0.18552822335758767,0.1675311019271573,0.16417622181875252,0.1767731887853755
0.004812523576844918,0.01685693535802968,0.09034116227255817,0.08856816004906731,0.0616412922391385,0.049342044961054654,0.15622157431586692,0.14391009382372122,0.1366146111963027
0.36161757370293646,0.013693639205549446,0.2579358522094314,0.07421495387781585,0.38872385196187653,0.021632921031942254,0.019596578371017914,0.03098403381656789,0.06889403170179453
0.0548852564886928,0.15805297775689964,0.06150459524693627,0.05509627077650525,0.012764574823616759,0.27050076312645815,0.07143128222906314,0.055057802666413025,0.053410810736440495
0.003729301636137272,0.20759543510914022,0.04015108614927643,0.11622920175045337,0.021258819160787312,0.19893304328793024,0.15621643374110633,0.15142115566843095,0.20523756245758273
0.024931699687305575,0.04542447015161721,0.06521931860378771,0.04285669847390855,0.00436316375789092,0.14670340550851924,0.022948767072751675,0.03105014824615282,0.005625288161184572
0.0717019983395929,0.28614547674956037,0.08405913479391036,0.1704633499847633,0.24359450427033058,0.29910684421279843,0.1352490024591264,0.14400319036050435,0.19231235159810434
0.12772791141150094,0.132646721112343,0.21425501299665842,0.2561626286356816,0.09877460081693276,0.03418094346108991,0.32267072874336866,0.3333805500781293,0.3503582306648434
0.10341816010614524,0.24120569886481324,0.11656052729298227,0.13244196275037196,0.08619569253620507,0.16208787213160747,0.0876503548754638,0.0872633352417378,0.08198717834290548
0.040261110185338955,0.12661428703634967,0.06863999257333853,0.010930974237597257,0.0025993316004456757,0.2530297911534094,0.1988203695312919,0.20468019662036607,0.1717954082441815
0.0821114009651619,0.23279111087322235,0.047630198663201506,0.10155764687677382,0.028592647604901544,0.39995759531912345,0.16524310952865318,0.15588744377407615,0.15027825801777317
0.37457609640114753,0.1007832169222912,0.38085197734868187,0.06579049220056732,0.5769587820274786,0.16881369787319722,0.01603727968388524,0.014779509843170557,0.005524482966551614
0.11485563372068464,0.09103201753005108,0.10903963980690662,0.05901113131030411,0.08554585963609357,0.00859338994601333,0.1891734541146871,0.195505168915039,0.2502792021232262
0.3515396418568534,0.009815091698133438,0.2920794652803558,0.0917331214699243,0.042579527169204046,0.01809257578390633,0.17829259337382308,0.17469166240856648,0.13945414745070217
0.08476419127307866,0.030452877847492288,0.06512045116969845,0.015416910396537975,0.22080393613070914,0.1349109050189925,0.05928386092311977,0.06144002619298272,0.024208425530661826
0.04602720822042805,0.10303826319697718,0.03639922948384777,0.11040253023090063,0.0930189379873746,0.11100932573344302,0.04566347123598724,0.040214334667711515,0.07393023965595757
0.0707240644430408,0.11115340678788366,0.08976281099146066,0.07752602929699326,0.008169327887114775,0.29896914391642293,0.06312652215900116,0.07000334236986372,0.07051033344623348
0.005149726372293162,0.13314559489123404,0.05678471964352072,0.10376835120898786,0.026488426785493235,0.5381929601682044,0.18628581456818383,0.17663138453887695,0.16861946221087032
0.11714139818806557,0.006711063301346298,0.09688544374303631,0.07939254986815125,0.1680282213145191,0.05435557163855648,0.03978354659406125,0.028716905931874703,0.06568737719402873
0.093461448100646,0.03442885943872098,0.12795093761604182,0.12298449257087149,0.14087448941700692,0.05669607987999825,0.06888631964878911,0.08049362346793187,0.07840071768087598
0.047163561224971784,0.07591389485375843,0.07036529892313415,0.0015314986603670588,0.2251206832528777,0.08950854027156896,0.0022776945038752716,0.008968183502907179,0.017358226961486367
0.1004588506347831,0.023565868462854134,0.08096244894170068,0.14591492388839622,0.5885629409580394,0.028581835066536665,0.07155095233777542,0.0774672614576587,0.04362447370109912
0.0644448487355544,0.0971071307560879,0.061305932046045286,0.12081006306818065,0.10773301151132564,0.32550868897393825,0.16849403904215562,0.17157572704113414,0.15194338263348875
0.09307086968275968,0.035329699671228676,0.061666357222429746,0.202668032812637,0.14556256962495373,0.014629544512352544,0.08148795213462956,0.09068348405823845,0.13932267351169858
0.18648474076932176,0.023275331144123834,0.1591552172298546,0.10351625328579722,0.14218962742913732,0.04557992840920888,0.2547599212324959,0.25260093829306374,0.2249576159565001
0.0032397551970472227,0.006101220458845535,0.08275157816561457,0.4286514941878097,0.038015224656516966,0.013766971279771334,0.39980805227303795,0.4037997738705238,0.4149635596363973
0.17296561457632903,0.022029458502611177,0.3427030727812851,0.05338645284162499,0.18096299046911746,0.11766713268147855,0.16962684316244628,0.18375583540582277,0.18871937270734532
0.025196442479552883,0.20528147652651174,0.10436850167099876,0.2637187808347349,0.05440029706646865,0.16267611659376785,0.33669389790572535,0.32897665483987426,0.28032130068692984
0.051757692014583356,0.27072914973360607,0.08221268102487977,0.14490716479632526,0.3836799108800595,0.30741836805563905,0.31316610952509594,0.3203906813100032,0.2878672262407431
0.09489605178029525,0.0015811843363892075,0.05030890271073174,0.06362769344007646,9.28332714446034e-05,0.038021612604762,0.1042759721061648,0.11939946458734407,0.17677491463186412
0.0588693441322895,0.062248178631498896,0.044475492016338436,0.028403014107326874,0.02825225894293848,0.006871643588075904,0.13835912414034157,0.146132123127232,0.10796661818564857
0.10474479482109222,0.10318849164670252,0.15415660972892642,0.05042878361866715,0.11557742294838458,0.1668755173504316,0.1808152609331921,0.1887416511781166,0.2180841250258161
0.03905958771486995,0.1129632768823983,0.039385443743037984,0.14412664097555755,0.1355365763089491,0.2240740787848199,0.01538293271108726,0.008501858809651874,0.007918168509786216
0.08852049066255244,0.033936880686625814,0.14763623282584468,0.31150204154881067,0.026148038123530143,0.2216598936451264,0.26730510100271165,0.25312952112104614,0.22143956816252375
0.1614492722552361,0.05743001012433824,0.17207087820274725,0.18418189770937715,0.1059691793538805,0.07425186430770236,0.042063735920915724,0.0541176651822205,0.08745522888656132
0.06566376544493596,0.10697392101762371,0.005948988117341236,0.23745551399722464,0.16481000123777678,0.1956295734337853,0.36816672875659195,0.3639748588304793,0.42356114891471597
0.05723499504356119,0.1465236137469285,0.17910624767916808,0.058052772885469284,0.012470602797375913,0.17670198209771712,0.09328493098730006,0.08981734279420861,0.04107416304359357
0.039584185703930685,0.20254769915492843,0.04243664129223934,0.049205048260771544,0.18105582374056195,0.04626503696167278,0.09061931611534235,0.08742960640967418,0.048483834594559516
0.02845677263857882,0.11774924802505704,0.029581321945785055,0.3475611984476007,0.17160230226513185,0.10957725166674204,0.34966340288693,0.3514940192337676,0.3425047631445981
0.05219641751272097,0.11338906864937559,0.04733638135907925,0.23205985500259524,0.22818418121054593,0.01501461743994359,0.23325369379768895,0.2224142091012778,0.187539702977214
0.06462644258970585,0.09975764218467442,0.04105969179353952,0.12116460233788118,0.03301770021042205,0.1884388405455889,0.15133684207604386,0.14934682471830085,0.14441310544818609
0.07330756952105266,0.05005617768977855,0.13892174155217207,0.29434215746146064,0.1524941205594752,0.19112622187542228,0.3084390047512874,0.307347981750155,0.2713978987960197
0.05103024411259702,0.0027609945361692922,0.15331994987003325,0.08355988422089994,0.3609357593761603,0.05889465292535068,0.1333962632152325,0.13188043245102304,0.12545530360533708
0.1011597424358317,0.00775541041448935,0.04790591347939133,0.18824632680943304,0.15453645253125392,0.06960467785293656,0.22384773062089458,0.25610879033206546,0.21745362029872062
0.018528646220430267,0.11248998216125461,0.030782584478276642,0.08088660159159866,0.12910013615546467,0.11967348034858766,0.12271703382409005,0.11329524508043898,0.10824958252312045
0.04463112137216904,0.06203799474828087,0.14282143520237697,0.18788796986735412,0.0431984156455007,0.08382891450965863,0.11205420128621019,0.11749129737376396,0.14392654239424107
0.04231583842785053,0.11004490426070979,0.11696852952098016,0.2604541441804069,0.002645748236167811,0.04451866465064691,0.09321226904651092,0.09155665032511084,0.11710643161976508
0.09363510712517464,0.11967700272743198,0.18706762903824703,0.03059548747582952,0.3098774600816933,0.08976741578987224,0.14545943578896803,0.1475600704959048,0.1755472436462291
0.4905335649943536,0.041977236694090925,0.5520474378017082,0.04893773377957744,0.04279613813590791,0.14014653844414676,0.10285572723839809,0.10255355187752313,0.06481944646718418
0.0354229777203362,0.13052282607161422,0.0028987189008535252,0.10115907357534326,0.003898997400668458,0.122582142925965,0.3409299688432337,0.3249443174460729,0.2964076007112638
0.17116204498610932,0.24315066918360007,0.10906331229112509,0.1620443551884373,0.16329372447085044,0.20937746132607327,0.1652966026138898,0.17186956705842127,0.1994843075625451
0.04460967667337046,0.1267943092097238,0.07430676754548815,0.012142229305341479,0.1328908280727814,0.08815435223110024,0.12581350552367732,0.11547025055146232,0.11138304026377654
