,Feature,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,-0.016624872619658563
1,NP_ratio,8.0,-0.01249850194248915
2,NP_ratio,12.0,0.029720734986107018
3,Dlin-MC3_Helper lipid_ratio,200.0,-0.035906816503692665
4,Dlin-MC3_Helper lipid_ratio,100.0,-0.0399532165231546
5,Dlin-MC3_Helper lipid_ratio,50.0,-0.02325371942149383
6,Dlin-MC3_Helper lipid_ratio,10.0,0.05130453034220171
7,Dlin-MC3_Helper lipid_ratio,1.0,0.04625613847649866
8,Dlin-MC3+Helper lipid percentage,20.0,0.015147967559273995
9,Dlin-MC3+Helper lipid percentage,40.0,0.014155634067348086
10,Dlin-MC3+Helper lipid percentage,60.0,-0.008184406563416584
11,Dlin-MC3+Helper lipid percentage,80.0,-0.009511144896917139
12,Chol_DMG-PEG_ratio,500.0,0.000564556741880295
13,Chol_DMG-PEG_ratio,100.0,0.04306507156616167
14,Chol_DMG-PEG_ratio,10.0,-0.04188370261071313
