,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,wt_Helper,wt_Dlin,wt_Chol,wt_DMG,wt_pDNA,Size,PDI,Zeta,RLU_HepG2
0,1,18PG,0,1,9.3028,3,10,36,1,0.17380167,27.93339781,67.48242471,0.875796734,3.534579078,440.1666667,0.292666667,-7.193333333,2.303
1,2,18PG,0,1,9.3028,3,10,36,1,0.176928509,28.43594326,68.6964906,0.891553058,1.799084572,320.9666667,0.187666667,-5.036666667,1.609
2,3,18PG,0,1,9.3028,3,10,36,1,0.177995941,28.60750097,69.11094539,0.896931912,1.206625788,205.6333333,0.408666667,-0.522666667,2.015
3,4,18PG,0,1,9.3028,3,10,36,1,0.303445302,48.76971747,44.18231015,0.573404455,6.171122619,236.0666667,0.359666667,-4.42,2.565
4,5,18PG,0,1,9.3028,3,10,36,1,0.313106392,50.32244744,45.58898627,0.591660502,3.183799392,188.6,0.308666667,-3.686666667,2.803
5,6,18PG,0,1,9.3028,3,10,36,1,0.316464928,50.86223125,46.0779966,0.598006949,2.14530028,248.3,0.374333333,-2.553333333,1.872
6,7,18PG,0,1,9.3028,3,10,36,1,0.403862938,64.90883604,26.1348182,0.339181476,8.213301347,221.0666667,0.257,-1.06,2.639
7,8,18PG,0,1,9.3028,3,10,36,1,0.421158444,67.68856911,27.2540467,0.353706986,4.282518759,206.6333333,0.367333333,1.177333333,2.89
8,9,18PG,0,1,9.3028,3,10,36,1,0.427257572,68.66882083,27.6487341,0.358829297,2.8963582,239.3,0.301,-0.068333333,2.197
9,10,18PG,0,1,9.3028,3,10,36,1,0.483936236,77.77821354,11.74369852,0.152411429,9.841740278,228.7,0.5935,-24.26666667,1.253
10,11,18PG,0,1,9.3028,3,10,36,1,0.508982609,81.80366569,12.35149978,0.160299563,5.175552349,195.4666667,0.445,-14.43333333,1.792
11,12,18PG,0,1,9.3028,3,10,36,1,0.517917642,83.23970384,12.56832656,0.163113572,3.510938384,211.95,0.466166667,-1.853333333,1.099
12,13,18PG,0,1,9.3028,3,10,36,1,0.345826166,27.79058413,67.47142768,0.875654013,3.516508013,395.5333333,0.062333333,-9.85,1.705
13,14,18PG,0,1,9.3028,3,10,36,1,0.352015492,28.28795829,68.67897857,0.891325784,1.789721863,412.0666667,0.177666667,-4.376666667,2.251
14,15,18PG,0,1,9.3028,3,10,36,1,0.354128128,28.45772969,69.09115843,0.896675114,1.200308637,288.7666667,0.699333333,-1.413,1.253
15,16,18PG,0,1,9.3028,3,10,36,1,0.603714399,48.51447769,44.16974097,0.57324133,6.13882561,218.7666667,0.298,-4.306666667,2.251
16,17,18PG,0,1,9.3028,3,10,36,1,0.622831674,50.05074156,45.56842401,0.591393642,3.16660911,221.7666667,0.319666667,-1.85,2.351
17,18,18PG,0,1,9.3028,3,10,36,1,0.629476023,50.58468127,46.0545465,0.59770261,2.133593597,491.3333333,0.671,-4.253333333,2.079
18,19,18PG,0,1,9.3028,3,10,36,1,0.803422948,64.56305287,26.12492378,0.339053065,8.169547344,227.4,0.285666667,0.728366667,1.946
19,20,18PG,0,1,9.3028,3,10,36,1,0.837638588,67.31262109,27.2375146,0.353492431,4.258733288,217.1,0.286333333,-0.417,1.872
20,21,18PG,0,1,9.3028,3,10,36,1,0.849700751,68.28193627,27.62974025,0.358582792,2.880039932,241.5666667,0.296333333,-2.663333333,2.251
21,22,18PG,0,1,9.3028,3,10,36,1,0.962644151,77.35806574,11.73837134,0.152342292,9.788576477,188.8333333,0.565833333,-25.4,2.14
22,23,18PG,0,1,9.3028,3,10,36,1,1.01218332,81.33903244,12.34244623,0.160182064,5.146155944,184.6,0.429666667,-17.4,1.504
23,24,18PG,0,1,9.3028,3,10,36,1,1.029849202,82.75866238,12.55786195,0.162977761,3.490648704,285.2666667,0.270666667,-8.583333333,1.099
24,25,18PG,0,1,9.3028,3,10,36,1,0.684651564,27.50929336,67.44976755,0.875372905,3.480914619,431.4,0.301666667,-6.4,1.253
25,26,18PG,0,1,9.3028,3,10,36,1,0.6967787,27.99656157,68.64449569,0.89087826,1.771285782,265.1333333,0.512666667,-3.806666667,1.792
26,27,18PG,0,1,9.3028,3,10,36,1,0.700917115,28.16284305,69.05219962,0.896169501,1.187870717,1283.4,0.621666667,-1.361666667,2.674
27,28,18PG,0,1,9.3028,3,10,36,1,1.194921386,48.01192999,44.14499322,0.57292015,6.075235258,281.9333333,0.463333333,-5.183333333,3.091
28,29,18PG,0,1,9.3028,3,10,36,1,1.232355638,49.51603789,45.52795851,0.590868475,3.132779491,247.4666667,0.442333333,-2.506666667,1.872
29,30,18PG,0,1,9.3028,3,10,36,1,1.245360437,50.03857058,46.00840581,0.59710379,2.110559385,230.4,0.252,-2.166666667,2.251
30,31,18PG,0,1,9.3028,3,10,36,1,1.589906357,63.88242237,26.10544785,0.338800303,8.083423117,215.5666667,0.283333333,0.091,1.946
31,32,18PG,0,1,9.3028,3,10,36,1,1.656872358,66.57311569,27.20499529,0.35307039,4.211946278,221.9666667,0.240333333,-0.125666667,2.251
32,33,18PG,0,1,9.3028,3,10,36,1,1.680465797,67.52109984,27.59238747,0.358098022,2.847948878,234.9333333,0.281333333,0.407333333,3.584
33,34,18PG,0,1,9.3028,3,10,36,1,1.904710307,76.53124211,11.72788779,0.152206235,9.683953562,172.3666667,0.537333333,-25.33333333,3.611
34,35,18PG,0,1,9.3028,3,10,36,1,2.001628704,80.42542239,12.3246442,0.159951027,5.088353685,163.9833333,0.436166667,-6.63,2.803
35,36,18PG,0,1,9.3028,3,10,36,1,2.036164454,81.81306848,12.53729144,0.162710794,3.45076483,247.1,0.323,-11.83333333,1.0
36,37,18PG,0,1,9.3028,3,10,36,1,3.166825963,25.44860744,67.29108928,0.873313555,3.220163764,303.8,0.320333333,-4.81,1.099
37,38,18PG,0,1,9.3028,3,10,36,1,3.218648844,25.86505602,68.39226067,0.887604718,1.636429741,462.6666667,0.568333333,-3.45,2.833
38,39,18PG,0,1,9.3028,3,10,36,1,3.236302115,26.00691767,68.76737058,0.892472949,1.096936693,947.7666667,0.293,-0.677333333,3.199
39,40,18PG,0,1,9.3028,3,10,36,1,5.517382906,44.33767859,43.96405622,0.570571923,5.610310361,242.8,0.251,1.363333333,2.773
40,41,18PG,0,1,9.3028,3,10,36,1,5.676620932,45.61731507,45.23290952,0.587039286,2.88611519,182.1,0.263,-1.420666667,2.351
41,42,18PG,0,1,9.3028,3,10,36,1,5.73176269,46.06043413,45.67229453,0.592741689,1.942766958,252.6333333,0.273666667,-2.366666667,2.674
42,43,18PG,0,1,9.3028,3,10,36,1,7.331238305,58.91381714,25.96327348,0.336955144,7.454715925,242.8,0.252666667,-1.566666667,1.705
43,44,18PG,0,1,9.3028,3,10,36,1,7.61507958,61.19476509,26.96848547,0.350000931,3.871668923,202.9666667,0.257333333,-2.063333333,3.839
44,45,18PG,0,1,9.3028,3,10,36,1,7.71464137,61.99484345,27.32107939,0.354576947,2.614858841,142.2666667,0.268333333,-0.186,3.526
45,46,18PG,0,1,9.3028,3,10,36,1,8.77337423,70.50281871,11.65145155,0.151214235,8.921141269,154.0833333,0.3755,-22.66666667,2.015
46,47,18PG,0,1,9.3028,3,10,36,1,9.182987891,73.79447332,12.19543767,0.158274166,4.668826959,172.25,0.288833333,-0.437,3.258
47,48,18PG,0,1,9.3028,3,10,36,1,9.328159771,74.96107427,12.38823272,0.160776288,3.16175696,175.9333333,0.234333333,-2.24,1.386
48,49,18PG,0,1,9.3028,3,10,36,1,17.18557707,13.81032648,66.39491083,0.86168282,1.747502805,1859.333333,0.579,-19.73333333,1.253
49,50,18PG,0,1,9.3028,3,10,36,1,17.33705987,13.93205803,66.98015084,0.869278151,0.881453112,487.5,0.492333333,-3.413333333,1.099
50,51,18PG,0,1,9.3028,3,10,36,1,17.38814933,13.97311351,67.17753031,0.87183977,0.589367073,1049.966667,0.215333333,-2.423333333,1.504
51,52,18PG,0,1,9.3028,3,10,36,1,29.64838622,23.82543755,42.95393933,0.557462479,3.014774418,370.2333333,0.760333333,-25.56666667,2.862
52,53,18PG,0,1,9.3028,3,10,36,1,30.10214206,24.19007566,43.61133095,0.565994203,1.530457124,1164.833333,0.693666667,-15.7,1.0
53,54,18PG,0,1,9.3028,3,10,36,1,30.25649629,24.31411469,43.83495602,0.568896442,1.025536548,1153.333333,0.461,-4.87,1.386
54,55,18PG,0,1,9.3028,3,10,36,1,39.10003905,31.42078398,25.17657293,0.326745229,3.975858807,1720.666667,0.716333333,-28.26666667,1.0
55,56,18PG,0,1,9.3028,3,10,36,1,39.89308543,32.0580759,25.68721666,0.333372438,2.028249573,2275.666667,0.719666667,-17.83333333,1.099
56,57,18PG,0,1,9.3028,3,10,36,1,40.16463175,32.27629047,25.86206574,0.335641655,1.361370378,1034.266667,0.683333333,-5.81,1.253
57,58,18PG,0,1,9.3028,3,10,36,1,46.51420513,37.37880644,11.23146203,0.14576355,4.729762849,476.1166667,0.131333333,-6.776666667,1.386
