,P_charged_centers,N_charged_centers,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3
119,0.0,1.0,1.0,12.0,1.0,80.0,100.0,0.11496265172735756
120,0.0,1.0,1.0,4.0,200.0,20.0,10.0,0.021241830065359485
121,0.0,1.0,1.0,8.0,200.0,20.0,10.0,0.11496265172735756
123,0.0,1.0,1.0,4.0,200.0,40.0,10.0,0.11496265172735756
124,0.0,1.0,1.0,8.0,200.0,40.0,10.0,0.11496265172735756
125,0.0,1.0,1.0,12.0,200.0,40.0,10.0,0.11496265172735756
127,0.0,1.0,1.0,8.0,200.0,60.0,10.0,0.11496265172735756
128,0.0,1.0,1.0,12.0,200.0,60.0,10.0,0.007469654528478059
129,0.0,1.0,1.0,4.0,200.0,80.0,10.0,0.11496265172735756
130,0.0,1.0,1.0,8.0,200.0,80.0,10.0,0.20646591970121378
131,0.0,1.0,1.0,12.0,200.0,80.0,10.0,0.11496265172735756
132,0.0,1.0,1.0,4.0,100.0,20.0,10.0,0.11496265172735756
135,0.0,1.0,1.0,4.0,100.0,40.0,10.0,0.18312324929971988
136,0.0,1.0,1.0,8.0,100.0,40.0,10.0,0.35422502334267036
137,0.0,1.0,1.0,12.0,100.0,40.0,10.0,0.072829131652661
139,0.0,1.0,1.0,8.0,100.0,60.0,10.0,0.11496265172735756
140,0.0,1.0,1.0,12.0,100.0,60.0,10.0,0.11496265172735756
141,0.0,1.0,1.0,4.0,100.0,80.0,10.0,0.11496265172735756
142,0.0,1.0,1.0,8.0,100.0,80.0,10.0,0.11496265172735756
143,0.0,1.0,1.0,12.0,100.0,80.0,10.0,0.11496265172735756
144,0.0,1.0,1.0,4.0,50.0,20.0,10.0,0.11496265172735756
146,0.0,1.0,1.0,12.0,50.0,20.0,10.0,0.11496265172735756
147,0.0,1.0,1.0,4.0,50.0,40.0,10.0,0.11496265172735756
148,0.0,1.0,1.0,8.0,50.0,40.0,10.0,0.11496265172735756
149,0.0,1.0,1.0,12.0,50.0,40.0,10.0,0.11496265172735756
150,0.0,1.0,1.0,4.0,50.0,60.0,10.0,0.11496265172735756
151,0.0,1.0,1.0,8.0,50.0,60.0,10.0,0.11496265172735756
152,0.0,1.0,1.0,12.0,50.0,60.0,10.0,0.11496265172735756
153,0.0,1.0,1.0,4.0,50.0,80.0,10.0,0.11496265172735756
154,0.0,1.0,1.0,8.0,50.0,80.0,10.0,0.11496265172735756
155,0.0,1.0,1.0,12.0,50.0,80.0,10.0,0.11496265172735756
159,0.0,1.0,1.0,4.0,10.0,40.0,10.0,0.11496265172735756
161,0.0,1.0,1.0,12.0,10.0,40.0,10.0,0.11496265172735756
162,0.0,1.0,1.0,4.0,10.0,60.0,10.0,0.11496265172735756
163,0.0,1.0,1.0,8.0,10.0,60.0,10.0,0.11496265172735756
164,0.0,1.0,1.0,12.0,10.0,60.0,10.0,0.11496265172735756
165,0.0,1.0,1.0,4.0,10.0,80.0,10.0,0.033613445378151224
166,0.0,1.0,1.0,8.0,10.0,80.0,10.0,0.11496265172735756
167,0.0,1.0,1.0,12.0,10.0,80.0,10.0,0.11496265172735756
169,0.0,1.0,1.0,8.0,1.0,20.0,10.0,0.11496265172735756
171,0.0,1.0,1.0,4.0,1.0,40.0,10.0,0.021241830065359485
172,0.0,1.0,1.0,8.0,1.0,40.0,10.0,0.11496265172735756
174,0.0,1.0,1.0,4.0,1.0,60.0,10.0,0.007469654528478059
176,0.0,1.0,1.0,12.0,1.0,60.0,10.0,0.08088235294117649
177,0.0,1.0,1.0,4.0,1.0,80.0,10.0,0.11496265172735756
178,0.0,1.0,1.0,8.0,1.0,80.0,10.0,0.007469654528478059
179,0.0,1.0,1.0,12.0,1.0,80.0,10.0,0.0954715219421102
181,1.0,1.0,2.0,8.0,200.0,20.0,500.0,0.11496265172735756
183,1.0,1.0,2.0,4.0,200.0,40.0,500.0,0.11496265172735756
184,1.0,1.0,2.0,8.0,200.0,40.0,500.0,0.11496265172735756
186,1.0,1.0,2.0,4.0,200.0,60.0,500.0,0.11496265172735756
187,1.0,1.0,2.0,8.0,200.0,60.0,500.0,0.11496265172735756
188,1.0,1.0,2.0,12.0,200.0,60.0,500.0,0.007469654528478059
189,1.0,1.0,2.0,4.0,200.0,80.0,500.0,0.11496265172735756
190,1.0,1.0,2.0,8.0,200.0,80.0,500.0,0.08846872082166199
191,1.0,1.0,2.0,12.0,200.0,80.0,500.0,0.11496265172735756
192,1.0,1.0,2.0,4.0,100.0,20.0,500.0,0.11496265172735756
193,1.0,1.0,2.0,8.0,100.0,20.0,500.0,0.17973856209150327
194,1.0,1.0,2.0,12.0,100.0,20.0,500.0,0.11496265172735756
195,1.0,1.0,2.0,4.0,100.0,40.0,500.0,0.11496265172735756
196,1.0,1.0,2.0,8.0,100.0,40.0,500.0,0.11496265172735756
197,1.0,1.0,2.0,12.0,100.0,40.0,500.0,0.11496265172735756
198,1.0,1.0,2.0,4.0,100.0,60.0,500.0,0.11496265172735756
199,1.0,1.0,2.0,8.0,100.0,60.0,500.0,0.11496265172735756
200,1.0,1.0,2.0,12.0,100.0,60.0,500.0,0.11496265172735756
201,1.0,1.0,2.0,4.0,100.0,80.0,500.0,0.11496265172735756
202,1.0,1.0,2.0,8.0,100.0,80.0,500.0,0.11496265172735756
203,1.0,1.0,2.0,12.0,100.0,80.0,500.0,0.11496265172735756
206,1.0,1.0,2.0,12.0,50.0,20.0,500.0,0.11496265172735756
207,1.0,1.0,2.0,4.0,50.0,40.0,500.0,0.11496265172735756
208,1.0,1.0,2.0,8.0,50.0,40.0,500.0,0.11496265172735756
210,1.0,1.0,2.0,4.0,50.0,60.0,500.0,0.11496265172735756
211,1.0,1.0,2.0,8.0,50.0,60.0,500.0,0.033613445378151224
212,1.0,1.0,2.0,12.0,50.0,60.0,500.0,0.11496265172735756
213,1.0,1.0,2.0,4.0,50.0,80.0,500.0,0.11496265172735756
214,1.0,1.0,2.0,8.0,50.0,80.0,500.0,0.11496265172735756
215,1.0,1.0,2.0,12.0,50.0,80.0,500.0,0.11496265172735756
216,1.0,1.0,2.0,4.0,10.0,20.0,500.0,0.16561624649859943
217,1.0,1.0,2.0,8.0,10.0,20.0,500.0,0.033613445378151224
219,1.0,1.0,2.0,4.0,10.0,40.0,500.0,0.2819794584500467
220,1.0,1.0,2.0,8.0,10.0,40.0,500.0,0.11496265172735756
221,1.0,1.0,2.0,12.0,10.0,40.0,500.0,0.11496265172735756
222,1.0,1.0,2.0,4.0,10.0,60.0,500.0,0.14507469654528474
223,1.0,1.0,2.0,8.0,10.0,60.0,500.0,0.033613445378151224
224,1.0,1.0,2.0,12.0,10.0,60.0,500.0,0.007469654528478059
225,1.0,1.0,2.0,4.0,10.0,80.0,500.0,0.04470121381886086
226,1.0,1.0,2.0,8.0,10.0,80.0,500.0,0.3112745098039216
227,1.0,1.0,2.0,12.0,10.0,80.0,500.0,0.5375816993464052
228,1.0,1.0,2.0,4.0,1.0,20.0,500.0,0.34068627450980393
230,1.0,1.0,2.0,12.0,1.0,20.0,500.0,0.6687675070028011
231,1.0,1.0,2.0,4.0,1.0,40.0,500.0,0.11496265172735756
232,1.0,1.0,2.0,8.0,1.0,40.0,500.0,0.11496265172735756
233,1.0,1.0,2.0,12.0,1.0,40.0,500.0,0.11496265172735756
234,1.0,1.0,2.0,4.0,1.0,60.0,500.0,0.11496265172735756
235,1.0,1.0,2.0,8.0,1.0,60.0,500.0,0.08846872082166199
236,1.0,1.0,2.0,12.0,1.0,60.0,500.0,0.11496265172735756
237,1.0,1.0,2.0,4.0,1.0,80.0,500.0,0.11496265172735756
238,1.0,1.0,2.0,8.0,1.0,80.0,500.0,0.11496265172735756
239,1.0,1.0,2.0,12.0,1.0,80.0,500.0,0.11496265172735756
240,1.0,1.0,2.0,4.0,200.0,20.0,100.0,0.11496265172735756
242,1.0,1.0,2.0,12.0,200.0,20.0,100.0,0.033613445378151224
243,1.0,1.0,2.0,4.0,200.0,40.0,100.0,0.11496265172735756
244,1.0,1.0,2.0,8.0,200.0,40.0,100.0,0.11496265172735756
245,1.0,1.0,2.0,12.0,200.0,40.0,100.0,0.11496265172735756
246,1.0,1.0,2.0,4.0,200.0,60.0,100.0,0.11496265172735756
247,1.0,1.0,2.0,8.0,200.0,60.0,100.0,0.11496265172735756
248,1.0,1.0,2.0,12.0,200.0,60.0,100.0,0.11496265172735756
249,1.0,1.0,2.0,4.0,200.0,80.0,100.0,0.11496265172735756
250,1.0,1.0,2.0,8.0,200.0,80.0,100.0,0.11496265172735756
251,1.0,1.0,2.0,12.0,200.0,80.0,100.0,0.11496265172735756
252,1.0,1.0,2.0,4.0,100.0,20.0,100.0,0.007469654528478059
253,1.0,1.0,2.0,8.0,100.0,20.0,100.0,0.11496265172735756
255,1.0,1.0,2.0,4.0,100.0,40.0,100.0,0.11496265172735756
256,1.0,1.0,2.0,8.0,100.0,40.0,100.0,0.11496265172735756
257,1.0,1.0,2.0,12.0,100.0,40.0,100.0,0.08088235294117649
258,1.0,1.0,2.0,4.0,100.0,60.0,100.0,0.11496265172735756
259,1.0,1.0,2.0,8.0,100.0,60.0,100.0,0.11496265172735756
260,1.0,1.0,2.0,12.0,100.0,60.0,100.0,0.021241830065359485
261,1.0,1.0,2.0,4.0,100.0,80.0,100.0,0.11496265172735756
262,1.0,1.0,2.0,8.0,100.0,80.0,100.0,0.11496265172735756
263,1.0,1.0,2.0,12.0,100.0,80.0,100.0,0.11496265172735756
264,1.0,1.0,2.0,4.0,50.0,20.0,100.0,0.11496265172735756
266,1.0,1.0,2.0,12.0,50.0,20.0,100.0,0.11496265172735756
267,1.0,1.0,2.0,4.0,50.0,40.0,100.0,0.11496265172735756
268,1.0,1.0,2.0,8.0,50.0,40.0,100.0,0.20915032679738557
269,1.0,1.0,2.0,12.0,50.0,40.0,100.0,0.007469654528478059
270,1.0,1.0,2.0,4.0,50.0,60.0,100.0,0.007469654528478059
271,1.0,1.0,2.0,8.0,50.0,60.0,100.0,0.10212418300653595
272,1.0,1.0,2.0,12.0,50.0,60.0,100.0,0.1357376283846872
273,1.0,1.0,2.0,4.0,50.0,80.0,100.0,0.11496265172735756
274,1.0,1.0,2.0,8.0,50.0,80.0,100.0,0.11496265172735756
275,1.0,1.0,2.0,12.0,50.0,80.0,100.0,0.11496265172735756
278,1.0,1.0,2.0,12.0,10.0,20.0,100.0,0.11496265172735756
279,1.0,1.0,2.0,4.0,10.0,40.0,100.0,0.11496265172735756
281,1.0,1.0,2.0,12.0,10.0,40.0,100.0,0.11496265172735756
282,1.0,1.0,2.0,4.0,10.0,60.0,100.0,0.04470121381886086
283,1.0,1.0,2.0,8.0,10.0,60.0,100.0,0.021241830065359485
