XGB,RF,LGBM,DT,kNN,PLS,MLR,lasso
0.02925739486258755,0.022167219250029124,0.018002665463524525,0.015841036580548307,0.04343974005978524,0.05569873335244818,0.0777418072774268,0.009783550103131144
0.07130210694613465,0.04212842296000324,0.06728179100914117,0.05092043928261042,0.07430474231189399,0.030629179863097433,0.05145401550050521,0.04513144672710018
0.006248959343024774,0.0466157263792743,0.023812495995190086,0.008355060440862705,0.0036747204791818255,0.11861051958362734,0.1403072735790868,0.05215740240603656
0.057214988453406834,0.06595944814087434,0.07458719009119424,0.03274867662163233,0.04617165295193071,0.09840003075962123,0.10899037301201026,0.021806747229287382
0.010743545155074197,0.011594176782469545,0.010628134315564808,0.16101761870901474,0.026697311385820932,0.04578850798095513,0.05446676379978738,0.0346161521112634
0.02855383724673549,0.013785808930311394,0.0008918864152668293,0.013115272181401572,0.002667894956544181,0.03308581522850523,0.007167642083174941,0.07827729996719646
0.11313700253546982,0.06792617368706189,0.08547025309864087,0.07248953148455389,0.05903050372153784,0.009182620486615,0.009618220903205577,0.15101794287795045
0.015763880376370498,0.03954770322840351,0.0074396302920093915,0.06885517895235843,0.10680120636211721,0.07820357772983882,0.0979701015862699,0.01250992681651375
0.01148293046737675,0.020433404651858278,0.06327451989252975,0.027376155487082166,0.03682783304863002,0.005642296641708622,0.01654419834199855,0.039645033658262774
0.06905726956004471,0.08390704372133612,0.07362583884478463,0.008414316188670334,0.025435697231894594,0.09061340424899678,0.11514983997110073,0.04340160012744204
0.02665469174730911,0.06323534407837578,0.05470293184353159,0.09362408153590901,0.12071704484210671,0.09749800989722801,0.10606209095795788,0.01463028564400043
0.05558479577302933,0.049904462921891525,0.026632876676611336,0.13620921229359248,0.1957788399083313,0.3018879321628048,0.31974989114454433,0.4256769163601082
0.024918433278799057,0.012223038634747569,0.009206076971677845,0.0,0.31716277884598804,0.4046581482202713,0.38213797598894267,0.4384886649487985
0.013627933534747505,0.01595092307287077,0.01884587281980349,0.01568302125306159,0.17467615571021677,0.36255347870631327,0.34587853730133916,0.22221844657841489
0.2030180628674379,0.20181932546266534,0.1854893101736083,0.19996839693450263,0.16260270996446075,0.021473659178612214,0.03270568246878465,0.07959689541280415
