LGBM,XGB,RF,DT,kNN,PLS,lasso,MLR
0.02164716217972143,0.019393828953255532,0.021270534778049632,0.029243854130257485,0.034366108929356,0.1114920186332891,0.021920194619475794,0.11782148513442546
0.05899785993717541,0.07165925054275235,0.06019515320983336,0.06128393335663518,0.0656263008012837,0.1464601328963996,0.00951592108206882,0.14774448861742318
0.012464150878897339,0.012433073483407497,0.0005097285331469185,0.0,0.0,0.05154441898227384,0.051809687257346956,0.04899611353495175
0.0028831004100392274,0.0007326406775973737,0.0026086449959221714,0.0,0.0,0.018803583223884493,0.09617352171383145,0.021914601687412126
0.0023673713026212185,0.012171505950391293,0.0038308283816847256,0.0,0.0,0.0038459162183523965,0.09620024842004529,0.0017161072398120078
0.0018152807710791086,0.004466469399631023,0.0018123033904229296,0.0,0.0,0.023752024342922548,0.1180081658919272,0.025399592930648786
0.015436530998808191,0.008241581730544567,0.007523593149248514,0.09355703134102297,0.0,0.03703807123197002,0.11840175155338471,0.0348735394729775
0.0062719125168252295,0.006115090101957321,0.0045392054060351865,0.0,0.0,0.06115456209603409,0.13625274187111341,0.05908096973630254
0.0030060626790926466,0.008059646934270859,0.005704299196085286,0.0,0.0,0.03925535473960244,0.13628613579133167,0.04077817879494487
0.002902316027315568,0.0020941656548529863,0.008437026680647795,0.0,0.0,0.012502022158905307,0.13472185984598617,0.011341575697274378
0.0007250507680931356,0.0015953537076711655,4.602120470697899e-05,0.0,0.0,0.10906983107035458,0.051832057669100914,0.1096894696174366
0.0020449698170206055,0.015181711874902248,0.010231271117324952,0.0,0.0,0.050552645067366744,0.09685738508920311,0.05215633429738421
0.0006755638432315729,0.0014733329880982637,0.008195269719212403,0.01147617383199348,0.0,0.053965561246150415,0.09675648110350175,0.05569104746014489
0.0008696987365524951,0.007692884188145399,0.00023010602353489492,0.0,0.0,0.009787538853851668,0.11873402589152052,0.010943147324678024
0.005929632937762928,0.003985068295150995,0.008569847372713506,0.0,0.0,0.09003006255540755,0.1357987176375778,0.08689114216846887
0.0035377385135875166,0.005819771534866458,0.02137306303157403,0.001747640685075158,0.001747640685075158,0.04513565372553719,0.13873075193682394,0.03829356729551544
1.833965436642757e-05,0.010471717454493046,0.004375509728533149,0.0,0.0,0.10996288090075286,0.05236472064416266,0.11554606673966139
0.0026025792097123263,0.021167149767279625,0.001487824769893977,0.0,0.0,0.10923093674482122,0.052009985528851915,0.11310656722737981
0.002059807709243695,0.01226058416068554,0.002676802982640103,0.0,0.0,0.09637297292526466,0.05214549411799212,0.09815313006855433
0.002112461601494869,0.0006306936265900731,0.0032051730164278235,0.0,0.0,0.0708081030426813,0.05232437747898422,0.07309116410904842
0.005718501023845938,0.009030980989336967,0.005616917161831528,0.0,0.24941461549756144,0.028913166679842187,0.051837286544859404,0.028653999395887968
0.02255941685111676,0.020523769916791,0.02215950133985787,0.02295234766398696,0.02295234766398696,0.09865834935450236,0.07308371601964644,0.09993870614246046
0.012317387902648963,0.003235017880797386,0.0038989863684026566,0.0,0.01506736738018353,0.004204576864684992,0.09623820982998643,0.0055847085197945545
0.002985093882183461,0.0025105890817940235,0.005857509029476873,0.0,0.032646318212362926,0.01896058099906492,0.09617595416989363,0.018672138083172984
