,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3
186,187,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,60,500,1.386
187,188,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,60,500,3.784
188,189,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,60,500,1.386
189,190,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,80,500,0.693
190,191,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,80,500,1.609
191,192,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,80,500,1.386
192,193,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,20,500,3.584
193,194,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,20,500,5.05
194,195,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,20,500,2.639
195,196,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,40,500,1.609
196,197,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,40,500,0.693
197,198,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,40,500,1.386
198,199,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,60,500,1.099
199,200,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,60,500,1.792
200,201,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,60,500,1.792
201,202,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,80,500,1.0
202,203,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,80,500,1.386
203,204,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,80,500,1.792
204,205,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,20,500,4.344
205,206,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,20,500,1.609
206,207,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,20,500,1.099
207,208,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,40,500,1.099
208,209,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,40,500,1.609
209,210,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,40,500,1.386
210,211,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,60,500,0.693
211,212,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,60,500,1.609
212,213,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,60,500,1.099
213,214,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,80,500,1.099
214,215,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,80,500,0.693
215,216,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,80,500,1.946
216,217,DOPE,1,1,9.784,2,9,36,2,744.0,4,10,20,500,2.565
217,218,DOPE,1,1,9.784,2,9,36,2,744.0,8,10,20,500,2.079
218,219,DOPE,1,1,9.784,2,9,36,2,744.0,12,10,20,500,1.099
219,220,DOPE,1,1,9.784,2,9,36,2,744.0,4,10,40,500,1.609
220,221,DOPE,1,1,9.784,2,9,36,2,744.0,8,10,40,500,1.099
221,222,DOPE,1,1,9.784,2,9,36,2,744.0,12,10,40,500,1.609
222,223,DOPE,1,1,9.784,2,9,36,2,744.0,4,10,60,500,1.386
223,224,DOPE,1,1,9.784,2,9,36,2,744.0,8,10,60,500,0.693
224,225,DOPE,1,1,9.784,2,9,36,2,744.0,12,10,60,500,1.099
225,226,DOPE,1,1,9.784,2,9,36,2,744.0,4,10,80,500,1.386
226,227,DOPE,1,1,9.784,2,9,36,2,744.0,8,10,80,500,2.303
227,228,DOPE,1,1,9.784,2,9,36,2,744.0,12,10,80,500,1.386
228,229,DOPE,1,1,9.784,2,9,36,2,744.0,4,1,20,500,1.099
229,230,DOPE,1,1,9.784,2,9,36,2,744.0,8,1,20,500,1.386
230,231,DOPE,1,1,9.784,2,9,36,2,744.0,12,1,20,500,1.609
231,232,DOPE,1,1,9.784,2,9,36,2,744.0,4,1,40,500,1.099
232,233,DOPE,1,1,9.784,2,9,36,2,744.0,8,1,40,500,3.367
233,234,DOPE,1,1,9.784,2,9,36,2,744.0,12,1,40,500,2.197
234,235,DOPE,1,1,9.784,2,9,36,2,744.0,4,1,60,500,1.386
235,236,DOPE,1,1,9.784,2,9,36,2,744.0,8,1,60,500,1.099
236,237,DOPE,1,1,9.784,2,9,36,2,744.0,12,1,60,500,2.079
237,238,DOPE,1,1,9.784,2,9,36,2,744.0,4,1,80,500,1.946
238,239,DOPE,1,1,9.784,2,9,36,2,744.0,8,1,80,500,2.708
239,240,DOPE,1,1,9.784,2,9,36,2,744.0,12,1,80,500,1.946
240,241,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,20,100,2.079
241,242,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,20,100,1.609
242,243,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,20,100,2.833
243,244,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,40,100,1.099
244,245,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,40,100,1.792
245,246,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,40,100,2.079
246,247,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,60,100,0.693
247,248,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,60,100,1.099
248,249,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,60,100,1.946
249,250,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,80,100,1.792
250,251,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,80,100,1.099
251,252,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,80,100,2.079
252,253,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,20,100,1.099
253,254,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,20,100,2.773
254,255,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,20,100,2.197
255,256,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,40,100,1.386
256,257,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,40,100,1.099
257,258,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,40,100,3.555
258,259,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,60,100,0.693
259,260,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,60,100,1.946
260,261,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,60,100,1.609
261,262,DOPE,1,1,9.784,2,9,36,2,744.0,4,100,80,100,1.099
262,263,DOPE,1,1,9.784,2,9,36,2,744.0,8,100,80,100,1.386
263,264,DOPE,1,1,9.784,2,9,36,2,744.0,12,100,80,100,1.792
264,265,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,20,100,1.946
265,266,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,20,100,1.386
266,267,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,20,100,1.386
267,268,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,40,100,1.609
268,269,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,40,100,1.386
269,270,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,40,100,1.609
270,271,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,60,100,1.386
271,272,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,60,100,1.946
272,273,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,60,100,1.792
273,274,DOPE,1,1,9.784,2,9,36,2,744.0,4,50,80,100,1.946
274,275,DOPE,1,1,9.784,2,9,36,2,744.0,8,50,80,100,2.565
275,276,DOPE,1,1,9.784,2,9,36,2,744.0,12,50,80,100,0.693
276,277,DOPE,1,1,9.784,2,9,36,2,744.0,4,10,20,100,4.043
277,278,DOPE,1,1,9.784,2,9,36,2,744.0,8,10,20,100,1.792
278,279,DOPE,1,1,9.784,2,9,36,2,744.0,12,10,20,100,2.303
279,280,DOPE,1,1,9.784,2,9,36,2,744.0,4,10,40,100,1.792
280,281,DOPE,1,1,9.784,2,9,36,2,744.0,8,10,40,100,2.639
281,282,DOPE,1,1,9.784,2,9,36,2,744.0,12,10,40,100,1.792
282,283,DOPE,1,1,9.784,2,9,36,2,744.0,4,10,60,100,1.792
283,284,DOPE,1,1,9.784,2,9,36,2,744.0,8,10,60,100,1.792
284,285,DOPE,1,1,9.784,2,9,36,2,744.0,12,10,60,100,3.434
285,286,DOPE,1,1,9.784,2,9,36,2,744.0,4,10,80,100,2.303
286,287,DOPE,1,1,9.784,2,9,36,2,744.0,8,10,80,100,1.609
287,288,DOPE,1,1,9.784,2,9,36,2,744.0,12,10,80,100,4.431
288,289,DOPE,1,1,9.784,2,9,36,2,744.0,4,1,20,100,1.792
289,290,DOPE,1,1,9.784,2,9,36,2,744.0,8,1,20,100,1.792
290,291,DOPE,1,1,9.784,2,9,36,2,744.0,12,1,20,100,3.258
291,292,DOPE,1,1,9.784,2,9,36,2,744.0,4,1,40,100,2.303
292,293,DOPE,1,1,9.784,2,9,36,2,744.0,8,1,40,100,2.079
293,294,DOPE,1,1,9.784,2,9,36,2,744.0,12,1,40,100,3.332
294,295,DOPE,1,1,9.784,2,9,36,2,744.0,4,1,60,100,2.398
295,296,DOPE,1,1,9.784,2,9,36,2,744.0,8,1,60,100,4.682
296,297,DOPE,1,1,9.784,2,9,36,2,744.0,12,1,60,100,6.621
297,298,DOPE,1,1,9.784,2,9,36,2,744.0,4,1,80,100,4.934
298,299,DOPE,1,1,9.784,2,9,36,2,744.0,8,1,80,100,6.443
299,300,DOPE,1,1,9.784,2,9,36,2,744.0,12,1,80,100,7.745
300,301,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,20,10,0.693
301,302,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,20,10,1.386
302,303,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,20,10,1.386
303,304,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,40,10,1.609
304,305,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,40,10,1.609
305,306,DOPE,1,1,9.784,2,9,36,2,744.0,12,200,40,10,1.386
306,307,DOPE,1,1,9.784,2,9,36,2,744.0,4,200,60,10,1.099
307,308,DOPE,1,1,9.784,2,9,36,2,744.0,8,200,60,10,1.609
