LGBM,XGB,RF,MLP,DT,kNN,PLS,MLR,lasso
0.017979431181116112,0.021100108460753886,0.02753239314213468,0.0015731816681637256,0.04100497748281584,0.014033909888714557,0.04978622551342532,0.05133947267535005,0.014164822989342962
0.19943554298314842,0.17048018456607328,0.14903571146401157,0.144693155323892,0.11282294382555108,0.21073294035400392,0.12575874333356113,0.12594151370803142,0.08290485765611064
0.2423288784874305,0.2537451436887508,0.29186023544283834,0.14729943863246542,0.27625029627873915,0.45227685995290934,0.3587272374666321,0.3626664616188436,0.3970341703440714
0.0760179930134951,0.08344126762047455,0.0686074899265231,0.0814321611509754,0.1252666508651339,0.30023303951492225,0.1423020737957923,0.1438604448432249,0.1811517520949414
0.10306287787482404,0.09062233238769507,0.1274053883226675,0.08471715352878462,0.1887888125148139,0.036748556671893584,0.024504258004848067,0.02610307949363483,0.029451929314484537
0.006245629566861827,0.024162454199920913,0.006870308919965276,0.04682622138560284,0.02042841905664848,0.15870643504411464,0.06961485173370804,0.06792018121634474,0.08362184771565179
0.10445452744543542,0.0802045464515686,0.10757782254878717,0.14387267165422357,0.23998577862052622,0.16962384126644797,0.06775746957298745,0.06958177573637742,0.12483699681502153
0.004764979514156442,0.009390815184788293,0.016149759026625674,0.05713062910472473,0.0125622185351979,0.0447862279307325,0.10623074382741426,0.1035994054660418,0.10988396977637763
0.12171495035924887,0.11029741040166735,0.08653729161728624,0.07372290786921354,0.09077980564114718,0.03211957686894418,0.1162503276849744,0.11091876711091539,0.05529595443683499
0.050196303409586585,0.07384017696875622,0.04797621869321411,0.13391660154113394,0.01137710357904731,0.38551894446568835,0.3396388391153522,0.34248683930611046,0.39083101601097125
0.10820998270686555,0.10637840702794232,0.09079402702062078,0.019693592505836077,0.08864659872007574,0.07371923215037968,0.13442132313980348,0.13202908702144978,0.12102519608887491
0.08262783477537705,0.15226223312528475,0.12084893734692159,0.1008247070598105,0.0478786442284902,0.13096269816639966,0.006266567394394462,0.007792257361246335,0.006866619508165472
0.03130278503480466,0.016417513175665033,0.07104764162123695,0.10609698072705032,0.059255747807537285,0.019343523985662747,0.001476858106112977,0.00235957834513828,0.0011004732852445964
0.007471044607976235,0.06960033601877053,0.006315872639646031,0.047446854027362484,0.17456743304100492,0.02243807473047893,0.21787584686915346,0.22072087707639648,0.21234370599505953
0.2878220540800438,0.3111855089664459,0.3215631666271626,0.22777787893115325,0.2881014458402465,0.3733818642756774,0.38404309564307193,0.3844122340186399,0.38489877045529053
0.003049059328268655,0.004875835033919862,0.019397369044797025,0.010304930719488403,0.014813936951884377,0.03512006853356975,0.049001810420031044,0.051257847999445105,0.014141037067861295
0.006131836311259603,0.06977131322792679,0.049872995180532204,0.13635512204978167,0.013984356482578786,0.08779809115551149,0.01382670794617502,0.008951838436704829,0.027922505387719343
0.008032270554227693,0.04689398407936096,0.06786995338547838,0.008054082426721412,0.21723157146243186,0.19144108914913838,0.20786356192016292,0.20628904801372583,0.2234289497632727
0.06786246031586807,0.0639601978653272,0.09838942877459134,0.09509922777709462,0.11483763925100732,0.11352292359667943,0.16980936795352208,0.16546951409530725,0.1185687493263598
0.028363963516405966,0.025354788290095354,0.023213439203602526,0.158490779880961,0.051315477601327264,0.0069549303779379845,0.0017391239862334928,0.0034528814547470366,0.003277599757392946
0.012603164011235402,0.020786811868057642,0.03539227305048542,0.10562417862090401,0.00711068973690443,0.2158703913771377,0.24427028662580952,0.24332219909063468,0.2815117994713807
