,Iter,Valid Score,Test Score,Spearmans Rank,Pearsons Correlation,Model Parms,Formulation_Index,Experimental_Transfection,Predicted_Transfection,Score_difference
0,1,0.1099455038271389,0.11102253074656622,"SignificanceResult(statistic=0.6433598899087186, pvalue=3.4496033005328554e-18)","PearsonRResult(statistic=0.6075035471607062, pvalue=6.84847832128145e-16)","{'positive': True, 'fit_intercept': True}","[  9  32  34  43  46  48  54  63  64  66  67  68  71  73  75  77  84  90
  91 105 107 109 113 114 125 134 140 147 154 155 156 158 160 164 167 170
 171 180 181 185 195 210 213 214 225 229 230 248 254 255 261 262 263 269
 272 274 275 277 279 283 286 287 291 307 312 317 318 321 329 335 337 339
 346 363 365 375 377 379 381 384 386 390 393 405 407 409 411 414 418 425
 433 435 438 441 460 463 466 468 469 472 475 478 484 490 493 508 513 518
 527 531 533 538 539 542 545 546 551 555 559 570 614 620 624 626 630 637
 645 650 655 659 660 665 676 682 688 689 692 696 699 701 707 712 713 715]","[[0.53145203]
 [0.42996408]
 [0.36777835]
 [0.51821447]
 [0.50261673]
 [0.63827604]
 [0.2632119 ]
 [0.3343253 ]
 [0.47357619]
 [0.37465367]
 [0.47408928]
 [0.39620318]
 [0.2877373 ]
 [0.53514623]
 [0.38481272]
 [0.40348897]
 [0.458902  ]
 [0.43447922]
 [0.42996408]
 [0.25059005]
 [0.42842483]
 [0.04166239]
 [0.04166239]
 [0.07111339]
 [0.25920985]
 [0.09399692]
 [0.33627501]
 [0.09399692]
 [0.30487429]
 [0.35402771]
 [0.3950744 ]
 [0.15433556]
 [0.19209851]
 [0.34376603]
 [0.43304259]
 [0.43601847]
 [0.27439713]
 [0.04166239]
 [0.57373012]
 [0.4570549 ]
 [0.49830682]
 [0.44371473]
 [0.42185736]
 [0.46834274]
 [0.54468958]
 [0.5484864 ]
 [0.81087737]
 [0.38111852]
 [0.46290405]
 [0.39404823]
 [0.25920985]
 [0.28127245]
 [0.29943561]
 [0.47614161]
 [0.43745511]
 [0.47460236]
 [0.34376603]
 [0.59148281]
 [0.51482812]
 [0.71708568]
 [0.82288353]
 [0.70097486]
 [0.7386352 ]
 [0.25500257]
 [0.370549  ]
 [0.23099025]
 [0.21344279]
 [0.36192919]
 [0.2067727 ]
 [0.22544895]
 [0.2067727 ]
 [0.18388917]
 [0.60225757]
 [0.51421242]
 [0.50528476]
 [0.48732683]
 [0.4895844 ]
 [0.39066188]
 [0.51072345]
 [0.44032837]
 [0.49707542]
 [0.49461262]
 [0.45223191]
 [0.70364289]
 [0.60944074]
 [0.76449461]
 [0.67532068]
 [0.42103643]
 [0.81939456]
 [0.44309903]
 [0.22544895]
 [0.12857876]
 [0.44309903]
 [0.36480246]
 [0.5926116 ]
 [0.57414058]
 [0.5165726 ]
 [0.30220626]
 [0.78871216]
 [0.95156491]
 [0.99794767]
 [0.89574141]
 [0.28455618]
 [0.23099025]
 [0.23632632]
 [0.28455618]
 [0.54089277]
 [0.16521293]
 [0.40041047]
 [0.42011288]
 [0.88722422]
 [0.59096973]
 [0.68732683]
 [0.51985634]
 [0.46290405]
 [0.4809646 ]
 [0.25920985]
 [0.49994869]
 [0.41672653]
 [0.44843509]
 [0.48373525]
 [0.35885069]
 [0.27080554]
 [0.45100051]
 [0.45654182]
 [0.59661365]
 [0.370549  ]
 [0.69256029]
 [0.72180605]
 [0.38594151]
 [0.47306311]
 [0.23099025]
 [0.27080554]
 [0.2067727 ]
 [0.18388917]
 [0.32396101]
 [0.33237558]
 [0.36480246]
 [0.07111339]
 [0.28455618]
 [0.32611596]
 [0.30487429]
 [0.29943561]
 [0.45941508]]","[0.31970895 0.32795107 0.31097573 0.35892678 0.3369755  0.32284976
 0.47473581 0.37018072 0.34363696 0.33452087 0.31927949 0.30907607
 0.28615974 0.37515584 0.37083946 0.33804618 0.28340848 0.33808276
 0.32370306 0.33399363 0.320192   0.43602369 0.44998914 0.44943378
 0.13506288 0.08558248 0.18336924 0.08457256 0.24647478 0.2314111
 0.22606335 0.09468101 0.16274463 0.20789493 0.25874209 0.13977244
 0.13883952 0.40447083 0.56969792 0.51932901 0.5667364  0.52059442
 0.48269047 0.46895443 0.50515786 0.63014967 0.62935883 0.46741443
 0.53030855 0.52921005 0.46536723 0.4595914  0.44631415 0.49853062
 0.47189839 0.46291618 0.44994756 0.54320101 0.53945233 0.50196853
 0.4872888  0.47646893 0.59036421 0.35397055 0.37849139 0.29437241
 0.29067562 0.33677698 0.29626881 0.38929034 0.25783914 0.25025862
 0.42766622 0.53867903 0.49188165 0.53928003 0.49294278 0.46518054
 0.45200363 0.42024804 0.54137405 0.49291588 0.45486563 0.47584992
 0.45340836 0.60098376 0.59880013 0.59665893 0.59994312 0.46779197
 0.50611106 0.5017471  0.46648125 0.4377536  0.49219765 0.47384196
 0.45901018 0.44272511 0.56272268 0.57533791 0.58522517 0.59318299
 0.27679604 0.37218342 0.22278678 0.27934884 0.31167199 0.22397529
 0.38513461 0.25994064 0.35406571 0.52762606 0.51968698 0.48793391
 0.44027632 0.43813721 0.37172383 0.48768115 0.41369099 0.44170282
 0.45125868 0.38998566 0.36269774 0.45252629 0.41737116 0.46458626
 0.41304759 0.51386489 0.5421374  0.54945669 0.54872198 0.21438027
 0.22612996 0.32233783 0.22801621 0.21746665 0.26558579 0.30530267
 0.17194864 0.23241681 0.33768531 0.31948742 0.31543707 0.40768431]",0.0010770269194273208
1,2,0.10719393938433426,0.11569894003077574,"SignificanceResult(statistic=0.5802153067688679, pvalue=2.508595302556628e-14)","PearsonRResult(statistic=0.633249670709827, pvalue=1.6447519393815042e-17)","{'positive': True, 'fit_intercept': True}","[  4   5   7  12  14  15  16  19  25  26  41  56  58  65  69  76  78  81
  89  93  99 100 104 118 121 128 139 145 148 159 165 176 178 179 190 192
 197 203 204 211 212 215 217 221 226 227 232 237 238 239 240 249 250 252
 266 268 271 276 278 289 300 301 304 308 311 325 326 327 331 334 341 342
 348 351 358 359 380 382 396 402 406 412 421 426 430 431 432 434 447 452
 453 459 462 470 473 476 477 491 496 507 514 522 525 529 532 537 550 557
 558 564 574 577 582 583 584 585 586 594 595 596 602 604 608 616 619 628
 633 640 648 664 666 669 672 675 678 685 694 697 700 706 711 714 717 720]","[[0.44771678]
 [0.47306311]
 [0.4276039 ]
 [0.4908158 ]
 [0.50148794]
 [0.41929194]
 [0.40348897]
 [0.43519754]
 [0.42596203]
 [0.43961006]
 [0.45100051]
 [0.15433556]
 [0.09399692]
 [0.25500257]
 [0.47049769]
 [0.48373525]
 [0.40646485]
 [0.45531042]
 [0.45941508]
 [0.4496665 ]
 [0.28455618]
 [0.48188815]
 [0.50713186]
 [0.        ]
 [0.14222678]
 [0.32827091]
 [0.22544895]
 [0.14222678]
 [0.12857876]
 [0.12857876]
 [0.22544895]
 [0.09399692]
 [0.07111339]
 [0.04166239]
 [0.2632119 ]
 [0.19969215]
 [0.45469472]
 [0.33237558]
 [0.40451514]
 [0.48137506]
 [0.43673679]
 [0.29368907]
 [0.64689584]
 [0.51883017]
 [0.70949205]
 [0.63858389]
 [0.78973833]
 [0.85407901]
 [0.964392  ]
 [0.95741406]
 [0.90959466]
 [0.49040534]
 [0.34007183]
 [0.48599282]
 [0.46177527]
 [0.45531042]
 [0.50446383]
 [0.64402258]
 [0.47860441]
 [0.85684967]
 [0.90466906]
 [0.19969215]
 [0.22544895]
 [0.27439713]
 [0.2877373 ]
 [0.11277578]
 [0.11277578]
 [0.09399692]
 [0.14222678]
 [0.25059005]
 [0.32611596]
 [0.27080554]
 [0.39179066]
 [0.11277578]
 [0.62370446]
 [0.7730118 ]
 [0.46998461]
 [0.32827091]
 [0.67952796]
 [0.52939969]
 [0.61908671]
 [0.99517701]
 [0.35885069]
 [0.41929194]
 [0.17496152]
 [0.32396101]
 [0.29943561]
 [0.26711134]
 [0.12857876]
 [0.46618779]
 [0.40646485]
 [0.2632119 ]
 [0.50743971]
 [0.39835813]
 [0.64166239]
 [0.59538225]
 [0.61816316]
 [0.25500257]
 [0.27080554]
 [0.19209851]
 [0.36911237]
 [0.43961006]
 [0.43304259]
 [0.73730118]
 [0.87398666]
 [0.652745  ]
 [0.42842483]
 [0.43601847]
 [0.45592612]
 [0.24607491]
 [0.24135454]
 [0.61364802]
 [0.47203694]
 [0.41672653]
 [0.41580298]
 [0.42011288]
 [0.41118522]
 [0.63848127]
 [0.4251411 ]
 [0.49871729]
 [0.43304259]
 [0.41580298]
 [0.34735762]
 [0.41929194]
 [0.41487943]
 [0.49953822]
 [0.3950744 ]
 [0.56582863]
 [0.23632632]
 [0.21959979]
 [0.21344279]
 [0.37598769]
 [0.31954849]
 [0.07111339]
 [0.36336583]
 [0.16521293]
 [0.25059005]
 [0.16521293]
 [0.29071319]
 [0.29666496]
 [0.07111339]
 [0.22544895]
 [0.51031298]
 [0.48240123]]","[0.38990665 0.36472343 0.36722409 0.2880114  0.40954559 0.40490992
 0.39196201 0.37068571 0.4238692  0.41187637 0.38536803 0.4809652
 0.49975279 0.34456129 0.30682873 0.36986681 0.33836406 0.31026469
 0.34579789 0.31100933 0.38107187 0.38612506 0.34682436 0.49513227
 0.11210466 0.19560589 0.2316383  0.11667836 0.17861921 0.10625082
 0.21043272 0.33494404 0.43039831 0.4138946  0.48513445 0.42826226
 0.50577466 0.44440717 0.42659809 0.50834444 0.47625364 0.4486502
 0.57145019 0.5221656  0.51314091 0.47619189 0.62492063 0.61089345
 0.63474859 0.6161004  0.61016732 0.44532336 0.48206937 0.42081602
 0.51399811 0.51192869 0.49677553 0.42609839 0.52153213 0.5774404
 0.60383354 0.25529724 0.31708288 0.33337057 0.3793823  0.25508294
 0.24093892 0.23614048 0.37685577 0.42672455 0.30851969 0.29614016
 0.39470494 0.28527297 0.56353455 0.54952222 0.45869521 0.47489269
 0.4201101  0.50277144 0.50557493 0.62547126 0.5150378  0.45987029
 0.46758679 0.42549273 0.40818021 0.50169888 0.49530566 0.44708533
 0.43650822 0.50963096 0.48181764 0.56380677 0.5773689  0.59205335
 0.58330822 0.36574069 0.30267102 0.22236688 0.41437092 0.28562945
 0.33019937 0.28952184 0.39276308 0.44545547 0.41912801 0.43621445
 0.4314482  0.36108208 0.42093649 0.50613485 0.44924125 0.46022069
 0.43164273 0.41872321 0.44672964 0.54366136 0.564182   0.54944096
 0.44616206 0.44210359 0.39239225 0.43949369 0.42912313 0.44174523
 0.38094769 0.45667553 0.38876243 0.24677204 0.21083414 0.25587306
 0.29532253 0.17054893 0.21189751 0.189508   0.35887659 0.19028889
 0.26183783 0.3837973  0.22451327 0.31730907 0.39814989 0.4788304 ]",0.008505000646441482
2,4,0.11214104715976166,0.10056484421137157,"SignificanceResult(statistic=0.6390741143106857, pvalue=6.735888711340304e-18)","PearsonRResult(statistic=0.6662754472723762, pvalue=7.984707403278918e-20)","{'positive': True, 'fit_intercept': True}","[  3  17  18  20  21  23  24  27  38  39  42  70  72  82  92  95 102 111
 112 117 119 122 131 133 136 137 138 144 149 168 174 177 183 186 187 200
 205 208 216 218 219 224 228 234 235 246 247 259 264 273 284 285 296 297
 303 305 310 319 322 324 328 330 336 343 345 347 350 352 355 356 367 368
 369 370 378 383 387 397 401 404 408 416 419 424 436 439 445 446 451 454
 455 481 486 495 501 504 512 515 517 519 524 536 540 541 543 547 548 552
 568 569 571 572 573 581 589 601 603 605 609 610 615 618 623 629 634 636
 642 653 654 657 661 668 673 674 679 680 683 684 686 690 693 703 708 709]","[[0.3950744 ]
 [0.41672653]
 [0.39291945]
 [0.44032837]
 [0.43150334]
 [0.458902  ]
 [0.50528476]
 [0.35885069]
 [0.40841457]
 [0.33627501]
 [0.46064649]
 [0.40933812]
 [0.45592612]
 [0.44771678]
 [0.46618779]
 [0.4276039 ]
 [0.35074397]
 [0.04166239]
 [0.12857876]
 [0.09399692]
 [0.07111339]
 [0.09399692]
 [0.26711134]
 [0.14222678]
 [0.12857876]
 [0.23632632]
 [0.07111339]
 [0.37188302]
 [0.23632632]
 [0.35074397]
 [0.12857876]
 [0.07111339]
 [0.49707542]
 [0.37721909]
 [0.51380195]
 [0.46403284]
 [0.57567984]
 [0.49461262]
 [0.34191893]
 [0.56305798]
 [0.49379169]
 [0.54551052]
 [0.60112878]
 [0.84792201]
 [0.93658286]
 [0.41221139]
 [0.44443304]
 [0.44166239]
 [0.31000513]
 [0.41847101]
 [0.62842483]
 [0.51954849]
 [0.8508979 ]
 [0.78070806]
 [0.15433556]
 [0.25500257]
 [0.25500257]
 [0.19209851]
 [0.27080554]
 [0.31482812]
 [0.12857876]
 [0.19969215]
 [0.24135454]
 [0.24607491]
 [0.42914315]
 [0.42432016]
 [0.17496152]
 [0.47049769]
 [0.39179066]
 [0.60082093]
 [0.4073884 ]
 [0.38111852]
 [0.45941508]
 [0.2778861 ]
 [0.5460236 ]
 [0.29368907]
 [0.53288866]
 [0.50333504]
 [0.49871729]
 [0.54315033]
 [0.69964084]
 [0.92837352]
 [0.86105695]
 [0.22544895]
 [0.12857876]
 [0.38358132]
 [0.47306311]
 [0.3797845 ]
 [0.44094407]
 [0.23632632]
 [0.24607491]
 [0.21959979]
 [0.2778861 ]
 [0.14222678]
 [0.40451514]
 [0.46003079]
 [0.40543869]
 [0.28455618]
 [0.19969215]
 [0.12857876]
 [0.46998461]
 [0.71729092]
 [0.57598769]
 [0.56469985]
 [0.48137506]
 [0.43817342]
 [0.38358132]
 [0.26711134]
 [0.4582863 ]
 [0.41580298]
 [0.40646485]
 [0.35074397]
 [0.36192919]
 [0.4582863 ]
 [0.67839918]
 [0.5227296 ]
 [0.41303232]
 [0.45100051]
 [0.28455618]
 [0.32827091]
 [0.3950744 ]
 [0.42432016]
 [0.2778861 ]
 [0.4582863 ]
 [0.4226783 ]
 [0.29071319]
 [0.45531042]
 [0.70179579]
 [0.64474089]
 [0.63714726]
 [0.14222678]
 [0.31000513]
 [0.16521293]
 [0.15433556]
 [0.22544895]
 [0.41221139]
 [0.29666496]
 [0.37721909]
 [0.15433556]
 [0.34191893]
 [0.36038994]
 [0.33822473]
 [0.4073884 ]
 [0.14222678]]","[0.40942049 0.36244377 0.35625537 0.32536995 0.30890127 0.29543674
 0.27639239 0.4134599  0.41786644 0.42721915 0.37309243 0.34568307
 0.27351241 0.33905171 0.32427864 0.29327631 0.35503541 0.43952711
 0.46826553 0.45893677 0.48058939 0.11438839 0.23338783 0.11781789
 0.18322778 0.15347716 0.14730531 0.21927188 0.15753342 0.25262199
 0.24999619 0.32292144 0.54880385 0.50256348 0.51046398 0.47073142
 0.57922354 0.54947546 0.43570225 0.57313409 0.57326946 0.49800846
 0.45930688 0.60942885 0.64427121 0.48164815 0.50740844 0.5024721
 0.41471381 0.44905335 0.48646657 0.47461471 0.59781727 0.59892918
 0.24822791 0.30405152 0.42581204 0.37963548 0.43128532 0.36350599
 0.33011369 0.29872473 0.36305225 0.3913395  0.35675408 0.41376494
 0.30331007 0.40379947 0.48675053 0.48282212 0.49923822 0.46089031
 0.44423567 0.47869529 0.48712181 0.43758069 0.53618464 0.5722921
 0.52054209 0.49002586 0.44267349 0.61144969 0.60726343 0.50859882
 0.50253648 0.48333484 0.52756502 0.50606243 0.48930201 0.48011869
 0.42920016 0.24941236 0.26889415 0.23618117 0.31145021 0.34887031
 0.33079594 0.37061225 0.26203769 0.24540742 0.34161153 0.46869197
 0.53043041 0.49282598 0.47315288 0.43894482 0.39365438 0.34418115
 0.46477222 0.43454535 0.43659963 0.40441355 0.3881461  0.44379175
 0.54843731 0.45941354 0.43647543 0.41334756 0.36983848 0.40940352
 0.44224516 0.40109161 0.35115644 0.41056497 0.41497673 0.34939851
 0.42369761 0.51221317 0.51595889 0.52486432 0.19643895 0.25131734
 0.1917658  0.17353371 0.29595052 0.26093949 0.29587075 0.27989405
 0.18582471 0.21823515 0.24955668 0.32125887 0.30369116 0.23403968]",0.011576202948390082
3,3,0.1137321518960308,0.10003430007858007,"SignificanceResult(statistic=0.6887885676902317, pvalue=1.4075172597245991e-21)","PearsonRResult(statistic=0.6965330611881082, pvalue=3.2194274229077507e-22)","{'positive': False, 'fit_intercept': True}","[  2  13  22  29  35  36  37  40  44  47  49  51  61  62  80  83  85  86
  88  94  97  98 101 103 106 116 124 129 130 135 141 142 143 151 153 161
 163 169 173 189 193 194 196 198 201 202 206 207 220 222 231 233 236 242
 243 245 257 258 267 270 281 288 290 293 294 299 302 306 313 315 320 333
 338 340 349 354 357 360 362 364 366 373 385 391 398 399 400 403 410 420
 428 429 437 442 443 448 450 456 464 465 474 480 482 483 497 498 505 509
 521 523 526 530 556 560 561 575 576 578 579 590 591 593 612 613 617 621
 622 625 631 632 635 643 644 646 651 652 656 658 662 670 687 691 698 705]","[[0.55207799]
 [0.51954849]
 [0.44638276]
 [0.41929194]
 [0.46290405]
 [0.4865059 ]
 [0.46680349]
 [0.47952796]
 [0.55207799]
 [0.52909184]
 [0.12857876]
 [0.11277578]
 [0.51144177]
 [0.45941508]
 [0.41487943]
 [0.36038994]
 [0.5460236 ]
 [0.46228835]
 [0.51523858]
 [0.50107748]
 [0.45592612]
 [0.31246793]
 [0.34376603]
 [0.52611596]
 [0.55577219]
 [0.07111339]
 [0.15433556]
 [0.34007183]
 [0.25500257]
 [0.09399692]
 [0.21344279]
 [0.26711134]
 [0.34551052]
 [0.19969215]
 [0.21344279]
 [0.24135454]
 [0.34376603]
 [0.29368907]
 [0.12857876]
 [0.39404823]
 [0.60810672]
 [0.55135967]
 [0.52611596]
 [0.48240123]
 [0.46403284]
 [0.4576706 ]
 [0.54551052]
 [0.48188815]
 [0.55187276]
 [0.4656747 ]
 [0.73689071]
 [0.8871216 ]
 [0.8300667 ]
 [0.45284761]
 [0.36911237]
 [0.42914315]
 [0.42996408]
 [0.44771678]
 [0.47614161]
 [0.44576706]
 [0.53873781]
 [0.65674705]
 [0.84710108]
 [0.83581324]
 [0.82739867]
 [0.9791688 ]
 [0.16521293]
 [0.27080554]
 [0.17496152]
 [0.04166239]
 [0.29071319]
 [0.29666496]
 [0.12857876]
 [0.21344279]
 [0.29666496]
 [0.33032324]
 [0.60851719]
 [0.68045151]
 [0.47101077]
 [0.5484864 ]
 [0.50148794]
 [0.50179579]
 [0.49543356]
 [0.38234992]
 [0.50261673]
 [0.46947152]
 [0.49953822]
 [0.5460236 ]
 [0.73032324]
 [0.81190354]
 [0.43961006]
 [0.42103643]
 [0.47203694]
 [0.09399692]
 [0.2778861 ]
 [0.4828117 ]
 [0.46454592]
 [0.26711134]
 [0.6312981 ]
 [0.4656747 ]
 [0.60020523]
 [0.53955875]
 [0.15433556]
 [0.16521293]
 [0.19969215]
 [0.24135454]
 [0.22544895]
 [0.28455618]
 [0.46680349]
 [0.40143663]
 [0.3343253 ]
 [0.54499743]
 [0.42185736]
 [0.37465367]
 [0.38234992]
 [0.23099025]
 [0.14222678]
 [0.6073884 ]
 [0.52827091]
 [0.66947152]
 [0.59722935]
 [0.62565418]
 [0.25059005]
 [0.5171883 ]
 [0.4276039 ]
 [0.35074397]
 [0.3993843 ]
 [0.54468958]
 [0.47460236]
 [0.42842483]
 [0.36336583]
 [0.30487429]
 [0.40646485]
 [0.28455618]
 [0.72786044]
 [0.75536172]
 [0.63201642]
 [0.11277578]
 [0.14222678]
 [0.19969215]
 [0.11277578]
 [0.28127245]
 [0.11277578]
 [0.40933812]]","[0.39148888 0.40162666 0.33009999 0.35026905 0.29214053 0.28476791
 0.41055152 0.38824414 0.34769534 0.31842381 0.45276052 0.45427506
 0.37020072 0.35177633 0.30355981 0.28908025 0.3739294  0.35928798
 0.34578039 0.32879551 0.38163789 0.36801505 0.34491134 0.35822818
 0.34451225 0.44558752 0.16661693 0.17199023 0.26977937 0.08811298
 0.16918649 0.26841378 0.22953278 0.22540303 0.17638421 0.16399321
 0.23670937 0.1433098  0.23579039 0.45575717 0.5536003  0.54335962
 0.52304415 0.49462661 0.46296506 0.48264025 0.55022606 0.54057731
 0.54147032 0.51328781 0.60046937 0.60736035 0.61020875 0.51019934
 0.50610584 0.4779081  0.47965319 0.46848127 0.5043094  0.47775246
 0.49582539 0.45147918 0.55991961 0.58345237 0.5759507  0.60099055
 0.24104479 0.27873515 0.25069807 0.23290072 0.32914448 0.33365926
 0.25420554 0.32461928 0.29378593 0.38085267 0.45415595 0.53415346
 0.53967564 0.51701267 0.49254015 0.55134787 0.55679522 0.49717362
 0.55015802 0.54905379 0.53929132 0.51635265 0.59911597 0.59814359
 0.44804379 0.44795305 0.47086138 0.47487698 0.43421936 0.5013939
 0.47455366 0.41993079 0.47927448 0.46884897 0.5785449  0.58995551
 0.24006468 0.23569027 0.28594506 0.28074974 0.25787298 0.29054904
 0.30194324 0.38233827 0.44182813 0.2733268  0.45984845 0.40472499
 0.39269724 0.38723336 0.37128715 0.49011728 0.48081908 0.53658281
 0.53194262 0.54156195 0.35538463 0.45303944 0.41647412 0.38089572
 0.40946802 0.4619371  0.42430276 0.39590308 0.37635684 0.44388771
 0.41571601 0.42940453 0.49554354 0.53010428 0.53206363 0.55695429
 0.17280018 0.35064687 0.17503469 0.30765232 0.18095581 0.28526773]",0.013697851817450729
4,5,0.10205395837580383,0.1228479583796372,"SignificanceResult(statistic=0.44550160800442684, pvalue=2.2028587980443497e-08)","PearsonRResult(statistic=0.4885091903829522, pvalue=5.246340530998744e-10)","{'positive': True, 'fit_intercept': True}","[  1   6   8  10  11  28  30  31  33  45  50  52  53  55  57  59  60  74
  79  87  96 108 110 115 120 123 126 127 132 146 150 152 157 162 166 172
 175 182 184 188 191 199 209 223 241 244 251 253 256 260 265 280 282 292
 295 298 309 314 316 323 332 344 353 361 371 372 374 376 388 389 392 394
 395 413 415 417 422 423 427 440 444 449 457 458 461 467 471 479 485 487
 488 489 492 494 499 500 502 503 506 510 511 516 520 528 534 535 544 549
 553 554 562 563 565 566 567 580 587 588 592 597 598 599 600 606 607 611
 627 638 639 641 647 649 663 667 671 677 681 695 702 704 710 716 718 719]","[[0.56110826]
 [0.39404823]
 [0.39722935]
 [0.28455618]
 [0.38234992]
 [0.46680349]
 [0.38594151]
 [0.44843509]
 [0.46228835]
 [0.57136993]
 [0.04166239]
 [0.12857876]
 [0.09399692]
 [0.11277578]
 [0.07111339]
 [0.        ]
 [0.07111339]
 [0.45531042]
 [0.39835813]
 [0.39179066]
 [0.458902  ]
 [0.41487943]
 [0.07111339]
 [0.07111339]
 [0.09399692]
 [0.07111339]
 [0.2877373 ]
 [0.19969215]
 [0.40451514]
 [0.14222678]
 [0.11277578]
 [0.33237558]
 [0.18388917]
 [0.18388917]
 [0.44166239]
 [0.07111339]
 [0.07111339]
 [0.5497178 ]
 [0.48732683]
 [0.40933812]
 [0.15433556]
 [0.47757825]
 [0.43745511]
 [0.56110826]
 [0.5171883 ]
 [0.4276039 ]
 [0.32827091]
 [0.50713186]
 [0.44443304]
 [0.38717291]
 [0.547255  ]
 [0.60903027]
 [0.53145203]
 [0.9417137 ]
 [0.97721909]
 [1.        ]
 [0.33627501]
 [0.11277578]
 [0.07111339]
 [0.21344279]
 [0.2778861 ]
 [0.35238584]
 [0.38717291]
 [0.48732683]
 [0.29666496]
 [0.41487943]
 [0.47152386]
 [0.49912776]
 [0.47562853]
 [0.51523858]
 [0.46680349]
 [0.32611596]
 [0.25059005]
 [0.76428938]
 [0.99332991]
 [0.6644433 ]
 [0.37331965]
 [0.19969215]
 [0.27080554]
 [0.07111339]
 [0.16521293]
 [0.50743971]
 [0.64063622]
 [0.56069779]
 [0.64771678]
 [0.55936378]
 [0.33237558]
 [0.4276039 ]
 [0.25920985]
 [0.27439713]
 [0.36336583]
 [0.45469472]
 [0.4576706 ]
 [0.12857876]
 [0.33237558]
 [0.34007183]
 [0.29071319]
 [0.29666496]
 [0.14222678]
 [0.2877373 ]
 [0.30487429]
 [0.4809646 ]
 [0.3797845 ]
 [0.51216008]
 [0.73206773]
 [0.63663417]
 [0.46680349]
 [0.37598769]
 [0.58255516]
 [0.51759877]
 [0.38358132]
 [0.26711134]
 [0.58655721]
 [0.49830682]
 [0.50179579]
 [0.55977424]
 [0.26711134]
 [0.33822473]
 [0.56962545]
 [0.51523858]
 [0.36911237]
 [0.38358132]
 [0.42678297]
 [0.42914315]
 [0.37331965]
 [0.21344279]
 [0.40841457]
 [0.56983068]
 [0.51421242]
 [0.40646485]
 [0.23632632]
 [0.79712673]
 [0.15433556]
 [0.32611596]
 [0.27080554]
 [0.2778861 ]
 [0.41847101]
 [0.31246793]
 [0.32396101]
 [0.35402771]
 [0.11277578]
 [0.53955875]
 [0.48866085]
 [0.4490508 ]]","[0.42873543 0.37635297 0.34400792 0.34599896 0.31267546 0.3991598
 0.37835628 0.36987215 0.34711765 0.37300957 0.50504941 0.52840759
 0.5232868  0.5456226  0.53539572 0.55434112 0.5523491  0.38665672
 0.3560921  0.38287496 0.30714574 0.34712835 0.46212939 0.53675287
 0.5393867  0.09122211 0.14548409 0.22189113 0.24276847 0.09996164
 0.14957645 0.20611496 0.11867589 0.17097397 0.31369083 0.29414417
 0.39049104 0.54958727 0.52420074 0.47530184 0.44499917 0.49843001
 0.51025076 0.52358618 0.51853858 0.4962701  0.43816164 0.52140661
 0.50076727 0.45669274 0.52445409 0.51566929 0.50238299 0.62723576
 0.651315   0.66857643 0.32647594 0.22934734 0.29689637 0.37895981
 0.33374596 0.3606611  0.40078188 0.54542705 0.44032511 0.42906078
 0.54310558 0.51086123 0.5204367  0.50173232 0.46872971 0.47004196
 0.44490365 0.63303003 0.66405406 0.6460954  0.50406351 0.5028253
 0.4708593  0.45142496 0.42658706 0.47967818 0.52539091 0.51890679
 0.49666843 0.47263328 0.57822289 0.65442368 0.27465994 0.3459662
 0.32385819 0.30789617 0.36179908 0.21456166 0.34703084 0.32658595
 0.39747906 0.37469469 0.21786831 0.26755746 0.35071231 0.36239619
 0.30804821 0.4002241  0.37653142 0.5072158  0.44640914 0.38948413
 0.48414899 0.47580951 0.4033732  0.37618031 0.47877377 0.47160873
 0.47538186 0.47055697 0.41418356 0.40620799 0.58268344 0.59152989
 0.61241166 0.6034053  0.60458921 0.40564203 0.40510652 0.36150808
 0.43213952 0.44686636 0.44864233 0.43478682 0.40719242 0.5227402
 0.15010808 0.27756464 0.30379537 0.20605119 0.25069915 0.3098572
 0.22207551 0.28872771 0.21479835 0.43552247 0.53795967 0.53083396]",0.02079400000383337
