# of Features,Feature names,Removed Feature Names,p_value,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,Predictions,Hold_out_set,linkage distance
20,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', '18PG', '14PA', 'DOPE', 'DSPC', 'DOTAP', 'DDAB', 'Size', 'PDI', 'Zeta', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",None,,0.06281869439683037,0.0007760928506377299,0.6599845312501024,0.0074481486744213355,0.8921627557087433,0.0027693839047445443,"[array([0.02, 0.02, 0.02, ..., 0.09, 0.2 , 0.19]), array([0.01, 0.01, 0.01, ..., 0.03, 0.37, 0.62]), array([0.01, 0.02, 0.01, ..., 0.01, 0.35, 0.48]), array([0.01, 0.02, 0.01, ..., 0.68, 0.64, 0.68]), array([0.02, 0.01, 0.01, ..., 0.64, 0.83, 0.58])]","[array([0.02, 0.  , 0.  , ..., 0.46, 0.66, 0.29]), array([0.06, 0.11, 0.  , ..., 0.  , 0.2 , 0.78]), array([0.08, 0.  , 0.  , ..., 0.  , 0.34, 0.4 ]), array([0.  , 0.01, 0.  , ..., 0.36, 0.4 , 0.72]), array([0.08, 0.08, 0.01, ..., 0.78, 0.71, 0.64])]",0.0
19,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', '18PG', 'DOPE', 'DSPC', 'DOTAP', 'DDAB', 'Size', 'PDI', 'Zeta', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",14PA,,0.06281869439683037,0.0007760928506377299,0.6599845312501024,0.0074481486744213355,0.8921627557087433,0.0027693839047445443,"[array([0.02, 0.02, 0.02, ..., 0.09, 0.2 , 0.19]), array([0.01, 0.01, 0.01, ..., 0.03, 0.37, 0.62]), array([0.01, 0.02, 0.01, ..., 0.01, 0.35, 0.48]), array([0.01, 0.02, 0.01, ..., 0.68, 0.64, 0.68]), array([0.02, 0.01, 0.01, ..., 0.64, 0.83, 0.58])]","[array([0.02, 0.  , 0.  , ..., 0.46, 0.66, 0.29]), array([0.06, 0.11, 0.  , ..., 0.  , 0.2 , 0.78]), array([0.08, 0.  , 0.  , ..., 0.  , 0.34, 0.4 ]), array([0.  , 0.01, 0.  , ..., 0.36, 0.4 , 0.72]), array([0.08, 0.08, 0.01, ..., 0.78, 0.71, 0.64])]",0.002
18,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'DOPE', 'DSPC', 'DOTAP', 'DDAB', 'Size', 'PDI', 'Zeta', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",18PG,,0.06281869439683037,0.0007760928506377299,0.6599845312501024,0.0074481486744213355,0.8921627557087433,0.0027693839047445443,"[array([0.02, 0.02, 0.02, ..., 0.09, 0.2 , 0.19]), array([0.01, 0.01, 0.01, ..., 0.03, 0.37, 0.62]), array([0.01, 0.02, 0.01, ..., 0.01, 0.35, 0.48]), array([0.01, 0.02, 0.01, ..., 0.68, 0.64, 0.68]), array([0.02, 0.01, 0.01, ..., 0.64, 0.83, 0.58])]","[array([0.02, 0.  , 0.  , ..., 0.46, 0.66, 0.29]), array([0.06, 0.11, 0.  , ..., 0.  , 0.2 , 0.78]), array([0.08, 0.  , 0.  , ..., 0.  , 0.34, 0.4 ]), array([0.  , 0.01, 0.  , ..., 0.36, 0.4 , 0.72]), array([0.08, 0.08, 0.01, ..., 0.78, 0.71, 0.64])]",0.004
17,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'DOPE', 'DSPC', 'DOTAP', 'Size', 'PDI', 'Zeta', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",DDAB,,0.06281869439683037,0.0007760928506377299,0.6599845312501024,0.0074481486744213355,0.8921627557087433,0.0027693839047445443,"[array([0.02, 0.02, 0.02, ..., 0.09, 0.2 , 0.19]), array([0.01, 0.01, 0.01, ..., 0.03, 0.37, 0.62]), array([0.01, 0.02, 0.01, ..., 0.01, 0.35, 0.48]), array([0.01, 0.02, 0.01, ..., 0.68, 0.64, 0.68]), array([0.02, 0.01, 0.01, ..., 0.64, 0.83, 0.58])]","[array([0.02, 0.  , 0.  , ..., 0.46, 0.66, 0.29]), array([0.06, 0.11, 0.  , ..., 0.  , 0.2 , 0.78]), array([0.08, 0.  , 0.  , ..., 0.  , 0.34, 0.4 ]), array([0.  , 0.01, 0.  , ..., 0.36, 0.4 , 0.72]), array([0.08, 0.08, 0.01, ..., 0.78, 0.71, 0.64])]",0.006
16,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'DSPC', 'DOTAP', 'Size', 'PDI', 'Zeta', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",DOPE,,0.06281835217291956,0.0007760494093295295,0.6600717074393673,0.007604670604792611,0.8921290315382233,0.0027928715645479506,"[array([0.02, 0.02, 0.02, ..., 0.09, 0.2 , 0.19]), array([0.01, 0.01, 0.01, ..., 0.03, 0.37, 0.62]), array([0.01, 0.02, 0.01, ..., 0.01, 0.35, 0.48]), array([0.01, 0.02, 0.01, ..., 0.68, 0.64, 0.68]), array([0.02, 0.01, 0.01, ..., 0.64, 0.83, 0.58])]","[array([0.02, 0.  , 0.  , ..., 0.46, 0.66, 0.29]), array([0.06, 0.11, 0.  , ..., 0.  , 0.2 , 0.78]), array([0.08, 0.  , 0.  , ..., 0.  , 0.34, 0.4 ]), array([0.  , 0.01, 0.  , ..., 0.36, 0.4 , 0.72]), array([0.08, 0.08, 0.01, ..., 0.78, 0.71, 0.64])]",0.008
15,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'DOTAP', 'Size', 'PDI', 'Zeta', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",DSPC,,0.06281835217291956,0.0007760494093295295,0.6600717074393673,0.007604670604792611,0.8921290315382233,0.0027928715645479506,"[array([0.02, 0.02, 0.02, ..., 0.09, 0.2 , 0.19]), array([0.01, 0.01, 0.01, ..., 0.03, 0.37, 0.62]), array([0.01, 0.02, 0.01, ..., 0.01, 0.35, 0.48]), array([0.01, 0.02, 0.01, ..., 0.68, 0.64, 0.68]), array([0.02, 0.01, 0.01, ..., 0.64, 0.83, 0.58])]","[array([0.02, 0.  , 0.  , ..., 0.46, 0.66, 0.29]), array([0.06, 0.11, 0.  , ..., 0.  , 0.2 , 0.78]), array([0.08, 0.  , 0.  , ..., 0.  , 0.34, 0.4 ]), array([0.  , 0.01, 0.  , ..., 0.36, 0.4 , 0.72]), array([0.08, 0.08, 0.01, ..., 0.78, 0.71, 0.64])]",0.01
14,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'DOTAP', 'Size', 'PDI', 'Zeta', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",Double_bonds,,0.06249256911292139,0.0008166280269686973,0.6733207854644846,0.01261646457722424,0.8921419433381296,0.0028121775770600615,"[array([0.02, 0.01, 0.02, ..., 0.08, 0.22, 0.2 ]), array([0.01, 0.01, 0.01, ..., 0.03, 0.35, 0.62]), array([0.01, 0.02, 0.01, ..., 0.01, 0.36, 0.49]), array([0.01, 0.02, 0.01, ..., 0.67, 0.63, 0.69]), array([0.02, 0.01, 0.01, ..., 0.62, 0.83, 0.61])]","[array([0.02, 0.  , 0.  , ..., 0.46, 0.66, 0.29]), array([0.06, 0.11, 0.  , ..., 0.  , 0.2 , 0.78]), array([0.08, 0.  , 0.  , ..., 0.  , 0.34, 0.4 ]), array([0.  , 0.01, 0.  , ..., 0.36, 0.4 , 0.72]), array([0.08, 0.08, 0.01, ..., 0.78, 0.71, 0.64])]",0.012
13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'DOTAP', 'Size', 'Zeta', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",PDI,,0.061388933507393294,0.0006890232426722703,0.6754323629474857,0.009085767141971162,0.8975462339586345,0.0022250720868194672,"[array([0.02, 0.01, 0.01, ..., 0.14, 0.3 , 0.22]), array([0.01, 0.01, 0.01, ..., 0.04, 0.35, 0.62]), array([ 0.02,  0.02,  0.01, ..., -0.04,  0.37,  0.51]), array([0.01, 0.02, 0.01, ..., 0.67, 0.64, 0.71]), array([0.01, 0.01, 0.01, ..., 0.55, 0.81, 0.65])]","[array([0.02, 0.  , 0.  , ..., 0.46, 0.66, 0.29]), array([0.06, 0.11, 0.  , ..., 0.  , 0.2 , 0.78]), array([0.08, 0.  , 0.  , ..., 0.  , 0.34, 0.4 ]), array([0.  , 0.01, 0.  , ..., 0.36, 0.4 , 0.72]), array([0.08, 0.08, 0.01, ..., 0.78, 0.71, 0.64])]",0.014
12,"['P_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'DOTAP', 'Size', 'Zeta', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",N_charged_centers,,0.061388933507393294,0.0006890232426722703,0.6754323629474857,0.009085767141971162,0.8975462339586345,0.0022250720868194672,"[array([0.02, 0.01, 0.01, ..., 0.14, 0.3 , 0.22]), array([0.01, 0.01, 0.01, ..., 0.04, 0.35, 0.62]), array([ 0.02,  0.02,  0.01, ..., -0.04,  0.37,  0.51]), array([0.01, 0.02, 0.01, ..., 0.67, 0.64, 0.71]), array([0.01, 0.01, 0.01, ..., 0.55, 0.81, 0.65])]","[array([0.02, 0.  , 0.  , ..., 0.46, 0.66, 0.29]), array([0.06, 0.11, 0.  , ..., 0.  , 0.2 , 0.78]), array([0.08, 0.  , 0.  , ..., 0.  , 0.34, 0.4 ]), array([0.  , 0.01, 0.  , ..., 0.36, 0.4 , 0.72]), array([0.08, 0.08, 0.01, ..., 0.78, 0.71, 0.64])]",0.016
11,"['P_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'DOTAP', 'Size', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']",Zeta,,0.06062041566731787,0.0004793912128244683,0.679553907589894,0.007704475601963658,0.8990317681566534,0.001660864788974021,"[array([0.02, 0.01, 0.02, ..., 0.13, 0.31, 0.14]), array([0.01, 0.  , 0.01, ..., 0.08, 0.37, 0.66]), array([ 0.02,  0.02,  0.02, ..., -0.06,  0.44,  0.5 ]), array([0.01, 0.01, 0.01, ..., 0.69, 0.63, 0.73]), array([0.02, 0.02, 0.01, ..., 0.64, 0.83, 0.6 ])]","[array([0.02, 0.  , 0.  , ..., 0.46, 0.66, 0.29]), array([0.06, 0.11, 0.  , ..., 0.  , 0.2 , 0.78]), array([0.08, 0.  , 0.  , ..., 0.  , 0.34, 0.4 ]), array([0.  , 0.01, 0.  , ..., 0.36, 0.4 , 0.72]), array([0.08, 0.08, 0.01, ..., 0.78, 0.71, 0.64])]",0.018
