Manual,Auto
0.447597562,0.235489338
0.283734677,0.207750996
0.432362871,0.273375874
0.198755126,0.122843212
0.152682891,0.127760593
0.142461368,0.377376746
0.141731196,0.097070604
0.097643236,0.047833079
0.364781286,0.105523566
0.300380276,0.220088061
0.235123985,0.053891126
0.181231358,0.130932442
0.188140698,0.314063779
0.399532538,0.166529073
0.388777451,0.172315399
0.395751039,0.293523719
0.274230432,0.138895615
0.361681748,0.224489633
0.010103412,0.002236522
0.002036244,0.002122779
0.000515643,0.003363594
0.011404994,0.001617515
0.000150252,5.31E-05
0.000124193,0
