Formula label,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,NP_ratio,Dlin-MC3_Helper lipid_ratio,HL_(IL+HL),(IL+HL),Chol_DMG-PEG_ratio,PEG_(Chol+PEG),Size,Zeta,PDI,RLU_HepG2,RLU_N2a,RLU_ARPE19,RLU_HEK293,RLU_B16,RLU_PC3
118,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,1,50,80,100,0.99009901,364.1333333,-8.473333333,0.201,1.504,0.693,1.386,1.946,0.916,1.386
119,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,1,50,80,100,0.99009901,812.3666667,-5.833333333,0.132666667,1.504,1.386,1.099,2.803,1.609,0.916
120,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,1,50,80,100,0.99009901,409.6,-6.46,0.290333333,0.916,1.609,1.099,2.674,1.386,1.253
121,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,200,0.497512438,20,10,9.090909091,113.3,-1.485333333,0.238333333,1.386,2.079,1.792,3.97,1.504,1.609
122,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,200,0.497512438,20,10,9.090909091,179.0666667,-0.415666667,0.428333333,0.916,1.609,2.079,4.543,1.386,1.504
123,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,200,0.497512438,20,10,9.090909091,1512.333333,-2.8,0.599333333,0.916,1.386,1.099,3.676,2.015,1.253
124,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,200,0.497512438,40,10,9.090909091,108.3166667,-1.42,0.307333333,1.504,2.197,2.485,4.585,1.504,1.504
125,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,200,0.497512438,40,10,9.090909091,153.9,-0.845333333,0.435666667,2.674,3.219,1.946,7.272,1.386,0.916
126,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,200,0.497512438,40,10,9.090909091,120.1,-1.69,0.400666667,2.14,3.497,1.609,7.583,1.792,1.099
127,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,200,0.497512438,60,10,9.090909091,166.4,-3.313333333,0.504,1.099,2.639,1.609,4.212,0.916,1.386
128,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,200,0.497512438,60,10,9.090909091,192.9,-1.398,0.356666667,2.197,3.892,2.833,7.668,1.099,1.386
129,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,200,0.497512438,60,10,9.090909091,260.3666667,-0.940666667,0.331,2.015,4.007,3.045,6.919,1.099,1.099
130,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,200,0.497512438,80,10,9.090909091,230.6333333,8.696666667,0.313333333,1.099,3.178,1.946,4.758,1.099,1.253
131,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,200,0.497512438,80,10,9.090909091,237.4,-0.939,0.258666667,1.386,3.296,2.833,6.624,0.916,1.504
132,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,200,0.497512438,80,10,9.090909091,208.8333333,-0.976,0.286,0.916,4.635,4.127,3.738,1.099,1.253
133,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,100,0.99009901,20,10,9.090909091,129.5333333,-1.733333333,0.231666667,1.504,2.079,1.792,3.664,1.386,1.253
134,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,100,0.99009901,20,10,9.090909091,247.0333333,-1.54,0.714,1.253,1.609,1.099,3.98,0.916,2.197
135,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,100,0.99009901,20,10,9.090909091,1955.333333,-1.195666667,0.704333333,1.099,1.609,1.386,3.902,1.099,2.526
136,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,100,0.99009901,40,10,9.090909091,181.4666667,-1.7,0.334,1.099,1.946,1.792,4.407,1.253,1.504
137,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,100,0.99009901,40,10,9.090909091,144.4,-0.988333333,0.396,1.386,2.996,1.792,7.049,1.099,1.386
138,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,100,0.99009901,40,10,9.090909091,123.8,-2.643333333,0.366333333,1.099,1.386,2.398,5.715,0.916,1.386
139,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,100,0.99009901,60,10,9.090909091,253.1333333,-0.603333333,0.477333333,1.253,2.89,1.792,4.723,1.099,1.872
140,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,100,0.99009901,60,10,9.090909091,212.9666667,-0.511666667,0.330666667,1.872,3.97,3.989,8.706,1.099,1.386
141,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,100,0.99009901,60,10,9.090909091,219.6333333,-1.116666667,0.313,2.639,2.773,3.638,9.002,0.693,1.386
142,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,100,0.99009901,80,10,9.090909091,243.4333333,2.933333333,0.302666667,1.792,3.296,1.609,6.114,1.386,2.485
143,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,100,0.99009901,80,10,9.090909091,226.2666667,0.520333333,0.251333333,1.872,4.06,2.833,7.602,1.386,1.609
144,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,100,0.99009901,80,10,9.090909091,262.2333333,-2.67,0.095333333,2.14,4.317,3.689,8.837,1.504,0.916
145,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,50,1.960784314,20,10,9.090909091,135.9333333,-1.596666667,0.257333333,1.253,2.079,1.792,4.241,1.504,1.099
146,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,50,1.960784314,20,10,9.090909091,967.0333333,-1.566666667,1,0.916,2.079,1.792,4.454,1.253,0.916
147,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,50,1.960784314,20,10,9.090909091,1599.666667,-2.373333333,0.223666667,1.386,1.609,1.792,4.714,0.693,1.099
148,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,50,1.960784314,40,10,9.090909091,113.75,-1.247666667,0.3625,1.386,1.946,2.197,6.707,1.099,1.253
149,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,50,1.960784314,40,10,9.090909091,142.2666667,-1.014,0.315,1.386,2.996,1.386,6.335,1.504,1.253
150,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,50,1.960784314,40,10,9.090909091,142.3333333,-3.99,0.393333333,1.386,1.792,1.609,6.452,1.099,1.253
151,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,50,1.960784314,60,10,9.090909091,256.9666667,-10.79333333,0.289333333,1.099,2.639,1.946,5.034,1.099,1.253
152,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,50,1.960784314,60,10,9.090909091,205.9333333,-1.503333333,0.315,2.398,3.932,1.609,8.742,1.386,1.609
153,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,50,1.960784314,60,10,9.090909091,184.7,-1.180333333,0.339666667,2.303,2.773,1.792,8.485,1.609,0.916
154,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,50,1.960784314,80,10,9.090909091,244.4333333,1.269666667,0.245,1.504,3.664,1.099,6.387,1.099,0.693
155,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,50,1.960784314,80,10,9.090909091,247.3666667,-1.149666667,0.241333333,2.015,4.143,1.609,7.715,1.609,1.099
156,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,50,1.960784314,80,10,9.090909091,250.6333333,-1.219666667,0.152666667,2.251,4.543,3.258,8.171,0.693,1.609
157,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,10,9.090909091,20,10,9.090909091,636.7,-2.273333333,1,1.705,2.485,1.609,3.701,1.099,1.504
158,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,10,9.090909091,20,10,9.090909091,691.7,-1.220666667,0.956666667,1.792,2.197,1.792,3.871,0.916,1.386
159,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,10,9.090909091,20,10,9.090909091,1708.333333,-1.876666667,0.6,1.386,1.946,1.946,5.617,0.916,0.916
160,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,10,9.090909091,40,10,9.090909091,111.6666667,-1.019766667,0.341,1.253,2.565,1.792,4.736,0.693,1.386
161,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,10,9.090909091,40,10,9.090909091,148.1333333,-1.61,0.512,0.916,3.045,1.792,6.261,1.099,1.504
162,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,10,9.090909091,40,10,9.090909091,118,-1.693333333,0.328666667,1.504,2.485,2.079,6.118,1.504,0.916
163,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,10,9.090909091,60,10,9.090909091,233.5,-0.879,0.391333333,1.386,4.043,1.609,5.781,1.253,1.386
164,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,10,9.090909091,60,10,9.090909091,264.6666667,-0.790333333,0.407666667,2.398,4.043,2.485,8.81,0.916,0.693
165,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,10,9.090909091,60,10,9.090909091,220.9,-1.506666667,0.306,1.792,2.89,2.197,7.845,1.609,1.386
166,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,10,9.090909091,80,10,9.090909091,256.1,0.606333333,0.264333333,1.792,4.997,2.079,8,1.386,1.099
167,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,10,9.090909091,80,10,9.090909091,278.3,-1.317,0.217333333,1.946,4.913,3.434,9.616,1.253,1.872
168,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,10,9.090909091,80,10,9.090909091,265.9,-0.951333333,0.18,2.303,4.111,3.526,9.782,1.099,1.609
169,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,1,50,20,10,9.090909091,675.8333333,-3.106666667,0.61,1.253,3.555,2.565,2.442,0.693,1.504
170,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,1,50,20,10,9.090909091,682.8333333,-31.73333333,0.205,1.099,4.942,3.97,4.902,1.099,1.609
171,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,1,50,20,10,9.090909091,464,-2.386666667,0.574666667,1.386,3.367,2.708,2.079,1.099,1.504
172,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,1,50,40,10,9.090909091,163.5666667,-1.746666667,0.133666667,1.609,1.386,1.609,3.676,0.916,0.405
173,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,1,50,40,10,9.090909091,459.9666667,-1.683333333,0.154666667,1.386,1.946,1.099,5.46,1.253,2.197
174,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,1,50,40,10,9.090909091,753.9666667,-1.856666667,0.546333333,1.099,1.946,1.099,6.318,1.386,0.916
175,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,1,50,60,10,9.090909091,194.8666667,-1.74,0.121,1.253,1.386,1.946,6.304,1.386,1.386
176,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,1,50,60,10,9.090909091,934.6333333,-1.833333333,0.794,1.872,1.609,1.099,7.738,0.405,1.504
177,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,1,50,60,10,9.090909091,1021.5,-1.422666667,0.392,1.099,1.386,1.609,4.771,1.253,1.253
178,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,1,50,80,10,9.090909091,201,-1.713333333,0.139666667,1.609,1.386,1.609,3.418,1.386,1.099
179,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,1,50,80,10,9.090909091,456.4,-2.203333333,0.434666667,1.253,1.099,1.099,6.364,1.253,1.253
180,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,1,50,80,10,9.090909091,398.5,-1.184333333,0.280666667,1.504,1.099,1.386,3.951,0.916,1.504
181,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,200,0.497512438,20,500,0.199600798,288.9666667,-7.436666667,0.464333333,2.485,6.284,5.568,6.382,2.485,2.079
182,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,200,0.497512438,20,500,0.199600798,533.7,-3.523333333,0.403333333,1.792,6.05,6.561,7.404,2.526,1.792
183,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,200,0.497512438,20,500,0.199600798,342.3333333,-3.396666667,0.496333333,1.609,5.537,6.384,9.651,3.773,2.89
184,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,200,0.497512438,40,500,0.199600798,237.1333333,-4.23,0.211,1.099,5.442,4.977,2.442,1.705,1.609
185,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,200,0.497512438,40,500,0.199600798,185.1333333,-1.803333333,0.237333333,1.253,5.147,6.205,6.968,2.303,2.079
186,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,200,0.497512438,40,500,0.199600798,267.7333333,-2.356666667,0.806666667,1.386,4.369,6.83,8.02,2.603,1.386
187,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,200,0.497512438,60,500,0.199600798,206.6,-5.31,0.246666667,1.099,5.7,5.429,3.829,1.792,1.386
188,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,200,0.497512438,60,500,0.199600798,173.1333333,0.721666667,0.215,1.386,4.682,3.258,6.341,1.504,3.784
189,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,200,0.497512438,60,500,0.199600798,183.6666667,-0.501666667,0.260333333,1.504,4.533,5.153,10.645,2.97,1.386
190,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,200,0.497512438,80,500,0.199600798,166.6333333,-24.63333333,0.219666667,1.253,3.258,1.609,3.314,1.705,0.693
191,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,200,0.497512438,80,500,0.199600798,137.6333333,-6.11,0.164666667,0.916,2.197,1.792,5.816,1.609,1.609
192,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,200,0.497512438,80,500,0.199600798,158.8,-0.955,0.225333333,1.253,2.639,2.398,5.981,1.609,1.386
193,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,100,0.99009901,20,500,0.199600798,577.6666667,-11.77666667,0.252,1.253,6.619,6.5,8.361,2.015,3.584
194,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,100,0.99009901,20,500,0.199600798,562.7666667,-3.553333333,0.344333333,2.398,6.066,6.692,8.831,2.197,5.05
195,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,100,0.99009901,20,500,0.199600798,288.1666667,-1.593,0.316,1.609,5.549,6.635,8.008,2.197,2.639
196,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,100,0.99009901,40,500,0.199600798,240.3,-3.686666667,0.260333333,1.099,5.82,5.182,2.197,0.693,1.609
197,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,100,0.99009901,40,500,0.199600798,191.7333333,0.269333333,0.264,0.916,5.124,5.521,7.994,2.015,0.693
198,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,100,0.99009901,40,500,0.199600798,189.9666667,-2.24,0.325666667,1.099,5.394,6.198,10.284,3.401,1.386
199,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,100,0.99009901,60,500,0.199600798,192.8,-3.663333333,0.182,0.916,5.347,4.234,8.146,1.099,1.099
200,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,100,0.99009901,60,500,0.199600798,170.3,0.073,0.242,1.099,5.215,4.06,6.336,1.253,1.792
201,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,100,0.99009901,60,500,0.199600798,181.6333333,-1.161666667,0.328333333,1.253,5.215,5.318,10.81,3.091,1.792
202,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,100,0.99009901,80,500,0.199600798,172.9333333,-26.66666667,0.206666667,0.916,5.153,2.833,4.388,0.916,1
203,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,100,0.99009901,80,500,0.199600798,148,-6.033333333,0.187666667,0.693,3.932,2.079,7.105,1.099,1.386
204,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,100,0.99009901,80,500,0.199600798,162.5333333,-0.325333333,0.193666667,0.693,4.635,3.526,8.201,1.872,1.792
205,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,50,1.960784314,20,500,0.199600798,650.7333333,-11.36666667,0.484666667,2.398,6.303,6.641,8.28,2.015,4.344
206,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,50,1.960784314,20,500,0.199600798,403.2666667,-4.096666667,0.629666667,2.351,6.009,4.949,8.337,2.526,1.609
207,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,50,1.960784314,20,500,0.199600798,475.3333333,-3.116666667,0.162,0.916,5.389,6.292,9.564,2.442,1.099
208,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,50,1.960784314,40,500,0.199600798,191.8,-0.756333333,0.206,0.916,5.513,4.19,2.398,1.872,1.099
209,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,50,1.960784314,40,500,0.199600798,170,0.3774,0.294,0.916,4.956,4.443,8.257,2.251,1.609
210,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,50,1.960784314,40,500,0.199600798,307.4666667,-3.04,0.557666667,0.405,5.017,4.357,10.436,1.609,1.386
211,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,50,1.960784314,60,500,0.199600798,189.0333333,-2.12,0.220333333,0.405,5.384,2.639,6.433,1.504,0.693
212,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,50,1.960784314,60,500,0.199600798,155.4333333,1.195666667,0.233333333,0.405,4.949,3.178,6.296,1.504,1.609
213,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,50,1.960784314,60,500,0.199600798,256.8,0.16,0.427666667,1.253,4.804,4.025,10.999,2.197,1.099
214,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,50,1.960784314,80,500,0.199600798,202.3,-29.4,0.256333333,0.693,5.257,2.398,3.761,1.872,1.099
215,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,50,1.960784314,80,500,0.199600798,135.8666667,-10.41,0.173666667,0.405,3.555,2.079,7.61,1.609,0.693
216,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,50,1.960784314,80,500,0.199600798,163.5333333,-0.4925,0.229333333,4.357,4.025,3.332,11.412,4.852,1.946
217,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,10,9.090909091,20,500,0.199600798,431.8,-9.42,0.420666667,2.741,6.997,4.419,8.692,2.603,2.565
218,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,10,9.090909091,20,500,0.199600798,465.9333333,-1.686666667,0.358,1.386,6.18,4.595,9.601,3.761,2.079
219,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,10,9.090909091,20,500,0.199600798,599.5333333,-0.166206667,0.522,1.253,5.505,4.949,9.45,4.595,1.099
220,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,10,9.090909091,40,500,0.199600798,197.5666667,-2.53,0.262666667,1.253,6.071,4.007,4.311,1.253,1.609
221,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,10,9.090909091,40,500,0.199600798,199.4,2.476666667,0.327666667,1.099,5.749,4.431,9.355,3.481,1.099
222,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,10,9.090909091,40,500,0.199600798,208.5,1.541666667,0.330666667,0.916,5.231,5.209,9.103,3.807,1.609
223,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,10,9.090909091,60,500,0.199600798,193.9,-1.64,0.197333333,0.693,6.161,3.466,10.343,2.526,1.386
224,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,10,9.090909091,60,500,0.199600798,159.3,2.77,0.201,0.405,6.009,3.434,11.127,2.674,0.693
225,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,10,9.090909091,60,500,0.199600798,190.9666667,2.354,0.275,1.609,6.001,3.912,11.116,4.103,1.099
226,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,10,9.090909091,80,500,0.199600798,166.8666667,-26.83333333,0.266,1.504,7.607,4.127,5.938,1.705,1.386
227,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,10,9.090909091,80,500,0.199600798,146.8666667,5.42,0.208666667,1.253,6.916,4.82,8.322,3.57,2.303
228,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,10,9.090909091,80,500,0.199600798,167.8,7.203333333,0.237,3.902,6.551,5.472,11.211,4.317,1.386
229,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,1,50,20,500,0.199600798,287.7333333,2.916666667,0.327,3.676,6.038,7.904,10.31,3.296,1.099
230,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,1,50,20,500,0.199600798,306.5333333,3.96,0.569,2.862,8.595,6.518,10.555,2.251,1.386
231,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,1,50,20,500,0.199600798,473.2,5.006666667,0.17,2.197,7.874,5.832,9.917,2.603,1.609
232,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,1,50,40,500,0.199600798,261.7,4.206666667,0.330333333,1.253,8.389,6.913,4.135,0.693,1.099
233,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,1,50,40,500,0.199600798,205.1,4.25,0.196,3.584,9.338,5.781,11.156,3.726,3.367
234,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,1,50,40,500,0.199600798,177.9333333,2.72,0.268,3.401,8.956,5.684,10.878,2.603,2.197
235,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,1,50,60,500,0.199600798,224.5,4.343333333,0.256333333,4.174,9.82,4.19,12.159,2.639,1.386
236,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,1,50,60,500,0.199600798,195.0333333,5.876666667,0.254,4.159,8.782,7.149,11.252,3.807,1.099
237,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,1,50,60,500,0.199600798,179.0333333,6.29,0.261666667,5.807,9.016,7.487,11.954,4.167,2.079
238,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,1,50,80,500,0.199600798,237.6333333,6.303333333,0.301,6.222,10.091,7.888,11.362,3.638,1.946
239,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,1,50,80,500,0.199600798,164.9666667,11.93333333,0.183666667,6.708,10.023,7.405,11.657,5.185,2.708
240,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,1,50,80,500,0.199600798,171.5333333,8.72,0.187333333,6.424,9.557,7.815,10.701,5.707,1.946
241,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,200,0.497512438,20,100,0.99009901,177.0333333,-4.186666667,0.31,1.253,5.733,7.561,8.327,3.314,2.079
242,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,200,0.497512438,20,100,0.99009901,223.4,-2.646666667,0.485666667,1.253,5.106,6.252,8.342,3.045,1.609
243,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,200,0.497512438,20,100,0.99009901,169.1333333,-2.373333333,0.368333333,0.916,4.29,5.966,8.745,3.512,2.833
244,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,200,0.497512438,40,100,0.99009901,193.5,-1.616666667,0.275333333,1.099,4.86,7.285,2.565,2.197,1.099
245,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,200,0.497512438,40,100,0.99009901,139,-1.976666667,0.236666667,0.693,4.875,7.834,7.671,3.555,1.792
246,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,200,0.497512438,40,100,0.99009901,159.2333333,-2.136666667,0.303666667,1.504,4.71,7.23,9.016,4.419,2.079
247,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,200,0.497512438,60,100,0.99009901,171.7,-0.094333333,0.236333333,0.693,5.024,8.1,10.272,2.251,0.693
248,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,200,0.497512438,60,100,0.99009901,150.1333333,-1.95,0.232,0.405,4.407,7.413,9.371,1.946,1.099
249,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,200,0.497512438,60,100,0.99009901,177.5333333,-2.43,0.260666667,1.792,5.472,6.436,10.169,2.485,1.946
250,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,200,0.497512438,80,100,0.99009901,219.6333333,-15.26666667,0.307666667,0.693,4.007,4.812,7.535,1.609,1.792
251,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,8,200,0.497512438,80,100,0.99009901,141.4666667,-3.21,0.245666667,0.405,3.892,4.489,8.034,1.504,1.099
252,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,12,200,0.497512438,80,100,0.99009901,160.0333333,-4.51,0.184333333,5.226,5.429,5.226,10.437,5.841,2.079
253,Dlin-MC3-DMA,DOPE,1,1,9.784,134,2,9,36,2,744,4,100,0.99009901,20,100,0.99009901,176.9333333,-4.66,0.24,1.253,5.635,6.535,8.611,3.481,1.099
