Formula label,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,NP_ratio,Dlin-MC3_Helper lipid_ratio,HL_(IL+HL),(IL+HL),Chol_DMG-PEG_ratio,PEG_(Chol+PEG),Size,Zeta,PDI,RLU_HepG2,RLU_N2a,RLU_ARPE19,RLU_HEK293,RLU_B16,RLU_PC3
29,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,50,1.960784314,40,500,0.199600798,247.4666667,-2.506666667,0.442333333,1.872,4.779,4.956,10.136,1.705,1.253
30,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,50,1.960784314,40,500,0.199600798,230.4,-2.166666667,0.252,2.251,4.454,4.86,8.814,2.526,0.916
31,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,50,1.960784314,60,500,0.199600798,215.5666667,0.091,0.283333333,1.946,5.063,1.946,8.805,0.693,1.253
32,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,50,1.960784314,60,500,0.199600798,221.9666667,-0.125666667,0.240333333,2.251,4.883,2.485,9.334,1.253,1.253
33,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,50,1.960784314,60,500,0.199600798,234.9333333,0.407333333,0.281333333,3.584,5.198,1.609,9.443,1.705,1.099
34,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,50,1.960784314,80,500,0.199600798,172.3666667,-25.33333333,0.537333333,3.611,4.277,1.792,9.587,1.609,1.253
35,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,50,1.960784314,80,500,0.199600798,163.9833333,-6.63,0.436166667,2.803,5.204,1.946,10.442,1.253,0.916
36,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,50,1.960784314,80,500,0.199600798,247.1,-11.83333333,0.323,0.693,5.434,2.079,3.135,0.916,1.253
37,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,10,9.090909091,20,500,0.199600798,303.8,-4.81,0.320333333,1.099,5.242,4.127,7.14,1.946,1.099
38,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,10,9.090909091,20,500,0.199600798,462.6666667,-3.45,0.568333333,2.833,4.673,3.526,9.996,1.705,1.386
39,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,10,9.090909091,20,500,0.199600798,947.7666667,-0.677333333,0.293,3.199,3.97,3.045,9.706,1.872,1.386
40,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,10,9.090909091,40,500,0.199600798,242.8,1.363333333,0.251,2.773,5.366,2.485,9.851,1.946,1.386
41,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,10,9.090909091,40,500,0.199600798,182.1,-1.420666667,0.263,2.351,5.088,3.045,9.137,1.504,1.386
42,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,10,9.090909091,40,500,0.199600798,252.6333333,-2.366666667,0.273666667,2.674,5.182,2.303,8.643,1.099,0.693
43,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,10,9.090909091,60,500,0.199600798,242.8,-1.566666667,0.252666667,1.705,5.743,1.792,8.954,1.099,1.253
44,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,10,9.090909091,60,500,0.199600798,202.9666667,-2.063333333,0.257333333,3.839,6.073,1.386,10.867,1.253,1.099
45,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,10,9.090909091,60,500,0.199600798,142.2666667,-0.186,0.268333333,3.526,6.261,1.792,10.993,1.253,1.504
46,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,4,10,9.090909091,80,500,0.199600798,154.0833333,-22.66666667,0.3755,2.015,5.591,1.792,11.769,1.099,1.504
47,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,8,10,9.090909091,80,500,0.199600798,172.25,-0.437,0.288833333,3.258,5.849,1.609,11.956,1.099,1.099
48,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,777.1,12,10,9.090909091,80,500,0.199600798,175.9333333,-2.24,0.234333333,1.386,6.913,2.197,3.912,1.099,1.253
