Formula label,Helper_lipid,NP_ratio,Dlin-MC3:Helper lipid,Dlin-MC3+Helper lipid percentage,Chol:DMG-PEG
550,DSPC,4,200,80,500
551,DSPC,8,200,80,500
552,DSPC,12,200,80,500
553,DSPC,4,100,20,500
554,DSPC,8,100,20,500
555,DSPC,12,100,20,500
556,DSPC,4,100,40,500
557,DSPC,8,100,40,500
558,DSPC,12,100,40,500
559,DSPC,4,100,60,500
560,DSPC,8,100,60,500
561,DSPC,12,100,60,500
562,DSPC,4,100,80,500
563,DSPC,8,100,80,500
564,DSPC,12,100,80,500
565,DSPC,4,50,20,500
566,DSPC,8,50,20,500
567,DSPC,12,50,20,500
568,DSPC,4,50,40,500
569,DSPC,8,50,40,500
570,DSPC,12,50,40,500
571,DSPC,4,50,60,500
572,DSPC,8,50,60,500
573,DSPC,12,50,60,500
574,DSPC,4,50,80,500
575,DSPC,8,50,80,500
576,DSPC,12,50,80,500
577,DSPC,4,10,20,500
578,DSPC,8,10,20,500
579,DSPC,12,10,20,500
580,DSPC,4,10,40,500
581,DSPC,8,10,40,500
582,DSPC,12,10,40,500
583,DSPC,4,10,60,500
584,DSPC,8,10,60,500
585,DSPC,12,10,60,500
586,DSPC,4,10,80,500
587,DSPC,8,10,80,500
588,DSPC,12,10,80,500
589,DSPC,4,1,20,500
590,DSPC,8,1,20,500
591,DSPC,12,1,20,500
592,DSPC,4,1,40,500
593,DSPC,8,1,40,500
594,DSPC,12,1,40,500
595,DSPC,4,1,60,500
596,DSPC,8,1,60,500
597,DSPC,12,1,60,500
598,DSPC,4,1,80,500
599,DSPC,8,1,80,500
600,DSPC,12,1,80,500
601,DSPC,4,200,20,100
602,DSPC,8,200,20,100
603,DSPC,12,200,20,100
604,DSPC,4,200,40,100
605,DSPC,8,200,40,100
606,DSPC,12,200,40,100
607,DSPC,4,200,60,100
608,DSPC,8,200,60,100
609,DSPC,12,200,60,100
610,DSPC,4,200,80,100
611,DSPC,8,200,80,100
612,DSPC,12,200,80,100
613,DSPC,4,100,20,100
614,DSPC,8,100,20,100
615,DSPC,12,100,20,100
616,DSPC,4,100,40,100
617,DSPC,8,100,40,100
618,DSPC,12,100,40,100
619,DSPC,4,100,60,100
620,DSPC,8,100,60,100
621,DSPC,12,100,60,100
622,DSPC,4,100,80,100
623,DSPC,8,100,80,100
624,DSPC,12,100,80,100
625,DSPC,4,50,20,100
626,DSPC,8,50,20,100
627,DSPC,12,50,20,100
628,DSPC,4,50,40,100
629,DSPC,8,50,40,100
630,DSPC,12,50,40,100
631,DSPC,4,50,60,100
632,DSPC,8,50,60,100
633,DSPC,12,50,60,100
634,DSPC,4,50,80,100
635,DSPC,8,50,80,100
636,DSPC,12,50,80,100
637,DSPC,4,10,20,100
638,DSPC,8,10,20,100
639,DSPC,12,10,20,100
640,DSPC,4,10,40,100
641,DSPC,8,10,40,100
642,DSPC,12,10,40,100
643,DSPC,4,10,60,100
644,DSPC,8,10,60,100
645,DSPC,12,10,60,100
646,DSPC,4,10,80,100
647,DSPC,8,10,80,100
648,DSPC,12,10,80,100
649,DSPC,4,1,20,100
650,DSPC,8,1,20,100
651,DSPC,12,1,20,100
652,DSPC,4,1,40,100
653,DSPC,8,1,40,100
654,DSPC,12,1,40,100
655,DSPC,4,1,60,100
656,DSPC,8,1,60,100
657,DSPC,12,1,60,100
658,DSPC,4,1,80,100
659,DSPC,8,1,80,100
660,DSPC,12,1,80,100
661,DSPC,4,200,20,10
662,DSPC,8,200,20,10
663,DSPC,12,200,20,10
664,DSPC,4,200,40,10
665,DSPC,8,200,40,10
666,DSPC,12,200,40,10
667,DSPC,4,200,60,10
668,DSPC,8,200,60,10
669,DSPC,12,200,60,10
670,DSPC,4,200,80,10
671,DSPC,8,200,80,10
672,DSPC,12,200,80,10
673,DSPC,4,100,20,10
674,DSPC,8,100,20,10
675,DSPC,12,100,20,10
676,DSPC,4,100,40,10
677,DSPC,8,100,40,10
678,DSPC,12,100,40,10
679,DSPC,4,100,60,10
680,DSPC,8,100,60,10
681,DSPC,12,100,60,10
682,DSPC,4,100,80,10
683,DSPC,8,100,80,10
684,DSPC,12,100,80,10
685,DSPC,4,50,20,10
686,DSPC,8,50,20,10
687,DSPC,12,50,20,10
688,DSPC,4,50,40,10
689,DSPC,8,50,40,10
690,DSPC,12,50,40,10
691,DSPC,4,50,60,10
692,DSPC,8,50,60,10
693,DSPC,12,50,60,10
694,DSPC,4,50,80,10
695,DSPC,8,50,80,10
696,DSPC,12,50,80,10
697,DSPC,4,10,20,10
698,DSPC,8,10,20,10
699,DSPC,12,10,20,10
700,DSPC,4,10,40,10
701,DSPC,8,10,40,10
702,DSPC,12,10,40,10
703,DSPC,4,10,60,10
704,DSPC,8,10,60,10
705,DSPC,12,10,60,10
706,DSPC,4,10,80,10
707,DSPC,8,10,80,10
708,DSPC,12,10,80,10
709,DSPC,4,1,20,10
710,DSPC,8,1,20,10
711,DSPC,12,1,20,10
712,DSPC,4,1,40,10
713,DSPC,8,1,40,10
714,DSPC,12,1,40,10
715,DSPC,4,1,60,10
716,DSPC,8,1,60,10
717,DSPC,12,1,60,10
718,DSPC,4,1,80,10
719,DSPC,8,1,80,10
720,DSPC,12,1,80,10
721,14PA,4,200,20,500
722,14PA,8,200,20,500
723,14PA,12,200,20,500
724,14PA,4,200,40,500
725,14PA,8,200,40,500
726,14PA,12,200,40,500
727,14PA,4,200,60,500
728,14PA,8,200,60,500
729,14PA,12,200,60,500
730,14PA,4,200,80,500
731,14PA,8,200,80,500
732,14PA,12,200,80,500
733,14PA,4,100,20,500
734,14PA,8,100,20,500
735,14PA,12,100,20,500
736,14PA,4,100,40,500
737,14PA,8,100,40,500
738,14PA,12,100,40,500
739,14PA,4,100,60,500
740,14PA,8,100,60,500
741,14PA,12,100,60,500
742,14PA,4,100,80,500
743,14PA,8,100,80,500
744,14PA,12,100,80,500
745,14PA,4,50,20,500
746,14PA,8,50,20,500
747,14PA,12,50,20,500
748,14PA,4,50,40,500
749,14PA,8,50,40,500
750,14PA,12,50,40,500
751,14PA,4,50,60,500
752,14PA,8,50,60,500
753,14PA,12,50,60,500
754,14PA,4,50,80,500
755,14PA,8,50,80,500
756,14PA,12,50,80,500
757,14PA,4,10,20,500
758,14PA,8,10,20,500
759,14PA,12,10,20,500
760,14PA,4,10,40,500
761,14PA,8,10,40,500
762,14PA,12,10,40,500
763,14PA,4,10,60,500
764,14PA,8,10,60,500
765,14PA,12,10,60,500
766,14PA,4,10,80,500
767,14PA,8,10,80,500
768,14PA,12,10,80,500
769,14PA,4,1,20,500
770,14PA,8,1,20,500
771,14PA,12,1,20,500
772,14PA,4,1,40,500
773,14PA,8,1,40,500
774,14PA,12,1,40,500
775,14PA,4,1,60,500
776,14PA,8,1,60,500
777,14PA,12,1,60,500
778,14PA,4,1,80,500
779,14PA,8,1,80,500
780,14PA,12,1,80,500
781,14PA,4,200,20,100
782,14PA,8,200,20,100
783,14PA,12,200,20,100
784,14PA,4,200,40,100
785,14PA,8,200,40,100
786,14PA,12,200,40,100
787,14PA,4,200,60,100
788,14PA,8,200,60,100
789,14PA,12,200,60,100
790,14PA,4,200,80,100
791,14PA,8,200,80,100
792,14PA,12,200,80,100
793,14PA,4,100,20,100
794,14PA,8,100,20,100
795,14PA,12,100,20,100
796,14PA,4,100,40,100
797,14PA,8,100,40,100
798,14PA,12,100,40,100
799,14PA,4,100,60,100
800,14PA,8,100,60,100
801,14PA,12,100,60,100
802,14PA,4,100,80,100
803,14PA,8,100,80,100
804,14PA,12,100,80,100
805,14PA,4,50,20,100
806,14PA,8,50,20,100
807,14PA,12,50,20,100
808,14PA,4,50,40,100
809,14PA,8,50,40,100
810,14PA,12,50,40,100
811,14PA,4,50,60,100
812,14PA,8,50,60,100
813,14PA,12,50,60,100
814,14PA,4,50,80,100
815,14PA,8,50,80,100
816,14PA,12,50,80,100
817,14PA,4,10,20,100
818,14PA,8,10,20,100
819,14PA,12,10,20,100
820,14PA,4,10,40,100
821,14PA,8,10,40,100
822,14PA,12,10,40,100
823,14PA,4,10,60,100
824,14PA,8,10,60,100
825,14PA,12,10,60,100
826,14PA,4,10,80,100
827,14PA,8,10,80,100
828,14PA,12,10,80,100
829,14PA,4,1,20,100
830,14PA,8,1,20,100
831,14PA,12,1,20,100
832,14PA,4,1,40,100
833,14PA,8,1,40,100
834,14PA,12,1,40,100
835,14PA,4,1,60,100
836,14PA,8,1,60,100
837,14PA,12,1,60,100
838,14PA,4,1,80,100
839,14PA,8,1,80,100
840,14PA,12,1,80,100
841,14PA,4,200,20,10
842,14PA,8,200,20,10
843,14PA,12,200,20,10
844,14PA,4,200,40,10
845,14PA,8,200,40,10
846,14PA,12,200,40,10
847,14PA,4,200,60,10
848,14PA,8,200,60,10
849,14PA,12,200,60,10
850,14PA,4,200,80,10
851,14PA,8,200,80,10
852,14PA,12,200,80,10
853,14PA,4,100,20,10
854,14PA,8,100,20,10
855,14PA,12,100,20,10
856,14PA,4,100,40,10
857,14PA,8,100,40,10
858,14PA,12,100,40,10
859,14PA,4,100,60,10
860,14PA,8,100,60,10
861,14PA,12,100,60,10
862,14PA,4,100,80,10
863,14PA,8,100,80,10
864,14PA,12,100,80,10
865,14PA,4,50,20,10
866,14PA,8,50,20,10
867,14PA,12,50,20,10
868,14PA,4,50,40,10
869,14PA,8,50,40,10
870,14PA,12,50,40,10
871,14PA,4,50,60,10
872,14PA,8,50,60,10
873,14PA,12,50,60,10
874,14PA,4,50,80,10
875,14PA,8,50,80,10
876,14PA,12,50,80,10
877,14PA,4,10,20,10
878,14PA,8,10,20,10
879,14PA,12,10,20,10
880,14PA,4,10,40,10
881,14PA,8,10,40,10
882,14PA,12,10,40,10
883,14PA,4,10,60,10
884,14PA,8,10,60,10
885,14PA,12,10,60,10
