Formula label,Helper_lipid,NP_ratio,Dlin-MC3:Helper lipid,Dlin-MC3+Helper lipid percentage,Chol:DMG-PEG
932,DDAB,8,50,60,500
933,DDAB,12,50,60,500
934,DDAB,4,50,80,500
935,DDAB,8,50,80,500
936,DDAB,12,50,80,500
937,DDAB,4,10,20,500
938,DDAB,8,10,20,500
939,DDAB,12,10,20,500
940,DDAB,4,10,40,500
941,DDAB,8,10,40,500
942,DDAB,12,10,40,500
943,DDAB,4,10,60,500
944,DDAB,8,10,60,500
945,DDAB,12,10,60,500
946,DDAB,4,10,80,500
947,DDAB,8,10,80,500
948,DDAB,12,10,80,500
949,DDAB,4,1,20,500
950,DDAB,8,1,20,500
951,DDAB,12,1,20,500
952,DDAB,4,1,40,500
953,DDAB,8,1,40,500
954,DDAB,12,1,40,500
955,DDAB,4,1,60,500
956,DDAB,8,1,60,500
957,DDAB,12,1,60,500
958,DDAB,4,1,80,500
959,DDAB,8,1,80,500
960,DDAB,12,1,80,500
961,DDAB,4,200,20,100
962,DDAB,8,200,20,100
963,DDAB,12,200,20,100
964,DDAB,4,200,40,100
965,DDAB,8,200,40,100
966,DDAB,12,200,40,100
967,DDAB,4,200,60,100
968,DDAB,8,200,60,100
969,DDAB,12,200,60,100
970,DDAB,4,200,80,100
971,DDAB,8,200,80,100
972,DDAB,12,200,80,100
973,DDAB,4,100,20,100
974,DDAB,8,100,20,100
975,DDAB,12,100,20,100
976,DDAB,4,100,40,100
977,DDAB,8,100,40,100
978,DDAB,12,100,40,100
979,DDAB,4,100,60,100
980,DDAB,8,100,60,100
981,DDAB,12,100,60,100
982,DDAB,4,100,80,100
983,DDAB,8,100,80,100
984,DDAB,12,100,80,100
985,DDAB,4,50,20,100
986,DDAB,8,50,20,100
987,DDAB,12,50,20,100
988,DDAB,4,50,40,100
989,DDAB,8,50,40,100
990,DDAB,12,50,40,100
991,DDAB,4,50,60,100
992,DDAB,8,50,60,100
993,DDAB,12,50,60,100
994,DDAB,4,50,80,100
995,DDAB,8,50,80,100
996,DDAB,12,50,80,100
997,DDAB,4,10,20,100
998,DDAB,8,10,20,100
999,DDAB,12,10,20,100
1000,DDAB,4,10,40,100
1001,DDAB,8,10,40,100
1002,DDAB,12,10,40,100
1003,DDAB,4,10,60,100
1004,DDAB,8,10,60,100
1005,DDAB,12,10,60,100
1006,DDAB,4,10,80,100
1007,DDAB,8,10,80,100
1008,DDAB,12,10,80,100
1009,DDAB,4,1,20,100
1010,DDAB,8,1,20,100
1011,DDAB,12,1,20,100
1012,DDAB,4,1,40,100
1013,DDAB,8,1,40,100
1014,DDAB,12,1,40,100
1015,DDAB,4,1,60,100
1016,DDAB,8,1,60,100
1017,DDAB,12,1,60,100
1018,DDAB,4,1,80,100
1019,DDAB,8,1,80,100
1020,DDAB,12,1,80,100
1021,DDAB,4,200,20,10
1022,DDAB,8,200,20,10
1023,DDAB,12,200,20,10
1024,DDAB,4,200,40,10
1025,DDAB,8,200,40,10
1026,DDAB,12,200,40,10
1027,DDAB,4,200,60,10
1028,DDAB,8,200,60,10
1029,DDAB,12,200,60,10
1030,DDAB,4,200,80,10
1031,DDAB,8,200,80,10
1032,DDAB,12,200,80,10
1033,DDAB,4,100,20,10
1034,DDAB,8,100,20,10
1035,DDAB,12,100,20,10
1036,DDAB,4,100,40,10
1037,DDAB,8,100,40,10
1038,DDAB,12,100,40,10
1039,DDAB,4,100,60,10
1040,DDAB,8,100,60,10
1041,DDAB,12,100,60,10
1042,DDAB,4,100,80,10
1043,DDAB,8,100,80,10
1044,DDAB,12,100,80,10
1045,DDAB,4,50,20,10
1046,DDAB,8,50,20,10
1047,DDAB,12,50,20,10
1048,DDAB,4,50,40,10
1049,DDAB,8,50,40,10
1050,DDAB,12,50,40,10
1051,DDAB,4,50,60,10
1052,DDAB,8,50,60,10
1053,DDAB,12,50,60,10
1054,DDAB,4,50,80,10
1055,DDAB,8,50,80,10
1056,DDAB,12,50,80,10
1057,DDAB,4,10,20,10
1058,DDAB,8,10,20,10
1059,DDAB,12,10,20,10
1060,DDAB,4,10,40,10
1061,DDAB,8,10,40,10
1062,DDAB,12,10,40,10
1063,DDAB,4,10,60,10
1064,DDAB,8,10,60,10
1065,DDAB,12,10,60,10
1066,DDAB,4,10,80,10
1067,DDAB,8,10,80,10
1068,DDAB,12,10,80,10
1069,DDAB,4,1,20,10
1070,DDAB,8,1,20,10
1071,DDAB,12,1,20,10
1072,DDAB,4,1,40,10
1073,DDAB,8,1,40,10
1074,DDAB,12,1,40,10
1075,DDAB,4,1,60,10
1076,DDAB,8,1,60,10
1077,DDAB,12,1,60,10
1078,DDAB,4,1,80,10
1079,DDAB,8,1,80,10
1080,DDAB,12,1,80,10
