Formula label,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Helper_MW,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,wt_Helper,wt_Dlin,wt_Chol,wt_DMG,wt_pDNA,Size,Zeta,RLU_HepG2,RLU_N2a,RLU_ARPE19,RLU_HEK293,RLU_B16,RLU_PC3
26,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,50,20,500,0.6967787,27.99656157,68.64449569,0.89087826,1.771285782,#N/A,#N/A,1.792,4.977,5.561,7.685,2.442,1.253
27,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,50,20,500,0.700917115,28.16284305,69.05219962,0.896169501,1.187870717,#N/A,#N/A,2.674,4.19,4.828,7.769,2.079,0.693
28,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,50,40,500,1.194921386,48.01192999,44.14499322,0.57292015,6.075235258,#N/A,#N/A,3.091,5.242,4.554,9.543,2.442,1.705
29,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,50,40,500,1.232355638,49.51603789,45.52795851,0.590868475,3.132779491,#N/A,#N/A,1.872,4.779,4.956,10.136,1.705,1.253
30,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,50,40,500,1.245360437,50.03857058,46.00840581,0.59710379,2.110559385,#N/A,#N/A,2.251,4.454,4.86,8.814,2.526,0.916
31,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,50,60,500,1.589906357,63.88242237,26.10544785,0.338800303,8.083423117,#N/A,#N/A,1.946,5.063,1.946,8.805,0.693,1.253
32,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,50,60,500,1.656872358,66.57311569,27.20499529,0.35307039,4.211946278,#N/A,#N/A,2.251,4.883,2.485,9.334,1.253,1.253
33,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,50,60,500,1.680465797,67.52109984,27.59238747,0.358098022,2.847948878,#N/A,#N/A,3.584,5.198,1.609,9.443,1.705,1.099
34,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,50,80,500,1.904710307,76.53124211,11.72788779,0.152206235,9.683953562,#N/A,#N/A,3.611,4.277,1.792,9.587,1.609,1.253
35,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,50,80,500,2.001628704,80.42542239,12.3246442,0.159951027,5.088353685,#N/A,#N/A,2.803,5.204,1.946,10.442,1.253,0.916
36,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,50,80,500,2.036164454,81.81306848,12.53729144,0.162710794,3.45076483,#N/A,#N/A,0.693,5.434,2.079,3.135,0.916,1.253
37,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,10,20,500,3.166825963,25.44860744,67.29108928,0.873313555,3.220163764,#N/A,#N/A,1.099,5.242,4.127,7.14,1.946,1.099
38,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,10,20,500,3.218648844,25.86505602,68.39226067,0.887604718,1.636429741,#N/A,#N/A,2.833,4.673,3.526,9.996,1.705,1.386
39,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,10,20,500,3.236302115,26.00691767,68.76737058,0.892472949,1.096936693,#N/A,#N/A,3.199,3.97,3.045,9.706,1.872,1.386
40,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,10,40,500,5.517382906,44.33767859,43.96405622,0.570571923,5.610310361,#N/A,#N/A,2.773,5.366,2.485,9.851,1.946,1.386
41,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,10,40,500,5.676620932,45.61731507,45.23290952,0.587039286,2.88611519,#N/A,#N/A,2.351,5.088,3.045,9.137,1.504,1.386
42,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,10,40,500,5.73176269,46.06043413,45.67229453,0.592741689,1.942766958,#N/A,#N/A,2.674,5.182,2.303,8.643,1.099,0.693
43,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,10,60,500,7.331238305,58.91381714,25.96327348,0.336955144,7.454715925,#N/A,#N/A,1.705,5.743,1.792,8.954,1.099,1.253
44,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,10,60,500,7.61507958,61.19476509,26.96848547,0.350000931,3.871668923,#N/A,#N/A,3.839,6.073,1.386,10.867,1.253,1.099
45,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,10,60,500,7.71464137,61.99484345,27.32107939,0.354576947,2.614858841,#N/A,#N/A,3.526,6.261,1.792,10.993,1.253,1.504
46,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,10,80,500,8.77337423,70.50281871,11.65145155,0.151214235,8.921141269,#N/A,#N/A,2.015,5.591,1.792,11.769,1.099,1.504
47,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,10,80,500,9.182987891,73.79447332,12.19543767,0.158274166,4.668826959,#N/A,#N/A,3.258,5.849,1.609,11.956,1.099,1.099
48,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,10,80,500,9.328159771,74.96107427,12.38823272,0.160776288,3.16175696,#N/A,#N/A,1.386,6.913,2.197,3.912,1.099,1.253
