Formula label,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3:Helper lipid,Dlin-MC3+Helper lipid percentage,Chol:DMG-PEG,RLU_HepG2,RLU_N2a,RLU_ARPE19,RLU_HEK293,RLU_B16,RLU_PC3
1,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,200,20,500,2.303,6.161,3.892,9.460,4.078,2.079
2,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,200,20,500,1.609,6.073,3.807,8.621,3.611,2.251
3,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,200,20,500,2.015,4.543,2.565,8.584,2.708,1.609
4,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,200,40,500,2.565,5.056,2.944,9.102,3.861,2.140
5,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,200,40,500,2.803,5.303,3.045,11.098,4.856,1.705
6,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,200,40,500,1.872,4.533,2.944,9.509,3.951,2.197
7,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,200,60,500,2.639,4.86,2.565,9.866,2.015,2.526
8,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,200,60,500,2.89,4.564,2.398,10.057,2.303,1.253
9,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,200,60,500,2.197,5.872,1.609,10.787,2.565,1.504
10,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,200,80,500,1.253,3.466,0.693,4.290,1.609,1.609
11,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,200,80,500,1.792,4.419,1.792,9.986,1.386,1.792
12,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,200,80,500,1.099,5.476,1.609,2.674,1.386,1.253
13,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,100,20,500,1.705,5.756,5.497,5.283,3.638,1.609
14,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,100,20,500,2.251,5.58,5.497,7.526,2.140,0.693
15,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,100,20,500,1.253,4.779,5.094,8.227,2.303,1.099
16,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,100,40,500,2.251,4.625,3.219,9.761,1.253,1.504
17,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,100,40,500,2.351,4.754,4.06,9.668,2.251,1.504
18,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,100,40,500,2.079,4.522,4.174,9.741,1.705,1.386
19,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,100,60,500,1.946,4.934,2.398,8.985,1.609,1.386
20,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,100,60,500,1.872,4.984,2.303,9.484,1.872,1.504
21,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,100,60,500,2.251,4.898,1.946,9.968,0.916,1.504
22,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,100,80,500,2.14,5.043,2.833,8.644,1.609,1.099
23,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,100,80,500,1.504,5.165,1.946,9.956,1.253,1.386
24,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,100,80,500,1.099,5.617,1.386,2.773,1.504,1.099
25,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,50,20,500,1.253,4.844,5.447,4.630,2.251,0.693
26,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,50,20,500,1.792,4.977,5.561,7.685,2.442,1.253
27,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,50,20,500,2.674,4.19,4.828,7.769,2.079,0.693
28,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,50,40,500,3.091,5.242,4.554,9.543,2.442,1.705
29,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,50,40,500,1.872,4.779,4.956,10.136,1.705,1.253
30,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,50,40,500,2.251,4.454,4.86,8.814,2.526,0.916
31,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,50,60,500,1.946,5.063,1.946,8.805,0.693,1.253
32,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,50,60,500,2.251,4.883,2.485,9.334,1.253,1.253
33,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,50,60,500,3.584,5.198,1.609,9.443,1.705,1.099
34,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,50,80,500,3.611,4.277,1.792,9.587,1.609,1.253
35,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,50,80,500,2.803,5.204,1.946,10.442,1.253,0.916
36,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,50,80,500,0.693,5.434,2.079,3.135,0.916,1.253
37,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,10,20,500,1.099,5.242,4.127,7.140,1.946,1.099
38,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,10,20,500,2.833,4.673,3.526,9.996,1.705,1.386
39,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,10,20,500,3.199,3.97,3.045,9.706,1.872,1.386
40,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,10,40,500,2.773,5.366,2.485,9.851,1.946,1.386
41,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,10,40,500,2.351,5.088,3.045,9.137,1.504,1.386
42,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,10,40,500,2.674,5.182,2.303,8.643,1.099,0.693
43,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,10,60,500,1.705,5.743,1.792,8.954,1.099,1.253
44,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,10,60,500,3.839,6.073,1.386,10.867,1.253,1.099
45,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,10,60,500,3.526,6.261,1.792,10.993,1.253,1.504
46,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,10,80,500,2.015,5.591,1.792,11.769,1.099,1.504
47,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,10,80,500,3.258,5.849,1.609,11.956,1.099,1.099
48,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,10,80,500,1.386,6.913,2.197,3.912,1.099,1.253
49,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,1,20,500,1.253,1.946,0.693,4.543,1.099,1.099
50,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,1,20,500,1.099,1.099,1.099,4.094,1.253,1.099
51,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,1,20,500,1.504,1.792,2.079,3.367,1.253,1.386
52,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,1,40,500,2.862,1.946,1.609,6.029,1.253,1.386
53,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,1,40,500,0.916,1.609,1.386,4.600,0.916,1.504
54,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,1,40,500,1.386,3.258,1.099,2.639,1.253,1.253
55,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,1,60,500,0.916,1.792,1.609,3.367,1.504,0.405
56,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,1,60,500,1.099,2.197,1.386,3.850,1.253,1.253
57,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,1,60,500,1.253,1.386,1.099,3.861,1.253,0.916
58,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,1,80,500,1.386,1.609,1.386,3.970,1.253,0.693
59,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,1,80,500,0,0.693,1.386,4.060,1.099,1.253
60,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,1,80,500,1.099,1.386,1.609,4.234,1.253,1.504
61,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,200,20,100,2.14,5.677,5.242,9.118,3.178,0.916
62,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,200,20,100,1.609,5.17,5.1,7.030,2.862,1.099
63,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,200,20,100,2.303,3.951,3.761,8.172,1.705,0.916
64,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,200,40,100,3.091,5.308,4.86,8.920,2.303,1.253
65,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,200,40,100,4.234,3.178,5.347,9.759,2.890,1.253
66,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,200,40,100,3.135,4.344,3.584,9.910,2.140,1.099
67,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,200,60,100,4.167,5.313,2.89,9.788,2.251,1.253
68,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,200,60,100,3.314,4.554,3.497,10.054,1.386,1.386
69,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,200,60,100,3.57,5.278,1.792,11.208,1.253,1.099
70,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,200,80,100,1.872,4.682,1.946,8.416,0.916,0.916
71,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,200,80,100,2.485,3.497,1.609,10.519,1.253,0.916
72,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,200,80,100,2.603,5.136,1.946,12.319,1.792,1.099
73,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,100,20,100,1.946,5.908,5.338,8.725,2.996,0.405
74,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,100,20,100,1.705,5.13,5.05,7.148,3.418,1.386
75,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,100,20,100,1.946,4.443,3.689,8.766,1.705,1.705
76,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,100,40,100,2.97,5.407,4.673,9.070,1.705,1.099
77,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,100,40,100,3.114,4.625,3.434,9.798,2.674,1.386
78,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,100,40,100,3.114,4.654,3.584,10.032,1.792,1.099
79,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,100,60,100,2.708,4.575,1.609,10.357,1.609,0.916
80,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,100,60,100,2.639,4.736,2.89,10.134,1.946,0.916
81,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,100,60,100,3.45,5.13,1.946,11.444,1.705,1.705
82,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,100,80,100,1.609,5.056,1.609,8.579,1.386,1.099
83,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,100,80,100,1.872,4.205,1.386,6.127,1.253,1.099
84,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,100,80,100,2.996,5.165,1.792,12.586,0.916,0.693
85,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,50,20,100,1.705,6.014,5.056,8.454,3.135,1.253
86,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,50,20,100,1.946,5.198,5.394,7.951,2.197,1.386
87,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,50,20,100,1.253,4.511,3.892,8.790,1.946,1.253
88,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,50,40,100,1.946,5.714,5.62,9.014,1.872,1.609
89,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,50,40,100,1.705,5.17,5.03,9.952,2.140,0.693
90,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,50,40,100,1.705,4.927,3.258,10.517,2.603,1.099
91,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,50,60,100,3.512,4.883,3.258,10.551,1.609,1.099
92,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,50,60,100,2.398,5.236,3.219,11.074,1.386,0.916
93,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,50,60,100,2.079,5.075,2.708,11.660,1.504,1.386
94,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,50,80,100,3.541,5.576,2.197,10.835,1.504,0.916
95,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,50,80,100,2.079,4.86,2.079,11.636,0.916,0.916
96,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,50,80,100,1.946,5.165,1.792,12.662,1.099,1.099
97,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,10,20,100,2.351,5.136,4.205,5.745,2.079,2.079
98,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,10,20,100,1.792,3.738,3.829,8.332,3.497,1.872
99,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,10,20,100,2.015,3.466,4.205,8.183,3.239,1.872
100,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,10,40,100,2.351,5.389,4.159,8.525,3.091,1.946
101,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,10,40,100,2.251,4.043,4.554,8.450,2.398,1.792
102,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,10,40,100,3.784,4.111,4.344,9.234,2.442,1.386
103,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,10,60,100,2.442,5.82,4.673,11.024,1.504,1.946
104,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,10,60,100,2.303,5.635,4.852,8.867,1.609,1.609
105,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,10,60,100,3.135,3.135,4.205,10.038,2.303,1.253
106,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,10,80,100,1.504,6.109,4.595,5.541,1.386,1.386
107,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,10,80,100,2.833,4.868,4.963,10.398,1.386,1.504
108,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,10,80,100,1.946,4.736,4.796,10.646,1.609,1.099
109,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,1,20,100,1.705,1.099,1.386,3.773,1.705,1.253
110,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,1,20,100,0.916,1.386,0.693,4.828,1.253,2.015
111,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,1,20,100,1.386,1.099,1.609,2.140,1.386,1.609
112,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,1,40,100,1.792,1.946,1.099,3.178,1.504,1.609
113,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,1,40,100,1.386,1.099,1.386,2.565,1.386,1.872
114,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,1,40,100,1.253,1.386,1.792,2.674,1.253,1.504
115,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,1,60,100,5.075,1.386,1.609,8.939,2.015,1.253
116,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,1,60,100,1.386,1.386,1.099,4.078,1.609,1.386
117,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,1,60,100,1.504,1.609,1.792,2.741,1.253,1.705
118,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,1,80,100,1.504,0.693,1.386,1.946,0.916,1.386
119,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,1,80,100,1.504,1.386,1.099,2.803,1.609,0.916
120,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,1,80,100,0.916,1.609,1.099,2.674,1.386,1.253
121,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,200,20,10,1.386,2.079,1.792,3.970,1.504,1.609
122,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,200,20,10,0.916,1.609,2.079,4.543,1.386,1.504
123,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,200,20,10,0.916,1.386,1.099,3.676,2.015,1.253
124,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,200,40,10,1.504,2.197,2.485,4.585,1.504,1.504
125,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,200,40,10,2.674,3.219,1.946,7.272,1.386,0.916
126,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,200,40,10,2.14,3.497,1.609,7.583,1.792,1.099
127,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,200,60,10,1.099,2.639,1.609,4.212,0.916,1.386
128,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,200,60,10,2.197,3.892,2.833,7.668,1.099,1.386
129,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,200,60,10,2.015,4.007,3.045,6.919,1.099,1.099
130,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,200,80,10,1.099,3.178,1.946,4.758,1.099,1.253
131,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,200,80,10,1.386,3.296,2.833,6.624,0.916,1.504
132,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,200,80,10,0.916,4.635,4.127,3.738,1.099,1.253
133,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,100,20,10,1.504,2.079,1.792,3.664,1.386,1.253
134,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,100,20,10,1.253,1.609,1.099,3.980,0.916,2.197
135,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,100,20,10,1.099,1.609,1.386,3.902,1.099,2.526
136,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,100,40,10,1.099,1.946,1.792,4.407,1.253,1.504
137,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,100,40,10,1.386,2.996,1.792,7.049,1.099,1.386
138,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,100,40,10,1.099,1.386,2.398,5.715,0.916,1.386
139,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,100,60,10,1.253,2.89,1.792,4.723,1.099,1.872
140,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,100,60,10,1.872,3.97,3.989,8.706,1.099,1.386
141,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,100,60,10,2.639,2.773,3.638,9.002,0.693,1.386
142,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,100,80,10,1.792,3.296,1.609,6.114,1.386,2.485
143,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,100,80,10,1.872,4.06,2.833,7.602,1.386,1.609
144,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,100,80,10,2.14,4.317,3.689,8.837,1.504,0.916
