,LGBM,RF,XGB,DT,kNN,MLR,PLS,lasso
0,0.0199257527597254,0.13900338429221615,0.14266916730395832,0.002317323241585109,0.0032560833344937312,0.12364273195263714,0.1339952232805244,0.14435928793221253
1,0.021230035657231028,0.003915275994865158,0.029145822334155996,0.01563776403314271,0.05276249109415865,0.023032477707775223,0.027631212224930035,0.03684631047391848
2,0.14711614564084122,0.03820749212276813,0.0018983544208598865,0.17019488855175635,0.08819774470124633,0.08423199879173562,0.09255804233626319,0.10485011738560371
3,0.0406172125333915,0.03848990547321734,0.015550197841948908,0.006638918063821775,0.07864187018945681,0.08946308167180961,0.09314637318783495,0.10489184562323844
4,0.03566775387145007,0.06433889602053906,0.06086146831512451,0.007689215648137342,0.09959887654686367,0.04182706519589908,0.05825129272758905,0.04577955322390322
5,0.10373597529651687,0.11498774652818299,0.09105423092842102,0.15987863227914573,0.15859573071594768,0.20213374514711002,0.2071290930045793,0.19529234280176136
6,0.006864436810681093,0.007655502392344554,0.01347063414683794,0.017660559380713425,0.06152197420912825,0.10031098765177496,0.09267988807889171,0.09195014809056562
7,0.06285026791919152,0.16497140856575992,0.1258555378841817,0.03353950285914342,0.21834159087540575,0.2073676665291411,0.20211154366466041,0.19846118034743218
8,0.12692552583055838,0.3717901738825996,0.33604903731133007,0.20912591901038646,0.38846972592601653,0.2879203306103542,0.2815354134451421,0.2745666823214897
9,0.0442205168420959,0.4215847823550003,0.33180988906478504,0.034706500175049594,0.014948170315940687,0.10433348339779552,0.11457315779100219,0.11463957877931585
10,0.009512309244316994,0.08989380324425233,0.06508432005428078,0.02707433772902322,0.032949632821799135,0.060777385860467575,0.06986398428540308,0.07613955397240435
11,0.05874007239952488,0.09707317073170718,0.03346930142530746,0.07445442875481387,0.040899146602832046,0.06920724842476084,0.06296741993092436,0.05503137577591777
12,0.033293886494942936,0.12889018555257303,0.16707086294962492,0.017434939899638242,0.153036526458322,0.23748866514150563,0.23969818676054971,0.22463730440817842
13,0.0375734088411805,0.12118100128369735,0.08378012748064523,0.0675224646983312,0.27439448632709695,0.15134200129597913,0.14718426361656267,0.1676338671234665
14,0.07496280373934115,0.10640448126969315,0.05661294816157714,0.051044462597736026,0.12265124566999885,0.07376678147011312,0.06562760846535118,0.06477062299961492
15,0.005918201104741047,0.006206091725988974,0.001965642380580862,0.031638593897900705,0.04924663502615767,0.11917457852600602,0.12026037464933828,0.10286671821089441
16,0.013537419880118154,0.0407632162446026,0.02583478558284704,0.005614553753193058,0.04148308381320351,0.024585960238946297,0.03044913121769724,0.032227530125338855
17,0.31063361786958,0.042629244952736574,0.027130683382551597,0.3672248803827751,0.4082554231778673,0.022355042224767696,0.014233680436285756,0.02897336449134108
18,0.1759843324137774,0.09363169564710005,0.12283564552669973,0.08414050647683512,0.01362470846836518,0.08861485604411173,0.09442271826484697,0.09937453781829905
