,LGBM,XGB,RF,kNN,DT,MLR,lasso,PLS
0,0.025785461285213418,0.2029434634241577,0.19784478164156183,0.10369489352460348,0.043674902119616554,0.06953004895244941,0.09589018396897153,0.06954117609659283
1,0.03262970837667478,0.21276035322276496,0.22204171890168253,0.06783149272992706,0.1299446469555826,0.028152704770530446,0.05549411591436437,0.028153744634653255
2,0.09012658194655387,0.05829139812861417,0.10381473766771454,0.1132051762160386,0.11428378560820851,0.049096888339984546,0.04974314967374799,0.049140720022501805
3,0.3003771552448983,0.24290863271343488,0.14769190180459935,0.14847592357106867,0.021398676927230964,0.24615578473159624,0.24142550845339875,0.24617039119402032
4,0.2072272573266878,0.1134685809447793,0.15047055552341082,0.11628793708211677,0.1651140812744701,0.27040824921551665,0.24563382536072476,0.2704543749200914
5,0.1212198391981823,0.02951589658447995,0.033303141494210875,0.09958847362227974,0.2027136492507089,0.1010530105960541,0.1022436072412447,0.10105053537423103
6,0.006431944718708005,0.10855107916919135,0.1558327177637627,0.18169616145598055,0.08352459385266192,0.11090134598846046,0.13063695737171832,0.11089260773196963
7,0.12367783539478272,0.03258779945524179,0.04848666533802223,0.11193708961796,0.09358714729310114,0.0014984562136196589,0.006464896153647093,0.0014773841434518875
8,0.0017446287543402272,0.15604242189976325,0.16818370010350603,0.21838649119736941,0.10476576211691657,0.20295873507554563,0.23570279695422958,0.2029106888110419
9,0.1186558121686333,0.025098720220671722,0.09619828411991238,0.10652328115593934,0.22460735340443727,0.07458640258877036,0.09177642214543824,0.07456739570481852
10,0.018338701395175128,0.02345919208325764,0.08794547200096015,0.17391009939586233,0.03380585932226288,0.1117567541138722,0.08091110702275328,0.11181484885978255
11,0.014818118376705158,0.0746506456262076,0.04769794874432387,0.2970434716339043,0.24297961387876343,0.3602227579351257,0.36265916032389367,0.3602229816548973
12,0.10776563907625514,0.0768736026154141,0.16269121629611671,0.3762936567860886,0.29887268799783995,0.3526112997439178,0.37382193867366664,0.3525723413652362
13,0.006563531879708262,0.43339407444000244,0.44826621160592406,0.3494765469802823,0.046604563250978726,0.4395467927742419,0.4427420655889823,0.43953707864747715
14,0.05534887802286603,0.0914008080661578,0.1171407468482194,0.14879008929981274,0.07393906664866567,0.13893612256032617,0.14752110220202497,0.13895809855803387
15,0.05403380187807505,0.17431405235740272,0.1885418480159265,0.08642600337936135,0.11373025516403412,0.09666102942769317,0.08609185373733574,0.09665160822996133
16,0.14247410785776782,0.017428083749407852,0.055216066526515895,0.1777851284280625,0.19130552180369909,0.19686574602294815,0.17380646446410059,0.196895597605936
17,0.2576241263025988,0.05510732123158757,0.021954949307926075,0.17557391506078732,0.034831915755366594,0.18003581989029396,0.1776368350516723,0.18005636744933187
18,0.06730796098373959,0.16128942929283718,0.2036166255215468,0.3038353282179297,0.045362494937221665,0.2772931637096008,0.26739309542218775,0.2773018641046079
19,0.07690995922790123,0.30954096766961503,0.21561234867917733,0.14710320045687098,0.03307681922505745,0.08388674941701335,0.08092724881105573,0.08391540083735749
20,0.19200767032309718,0.14704012375893805,0.13875857779320744,0.12224489713003805,0.08714729310112057,0.26941290780293636,0.2614892939259333,0.2694118981687928
21,0.004468223526717274,0.26752150610775316,0.3162192295576257,0.061749096707626405,0.1738220602133117,0.28017809459503784,0.29469395910446794,0.28017544376394277
