,HepG2,B16,PC3,HEK293,N2a,ARPE19
HepG2,1.0,0.615415204473198,0.8372800125858271,0.7008716409308179,,
B16,0.6154152044731981,1.0,0.6293399915618854,0.6297993353768625,,
PC3,0.8372800125858271,0.6293399915618855,1.0,0.7830724274048271,,
HEK293,0.7008716409308178,0.6297993353768625,0.7830724274048271,1.0,,
N2a,,,,,1.0,
ARPE19,,,,,,1.0
