,Feature,N2a_Norm_Feature_Value
0,P_charged_centers,1.0
1,cLogP,0.5729476153244722
2,Dlin-MC3_Helper lipid_ratio,0.0
3,Dlin-MC3+Helper lipid percentage,0.6666666666666666
4,Chol_DMG-PEG_ratio,1.0
5,NP_ratio,0.0
