,RLU_HepG2
0,0.15826551682254336
1,0.07397060609741284
2,0.12328434349568808
3,0.19008866755739096
4,0.21899672051500058
5,0.10591521923964532
6,0.1990768857038746
7,0.22956394995748813
8,0.1453905016397425
9,0.030729989068383326
10,0.09619822664885218
11,0.012024778331106531
12,0.08563099720636462
13,0.15194947163852784
14,0.030729989068383326
15,0.15194947163852784
16,0.1640957123770193
17,0.13105793756832262
18,0.11490343738612897
19,0.10591521923964532
20,0.15194947163852784
21,0.13846714441880237
22,0.061217053321996825
23,0.012024778331106531
24,0.030729989068383326
25,0.09619822664885218
26,0.2033280699623466
27,0.25397789384185593
28,0.10591521923964532
29,0.15194947163852784
30,0.11490343738612897
31,0.15194947163852784
32,0.3138588606826187
33,0.3171383456820114
34,0.21899672051500058
35,0.0
36,0.012024778331106531
37,0.22264059273654802
38,0.26709583383942664
39,0.21535284829345314
40,0.1640957123770193
41,0.2033280699623466
42,0.08563099720636462
43,0.34483177456577185
44,0.3068140410542936
45,0.12328434349568808
46,0.2742621158751366
47,0.046884489250576936
48,0.030729989068383326
49,0.012024778331106531
50,0.061217053321996825
51,0.22616300255071053
52,0.0
53,0.046884489250576936
54,0.0
55,0.012024778331106531
56,0.030729989068383326
57,0.046884489250576936
58,0.0
59,0.012024778331106531
60,0.13846714441880237
61,0.07397060609741284
62,0.15826551682254336
63,0.25397789384185593
64,0.392809425482813
65,0.25932223976679214
66,0.38467144418802374
67,0.2810640106886918
68,0.3121583869792299
69,0.10591521923964532
70,0.18037167496659778
71,0.1947042390380177
72,0.11490343738612897
73,0.08563099720636462
74,0.11490343738612897
75,0.2392809425482813
76,0.2567715292117089
77,0.2567715292117089
78,0.2074577918134337
79,0.1990768857038746
80,0.29758289809304017
81,0.07397060609741284
82,0.10591521923964532
83,0.24243896514028906
84,0.08563099720636462
85,0.11490343738612897
86,0.030729989068383326
87,0.11490343738612897
88,0.08563099720636462
89,0.08563099720636462
90,0.30511356735090484
91,0.16980444552411028
92,0.13105793756832262
93,0.30863597716506735
94,0.13105793756832262
95,0.11490343738612897
96,0.1640957123770193
97,0.09619822664885218
98,0.12328434349568808
99,0.1640957123770193
100,0.15194947163852784
101,0.3381513421596015
102,0.1751487914490465
103,0.15826551682254336
104,0.25932223976679214
105,0.061217053321996825
106,0.22264059273654802
107,0.11490343738612897
108,0.08563099720636462
109,0.0
110,0.046884489250576936
111,0.09619822664885218
112,0.046884489250576936
113,0.030729989068383326
114,0.49495931009352606
115,0.046884489250576936
116,0.061217053321996825
117,0.061217053321996825
118,0.061217053321996825
119,0.0
120,0.046884489250576936
121,0.0
122,0.0
123,0.061217053321996825
124,0.2033280699623466
125,0.13846714441880237
126,0.012024778331106531
127,0.1453905016397425
128,0.12328434349568808
129,0.012024778331106531
130,0.046884489250576936
131,0.0
132,0.061217053321996825
133,0.030729989068383326
134,0.012024778331106531
135,0.012024778331106531
136,0.046884489250576936
137,0.012024778331106531
138,0.030729989068383326
139,0.10591521923964532
140,0.1990768857038746
141,0.09619822664885218
142,0.10591521923964532
143,0.13846714441880237
144,0.030729989068383326
145,0.0
146,0.046884489250576936
147,0.046884489250576936
148,0.046884489250576936
149,0.046884489250576936
150,0.012024778331106531
151,0.16980444552411028
152,0.15826551682254336
153,0.061217053321996825
154,0.12328434349568808
155,0.15194947163852784
156,0.08563099720636462
157,0.09619822664885218
158,0.046884489250576936
159,0.030729989068383326
160,0.0
161,0.061217053321996825
162,0.046884489250576936
163,0.16980444552411028
164,0.09619822664885218
165,0.09619822664885218
166,0.11490343738612897
167,0.15826551682254336
168,0.030729989068383326
169,0.012024778331106531
170,0.046884489250576936
171,0.07397060609741284
172,0.046884489250576936
173,0.012024778331106531
174,0.030729989068383326
175,0.10591521923964532
176,0.012024778331106531
177,0.07397060609741284
178,0.030729989068383326
179,0.061217053321996825
180,0.18037167496659778
181,0.09619822664885218
182,0.07397060609741284
