Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),Lipid_NA_ratio,RLU_PC3
28,18PG,0,1,9.3028,3,10,36,1,281.9333333,0.463333333,-5.183333333,4,0.199600798,40,1.960784314,15.06799861,2.0
29,18PG,0,1,9.3028,3,10,36,1,247.4666667,0.442333333,-2.506666667,8,0.199600798,40,1.960784314,30.13599722,2.0
30,18PG,0,1,9.3028,3,10,36,1,230.4,0.252,-2.166666667,12,0.199600798,40,1.960784314,45.20399583,2.0
31,18PG,0,1,9.3028,3,10,36,1,215.5666667,0.283333333,0.091,4,0.199600798,60,1.960784314,11.0811016,2.0
32,18PG,0,1,9.3028,3,10,36,1,221.9666667,0.240333333,-0.125666667,8,0.199600798,60,1.960784314,22.16220321,2.0
33,18PG,0,1,9.3028,3,10,36,1,234.9333333,0.281333333,0.407333333,12,0.199600798,60,1.960784314,33.24330481,2.0
34,18PG,0,1,9.3028,3,10,36,1,172.3666667,0.537333333,-25.33333333,4,0.199600798,80,1.960784314,9.087653102,2.0
35,18PG,0,1,9.3028,3,10,36,1,163.9833333,0.436166667,-6.63,8,0.199600798,80,1.960784314,18.1753062,2.0
36,18PG,0,1,9.3028,3,10,36,1,247.1,0.323,-11.83333333,12,0.199600798,80,1.960784314,27.26295931,2.0
37,18PG,0,1,9.3028,3,10,36,1,303.8,0.320333333,-4.81,4,0.199600798,20,9.090909091,29.27565509,2.0
38,18PG,0,1,9.3028,3,10,36,1,462.6666667,0.568333333,-3.45,8,0.199600798,20,9.090909091,58.55131018,2.0
39,18PG,0,1,9.3028,3,10,36,1,947.7666667,0.293,-0.677333333,12,0.199600798,20,9.090909091,87.82696527,2.0
40,18PG,0,1,9.3028,3,10,36,1,242.8,0.251,1.363333333,4,0.199600798,40,9.090909091,16.37687066,2.0
41,18PG,0,1,9.3028,3,10,36,1,182.1,0.263,-1.420666667,8,0.199600798,40,9.090909091,32.75374132,2.0
42,18PG,0,1,9.3028,3,10,36,1,252.6333333,0.273666667,-2.366666667,12,0.199600798,40,9.090909091,49.13061198,2.0
43,18PG,0,1,9.3028,3,10,36,1,242.8,0.252666667,-1.566666667,4,0.199600798,60,9.090909091,12.07727585,2.0
44,18PG,0,1,9.3028,3,10,36,1,202.9666667,0.257333333,-2.063333333,8,0.199600798,60,9.090909091,24.1545517,2.0
45,18PG,0,1,9.3028,3,10,36,1,142.2666667,0.268333333,-0.186,12,0.199600798,60,9.090909091,36.23182754,2.0
46,18PG,0,1,9.3028,3,10,36,1,154.0833333,0.3755,-22.66666667,4,0.199600798,80,9.090909091,9.927478443,2.0
47,18PG,0,1,9.3028,3,10,36,1,172.25,0.288833333,-0.437,8,0.199600798,80,9.090909091,19.85495689,2.0
48,18PG,0,1,9.3028,3,10,36,1,175.9333333,0.234333333,-2.24,12,0.199600798,80,9.090909091,29.78243533,2.0
