,P_charged_centers,N_charged_centers,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_B16
308,1.0,1.0,2.0,12.0,200.0,60.0,10.0,0.579884241563831
309,1.0,1.0,2.0,4.0,200.0,80.0,10.0,0.5032215791197991
310,1.0,1.0,2.0,8.0,200.0,80.0,10.0,0.5189472534672929
311,1.0,1.0,2.0,12.0,200.0,80.0,10.0,0.9427760183466202
315,1.0,1.0,2.0,4.0,100.0,40.0,10.0,0.809763022824069
318,1.0,1.0,2.0,4.0,100.0,60.0,10.0,0.7707764551709075
319,1.0,1.0,2.0,8.0,100.0,60.0,10.0,0.6661570383313312
320,1.0,1.0,2.0,12.0,100.0,60.0,10.0,0.8237414000218412
321,1.0,1.0,2.0,4.0,100.0,80.0,10.0,0.44152014852025767
322,1.0,1.0,2.0,8.0,100.0,80.0,10.0,0.2737796221469914
323,1.0,1.0,2.0,12.0,100.0,80.0,10.0,0.20716391831385822
326,1.0,1.0,2.0,12.0,50.0,20.0,10.0,0.06421317025226603
327,1.0,1.0,2.0,4.0,50.0,40.0,10.0,0.14382439663645297
330,1.0,1.0,2.0,4.0,50.0,60.0,10.0,0.08277820246805723
331,1.0,1.0,2.0,8.0,50.0,60.0,10.0,0.3045757344108333
333,1.0,1.0,2.0,4.0,50.0,80.0,10.0,0.19318554111608605
334,1.0,1.0,2.0,8.0,50.0,80.0,10.0,0.35830512176477014
335,1.0,1.0,2.0,12.0,50.0,80.0,10.0,0.379381893633286
339,1.0,1.0,2.0,4.0,10.0,40.0,10.0,0.36311018892650426
341,1.0,1.0,2.0,12.0,10.0,40.0,10.0,0.10756798077973134
342,1.0,1.0,2.0,4.0,10.0,60.0,10.0,0.404499290160533
343,1.0,1.0,2.0,8.0,10.0,60.0,10.0,0.1968985475592443
344,1.0,1.0,2.0,12.0,10.0,60.0,10.0,0.38440537293873545
345,1.0,1.0,2.0,4.0,10.0,80.0,10.0,0.3348258163153872
346,1.0,1.0,2.0,8.0,10.0,80.0,10.0,0.2907065632849186
347,1.0,1.0,2.0,12.0,10.0,80.0,10.0,0.26766408212296605
351,1.0,1.0,2.0,4.0,1.0,40.0,10.0,0.5416621164136726
352,1.0,1.0,2.0,8.0,1.0,40.0,10.0,0.6474828000436824
354,1.0,1.0,2.0,4.0,1.0,60.0,10.0,0.6368898110734957
355,1.0,1.0,2.0,8.0,1.0,60.0,10.0,0.6599322922354482
356,1.0,1.0,2.0,12.0,1.0,60.0,10.0,0.7465327072185215
357,1.0,1.0,2.0,4.0,1.0,80.0,10.0,0.5662334825816315
358,1.0,1.0,2.0,8.0,1.0,80.0,10.0,0.6294637981871792
359,1.0,1.0,2.0,12.0,1.0,80.0,10.0,0.661133559025882
360,1.0,0.0,2.0,4.0,200.0,20.0,500.0,0.7155181828109644
361,1.0,0.0,2.0,8.0,200.0,20.0,500.0,0.6213825488697172
363,1.0,0.0,2.0,4.0,200.0,40.0,500.0,0.5398056131920935
364,1.0,0.0,2.0,8.0,200.0,40.0,500.0,0.760947908703724
365,1.0,0.0,2.0,12.0,200.0,40.0,500.0,0.8129299989079394
366,1.0,0.0,2.0,4.0,200.0,60.0,500.0,0.5558589057551601
367,1.0,0.0,2.0,8.0,200.0,60.0,500.0,0.7980779731353064
368,1.0,0.0,2.0,12.0,200.0,60.0,500.0,1.0
369,1.0,0.0,2.0,4.0,200.0,80.0,500.0,0.013650758982199418
370,1.0,0.0,2.0,8.0,200.0,80.0,500.0,0.19067380146336138
372,1.0,0.0,2.0,4.0,100.0,20.0,500.0,0.26318663317680463
373,1.0,0.0,2.0,8.0,100.0,20.0,500.0,0.3820028393578683
374,1.0,0.0,2.0,12.0,100.0,20.0,500.0,0.036693240144151984
375,1.0,0.0,2.0,4.0,100.0,40.0,500.0,0.07196680135415529
376,1.0,0.0,2.0,8.0,100.0,40.0,500.0,0.25707109315277926
377,1.0,0.0,2.0,12.0,100.0,40.0,500.0,0.1894725346729278
378,1.0,0.0,2.0,4.0,100.0,60.0,500.0,0.09861308288740855
379,1.0,0.0,2.0,8.0,100.0,60.0,500.0,0.23664955771540902
380,1.0,0.0,2.0,12.0,100.0,60.0,500.0,0.4161843398492956
381,1.0,0.0,2.0,4.0,100.0,80.0,500.0,0.10756798077973134
382,1.0,0.0,2.0,8.0,100.0,80.0,500.0,0.019875505078082334
383,1.0,0.0,2.0,12.0,100.0,80.0,500.0,0.3863710822321721
384,1.0,0.0,2.0,4.0,50.0,20.0,500.0,0.26318663317680463
386,1.0,0.0,2.0,12.0,50.0,20.0,500.0,0.2104401004695861
387,1.0,0.0,2.0,4.0,50.0,40.0,500.0,0.2971497215245167
388,1.0,0.0,2.0,8.0,50.0,40.0,500.0,0.40264278693895383
389,1.0,0.0,2.0,12.0,50.0,40.0,500.0,0.07196680135415529
