,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_N2a
0,1,18PG,0,1,9.3028,3,10,36,1,4,200,20,500,440.1666667,-7.193333333,6.161
1,2,18PG,0,1,9.3028,3,10,36,1,8,200,20,500,320.9666667,-5.036666667,6.073
2,3,18PG,0,1,9.3028,3,10,36,1,12,200,20,500,205.6333333,-0.522666667,4.543
3,4,18PG,0,1,9.3028,3,10,36,1,4,200,40,500,236.0666667,-4.42,5.056
4,5,18PG,0,1,9.3028,3,10,36,1,8,200,40,500,188.6,-3.686666667,5.303
5,6,18PG,0,1,9.3028,3,10,36,1,12,200,40,500,248.3,-2.553333333,4.533
6,7,18PG,0,1,9.3028,3,10,36,1,4,200,60,500,221.0666667,-1.06,4.86
7,8,18PG,0,1,9.3028,3,10,36,1,8,200,60,500,206.6333333,1.177333333,4.564
8,9,18PG,0,1,9.3028,3,10,36,1,12,200,60,500,239.3,-0.068333333,5.872
10,11,18PG,0,1,9.3028,3,10,36,1,8,200,80,500,195.4666667,-14.43333333,4.419
12,13,18PG,0,1,9.3028,3,10,36,1,4,100,20,500,395.5333333,-9.85,5.756
13,14,18PG,0,1,9.3028,3,10,36,1,8,100,20,500,412.0666667,-4.376666667,5.58
15,16,18PG,0,1,9.3028,3,10,36,1,4,100,40,500,218.7666667,-4.306666667,4.625
16,17,18PG,0,1,9.3028,3,10,36,1,8,100,40,500,221.7666667,-1.85,4.754
18,19,18PG,0,1,9.3028,3,10,36,1,4,100,60,500,227.4,0.728366667,4.934
19,20,18PG,0,1,9.3028,3,10,36,1,8,100,60,500,217.1,-0.417,4.984
20,21,18PG,0,1,9.3028,3,10,36,1,12,100,60,500,241.5666667,-2.663333333,4.898
22,23,18PG,0,1,9.3028,3,10,36,1,8,100,80,500,184.6,-17.4,5.165
23,24,18PG,0,1,9.3028,3,10,36,1,12,100,80,500,285.2666667,-8.583333333,5.617
24,25,18PG,0,1,9.3028,3,10,36,1,4,50,20,500,431.4,-6.4,4.844
28,29,18PG,0,1,9.3028,3,10,36,1,8,50,40,500,247.4666667,-2.506666667,4.779
29,30,18PG,0,1,9.3028,3,10,36,1,12,50,40,500,230.4,-2.166666667,4.454
30,31,18PG,0,1,9.3028,3,10,36,1,4,50,60,500,215.5666667,0.091,5.063
31,32,18PG,0,1,9.3028,3,10,36,1,8,50,60,500,221.9666667,-0.125666667,4.883
32,33,18PG,0,1,9.3028,3,10,36,1,12,50,60,500,234.9333333,0.407333333,5.198
34,35,18PG,0,1,9.3028,3,10,36,1,8,50,80,500,163.9833333,-6.63,5.204
35,36,18PG,0,1,9.3028,3,10,36,1,12,50,80,500,247.1,-11.83333333,5.434
36,37,18PG,0,1,9.3028,3,10,36,1,4,10,20,500,303.8,-4.81,5.242
38,39,18PG,0,1,9.3028,3,10,36,1,12,10,20,500,947.7666667,-0.677333333,3.97
39,40,18PG,0,1,9.3028,3,10,36,1,4,10,40,500,242.8,1.363333333,5.366
40,41,18PG,0,1,9.3028,3,10,36,1,8,10,40,500,182.1,-1.420666667,5.088
