,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Hbond_A', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.05857999999999999,0.005165617097695106,0.894275476598445,0.021713266616727074,0.9157239395380421,0.020489215680839674,0.0
1,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.05857999999999999,0.005165617097695106,0.894275476598445,0.021713266616727074,0.9157239395380421,0.020489215680839674,0.02
2,8,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.05857999999999999,0.005165617097695106,0.894275476598445,0.021713266616727074,0.9157239395380421,0.020489215680839674,0.04
3,7,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.05794,0.005675949259815489,0.8970194669920669,0.021820530796093137,0.9177989681239435,0.022755415882124357,0.06
4,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.08122,0.009102285427297916,0.8343098786602041,0.030976199428627033,0.7855532096529352,0.05775985185144215,0.08
5,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.16804,0.0086138493137505,0.15062239513560105,0.07198326352593655,0.1906395325856926,0.06174760230349222,0.1
6,2,"['P_charged_centers', 'NP_ratio']",0.16792,0.008513142780430735,0.15467786585151996,0.07061903411152719,0.20633902327264025,0.057622776991217914,0.12
7,1,['P_charged_centers'],0.16728,0.008313940100818623,0.21399223228194889,0.07321837735783146,0.22221470964180476,0.05750726954649601,0.14
