Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_HepG2
39,18PG,0,1,9.3028,3,10,36,1,947.7666667,0.293,-0.677333333,12,0.199600798,20,9.090909091,3.199
40,18PG,0,1,9.3028,3,10,36,1,242.8,0.251,1.363333333,4,0.199600798,40,9.090909091,2.773
41,18PG,0,1,9.3028,3,10,36,1,182.1,0.263,-1.420666667,8,0.199600798,40,9.090909091,2.351
42,18PG,0,1,9.3028,3,10,36,1,252.6333333,0.273666667,-2.366666667,12,0.199600798,40,9.090909091,2.674
43,18PG,0,1,9.3028,3,10,36,1,242.8,0.252666667,-1.566666667,4,0.199600798,60,9.090909091,1.705
44,18PG,0,1,9.3028,3,10,36,1,202.9666667,0.257333333,-2.063333333,8,0.199600798,60,9.090909091,3.839
45,18PG,0,1,9.3028,3,10,36,1,142.2666667,0.268333333,-0.186,12,0.199600798,60,9.090909091,3.526
46,18PG,0,1,9.3028,3,10,36,1,154.0833333,0.3755,-22.66666667,4,0.199600798,80,9.090909091,2.015
47,18PG,0,1,9.3028,3,10,36,1,172.25,0.288833333,-0.437,8,0.199600798,80,9.090909091,3.258
48,18PG,0,1,9.3028,3,10,36,1,175.9333333,0.234333333,-2.24,12,0.199600798,80,9.090909091,1.5
49,18PG,0,1,9.3028,3,10,36,1,1859.333333,0.579,-19.73333333,4,0.199600798,20,50.0,1.5
50,18PG,0,1,9.3028,3,10,36,1,487.5,0.492333333,-3.413333333,8,0.199600798,20,50.0,1.5
51,18PG,0,1,9.3028,3,10,36,1,1049.966667,0.215333333,-2.423333333,12,0.199600798,20,50.0,1.504
52,18PG,0,1,9.3028,3,10,36,1,370.2333333,0.760333333,-25.56666667,4,0.199600798,40,50.0,2.862
53,18PG,0,1,9.3028,3,10,36,1,1164.833333,0.693666667,-15.7,8,0.199600798,40,50.0,1.5
54,18PG,0,1,9.3028,3,10,36,1,1153.333333,0.461,-4.87,12,0.199600798,40,50.0,1.5
55,18PG,0,1,9.3028,3,10,36,1,1720.666667,0.716333333,-28.26666667,4,0.199600798,60,50.0,1.5
56,18PG,0,1,9.3028,3,10,36,1,214.1666667,0.147333333,-17.83333333,8,0.199600798,60,50.0,1.5
57,18PG,0,1,9.3028,3,10,36,1,1034.266667,0.683333333,-5.81,12,0.199600798,60,50.0,1.5
58,18PG,0,1,9.3028,3,10,36,1,476.1166667,0.131333333,-6.776666667,4,0.199600798,80,50.0,1.5
59,18PG,0,1,9.3028,3,10,36,1,418.8333333,0.151833333,-5.44,8,0.199600798,80,50.0,1.5
60,18PG,0,1,9.3028,3,10,36,1,268.4333333,0.102,-4.47,12,0.199600798,80,50.0,1.5
61,18PG,0,1,9.3028,3,10,36,1,514.5666667,0.964,-1.836666667,4,0.99009901,20,0.497512438,2.14
62,18PG,0,1,9.3028,3,10,36,1,209.0,0.518,-1.497333333,8,0.99009901,20,0.497512438,1.609
63,18PG,0,1,9.3028,3,10,36,1,296.5333333,0.349333333,-1.007333333,12,0.99009901,20,0.497512438,2.303
64,18PG,0,1,9.3028,3,10,36,1,75.20666667,0.609333333,-1.843333333,4,0.99009901,40,0.497512438,3.091
65,18PG,0,1,9.3028,3,10,36,1,210.5666667,0.548,-0.593366667,8,0.99009901,40,0.497512438,4.234
66,18PG,0,1,9.3028,3,10,36,1,184.1666667,0.46,-7.61,12,0.99009901,40,0.497512438,3.135
67,18PG,0,1,9.3028,3,10,36,1,133.6666667,0.504666667,-4.72,4,0.99009901,60,0.497512438,4.167
68,18PG,0,1,9.3028,3,10,36,1,145.6666667,0.482666667,-3.62,8,0.99009901,60,0.497512438,3.314
69,18PG,0,1,9.3028,3,10,36,1,164.5333333,0.325666667,-4.233333333,12,0.99009901,60,0.497512438,3.57
70,18PG,0,1,9.3028,3,10,36,1,415.6,0.144666667,-2.0,4,0.99009901,80,0.497512438,1.872
71,18PG,0,1,9.3028,3,10,36,1,420.6,0.213666667,-2.613333333,8,0.99009901,80,0.497512438,2.485
72,18PG,0,1,9.3028,3,10,36,1,725.6666667,0.112,-0.015666667,12,0.99009901,80,0.497512438,2.603
73,18PG,0,1,9.3028,3,10,36,1,613.1333333,0.699333333,-2.063333333,4,0.99009901,20,0.99009901,1.946
74,18PG,0,1,9.3028,3,10,36,1,187.7333333,0.447,-1.543333333,8,0.99009901,20,0.99009901,1.705
75,18PG,0,1,9.3028,3,10,36,1,99.15666667,0.669666667,-1.906666667,12,0.99009901,20,0.99009901,1.946
76,18PG,0,1,9.3028,3,10,36,1,118.2,0.441,-1.441,4,0.99009901,40,0.99009901,2.97
